Gene,baseMean.PB,log2FoldChange.PB,lfcSE.PB,stat.PB,pvalue.PB,padj.PB,baseMean.SF,log2FoldChange.SF,lfcSE.SF,stat.SF,pvalue.SF,padj.SF
C1QB,14.38496554,6.149848825,1.746339263,3.521565916,0.000429006,0.005848434,51.95851144,2.925507766,0.459985653,6.35999785,2.02E-10,4.19E-08
CD40,43.13829211,1.097877452,0.195221324,5.623757847,1.87E-08,6.79E-07,110.9590019,1.449634828,0.264952297,5.471305011,4.47E-08,5.02E-06
CD72,5.247808577,1.484055925,0.530059455,2.799791439,0.005113563,0.044661477,22.52936763,1.7550045,0.525915469,3.337046739,0.000846737,0.017078867
CXCL9,13.98992563,5.8651406,0.619160146,9.472735995,2.73E-21,4.18E-19,35.47692194,3.234807013,0.55247175,5.855153699,4.77E-09,6.73E-07
ENDOD1,15.21608353,1.051787869,0.282614557,3.721633732,0.000197938,0.002960802,49.32561967,1.429158279,0.392807946,3.63831306,0.00027443,0.007338802
EPS8,13.51218775,1.453159158,0.365174737,3.979352929,6.91E-05,0.001206191,51.38096439,1.233393521,0.342582254,3.600284328,0.000317869,0.008051074
GBP4,108.5386444,1.661134978,0.170562507,9.739156657,2.05E-22,3.85E-20,205.8047429,1.275587811,0.23866488,5.344681668,9.06E-08,8.59E-06
HLA.DOA,19.87487804,2.854813794,0.358361921,7.966286674,1.64E-15,1.55E-13,27.49345591,1.999307727,0.484408085,4.127321135,3.67E-05,0.001458385
IDO1,12.03263115,5.490935306,0.611478247,8.979772112,2.71E-19,3.49E-17,34.53470504,3.878084564,0.590989248,6.562022199,5.31E-11,1.41E-08
IFITM1,31.6142831,1.296191943,0.227867457,5.688359187,1.28E-08,4.83E-07,42.13247793,1.329472862,0.425695584,3.123060027,0.001789812,0.028968769
LGMN,7.131126813,2.1622025,0.579102291,3.73371429,0.000188677,0.002847497,328.9579843,1.302929457,0.204874794,6.359637676,2.02E-10,4.19E-08
MGLL,31.59946542,2.790326498,0.287132098,9.717919101,2.53E-22,4.60E-20,296.9592198,1.711523794,0.205055927,8.346619465,7.02E-17,7.77E-14
MSR1,17.39497811,1.774181795,0.362048155,4.900402802,9.56E-07,2.46E-05,128.2129144,1.203226696,0.238936848,5.035751943,4.76E-07,3.60E-05
NR1H3,10.43839075,1.669523749,0.361478413,4.618598754,3.86E-06,8.92E-05,28.11080318,1.997413974,0.529517764,3.772137799,0.000161855,0.004794949
NRP2,10.11586964,1.382788068,0.391495312,3.532068009,0.000412323,0.005652465,189.2540139,1.085113385,0.216026417,5.023058761,5.09E-07,3.79E-05
OPTN,11.1347309,1.555385379,0.437268939,3.557045199,0.00037505,0.00522637,110.1617,1.097071317,0.268572609,4.084822063,4.41E-05,0.001701849
RGL1,20.89405431,2.18175441,0.321844137,6.778916122,1.21E-11,7.15E-10,75.90558204,1.345396315,0.385201462,3.492708225,0.000478149,0.01105573
SDS,5.650080946,2.160082031,0.618803314,3.490740889,0.000481683,0.006395562,250.4485332,1.789027864,0.215596615,8.298033168,1.06E-16,8.64E-14
SERPING1,30.9816183,1.958796954,0.250698276,7.813364264,5.57E-15,4.91E-13,128.9818637,1.546671925,0.270189208,5.724403054,1.04E-08,1.38E-06
SLAMF7,80.22527282,3.776979309,0.364615559,10.35879905,3.82E-25,8.06E-23,453.3725998,3.596538422,0.384723955,9.348361016,8.90E-21,2.95E-17
SLAMF8,17.24316764,3.242041685,0.396303347,8.180707309,2.82E-16,2.83E-14,124.7503804,1.548180322,0.24920683,6.212431339,5.22E-10,9.36E-08
