p_val,avg_logFC,Severe/Mod (pct cell expr),Healthy (pct cells expr),p_val_adj,comp,gene,clust,pt,seurat_clusters,final
0,0.720749448,0.387,0.014,0,severe-mod_vs_Healthy_clust_0,JCHAIN,0,severe-mod,0,CD4
0,-0.269607358,0.998,0.999,0,severe-mod_vs_Healthy_clust_0,TPT1,0,severe-mod,0,CD4
2.05E-258,-0.321781085,0.997,1,6.88E-254,severe-mod_vs_Healthy_clust_0,MT-ND1,0,severe-mod,0,CD4
6.28E-254,-0.277941281,0.998,1,2.11E-249,severe-mod_vs_Healthy_clust_0,MT-ATP6,0,severe-mod,0,CD4
6.42E-231,-0.356915305,0.987,1,2.15E-226,severe-mod_vs_Healthy_clust_0,MT-ND3,0,severe-mod,0,CD4
1.91E-221,-0.302652813,0.998,0.999,6.41E-217,severe-mod_vs_Healthy_clust_0,RPL13A,0,severe-mod,0,CD4
6.81E-221,-0.336516956,0.955,0.988,2.28E-216,severe-mod_vs_Healthy_clust_0,TOMM7,0,severe-mod,0,CD4
2.40E-213,0.506082975,0.266,0.046,8.03E-209,severe-mod_vs_Healthy_clust_0,IFI44L,0,severe-mod,0,CD4
2.75E-207,-0.270404157,0.999,1,9.24E-203,severe-mod_vs_Healthy_clust_0,MT-CYB,0,severe-mod,0,CD4
1.37E-200,-0.355164002,0.987,0.999,4.58E-196,severe-mod_vs_Healthy_clust_0,MT-ND2,0,severe-mod,0,CD4
1.60E-176,-0.294200413,0.985,0.996,5.35E-172,severe-mod_vs_Healthy_clust_0,RPS11,0,severe-mod,0,CD4
3.02E-171,-0.351884562,0.985,0.994,1.01E-166,severe-mod_vs_Healthy_clust_0,RPS20,0,severe-mod,0,CD4
9.49E-161,0.399147885,0.906,0.812,3.18E-156,severe-mod_vs_Healthy_clust_0,ETS1,0,severe-mod,0,CD4
3.71E-153,-0.365742619,0.976,0.99,1.24E-148,severe-mod_vs_Healthy_clust_0,RPL27A,0,severe-mod,0,CD4
1.40E-144,0.342861042,0.989,0.989,4.71E-140,severe-mod_vs_Healthy_clust_0,TXNIP,0,severe-mod,0,CD4
3.53E-134,-0.43306582,0.613,0.809,1.18E-129,severe-mod_vs_Healthy_clust_0,ANXA1,0,severe-mod,0,CD4
6.84E-133,-0.354956559,0.693,0.885,2.30E-128,severe-mod_vs_Healthy_clust_0,DUSP1,0,severe-mod,0,CD4
2.60E-125,0.375627489,0.863,0.759,8.72E-121,severe-mod_vs_Healthy_clust_0,RIPOR2,0,severe-mod,0,CD4
8.29E-120,0.361264356,0.835,0.703,2.78E-115,severe-mod_vs_Healthy_clust_0,MBNL1,0,severe-mod,0,CD4
6.02E-119,-0.717303554,0.099,0.312,2.02E-114,severe-mod_vs_Healthy_clust_0,RPS4Y1,0,severe-mod,0,CD4
5.45E-114,-0.392390359,0.233,0.468,1.83E-109,severe-mod_vs_Healthy_clust_0,IER5,0,severe-mod,0,CD4
5.71E-114,0.453866173,0.563,0.361,1.91E-109,severe-mod_vs_Healthy_clust_0,HIST1H1E,0,severe-mod,0,CD4
9.51E-109,0.42436901,0.674,0.503,3.19E-104,severe-mod_vs_Healthy_clust_0,BCL2,0,severe-mod,0,CD4
2.29E-105,0.356211665,0.668,0.484,7.68E-101,severe-mod_vs_Healthy_clust_0,DDX6,0,severe-mod,0,CD4
1.34E-103,0.500714793,0.564,0.379,4.48E-99,severe-mod_vs_Healthy_clust_0,SOCS3,0,severe-mod,0,CD4
4.31E-100,-0.396198887,0.31,0.52,1.45E-95,severe-mod_vs_Healthy_clust_0,RGCC,0,severe-mod,0,CD4
6.49E-96,0.414793909,0.626,0.432,2.18E-91,severe-mod_vs_Healthy_clust_0,XIST,0,severe-mod,0,CD4
1.35E-95,-0.36631795,0.959,0.979,4.51E-91,severe-mod_vs_Healthy_clust_0,RPS26,0,severe-mod,0,CD4
8.10E-95,-0.360277649,0.492,0.691,2.72E-90,severe-mod_vs_Healthy_clust_0,TNFAIP3,0,severe-mod,0,CD4
1.43E-92,0.35054659,0.696,0.533,4.80E-88,severe-mod_vs_Healthy_clust_0,RNF213,0,severe-mod,0,CD4
4.96E-92,0.35896816,0.816,0.724,1.66E-87,severe-mod_vs_Healthy_clust_0,STK17B,0,severe-mod,0,CD4
1.78E-90,0.357259882,0.783,0.661,5.96E-86,severe-mod_vs_Healthy_clust_0,SELL,0,severe-mod,0,CD4
9.05E-85,0.39975798,0.386,0.215,3.04E-80,severe-mod_vs_Healthy_clust_0,XAF1,0,severe-mod,0,CD4
9.80E-84,0.367777916,0.467,0.286,3.29E-79,severe-mod_vs_Healthy_clust_0,MYC,0,severe-mod,0,CD4
4.04E-82,0.264195787,0.882,0.806,1.35E-77,severe-mod_vs_Healthy_clust_0,HNRNPU,0,severe-mod,0,CD4
8.58E-80,0.342064956,0.461,0.288,2.88E-75,severe-mod_vs_Healthy_clust_0,TXK,0,severe-mod,0,CD4
1.78E-79,0.318417603,0.756,0.65,5.97E-75,severe-mod_vs_Healthy_clust_0,TRA2B,0,severe-mod,0,CD4
8.12E-79,0.329552816,0.722,0.577,2.72E-74,severe-mod_vs_Healthy_clust_0,SMCHD1,0,severe-mod,0,CD4
1.44E-77,0.262958052,0.961,0.876,4.82E-73,severe-mod_vs_Healthy_clust_0,IL32,0,severe-mod,0,CD4
3.90E-74,0.339702919,0.672,0.525,1.31E-69,severe-mod_vs_Healthy_clust_0,PRMT2,0,severe-mod,0,CD4
4.29E-73,0.28273257,0.831,0.747,1.44E-68,severe-mod_vs_Healthy_clust_0,DDX24,0,severe-mod,0,CD4
2.30E-70,0.305417048,0.667,0.523,7.70E-66,severe-mod_vs_Healthy_clust_0,EPB41,0,severe-mod,0,CD4
1.46E-69,0.286188688,0.722,0.602,4.89E-65,severe-mod_vs_Healthy_clust_0,SFPQ,0,severe-mod,0,CD4
2.94E-69,0.255311455,0.846,0.766,9.84E-65,severe-mod_vs_Healthy_clust_0,ARGLU1,0,severe-mod,0,CD4
7.22E-68,-0.276467717,0.665,0.794,2.42E-63,severe-mod_vs_Healthy_clust_0,CXCR4,0,severe-mod,0,CD4
3.15E-67,0.260983043,0.794,0.69,1.06E-62,severe-mod_vs_Healthy_clust_0,SRRM2,0,severe-mod,0,CD4
1.46E-66,0.276406258,0.795,0.691,4.88E-62,severe-mod_vs_Healthy_clust_0,PRRC2C,0,severe-mod,0,CD4
3.08E-66,0.408679723,0.565,0.44,1.03E-61,severe-mod_vs_Healthy_clust_0,ARID5B,0,severe-mod,0,CD4
1.15E-64,0.31566524,0.719,0.606,3.86E-60,severe-mod_vs_Healthy_clust_0,HNRNPH1,0,severe-mod,0,CD4
5.55E-63,0.304443008,0.9,0.868,1.86E-58,severe-mod_vs_Healthy_clust_0,MTRNR2L12,0,severe-mod,0,CD4
2.77E-61,0.276635155,0.649,0.515,9.30E-57,severe-mod_vs_Healthy_clust_0,STAT3,0,severe-mod,0,CD4
3.22E-61,0.313537345,0.571,0.427,1.08E-56,severe-mod_vs_Healthy_clust_0,PIM1,0,severe-mod,0,CD4
3.98E-60,0.340542994,0.44,0.286,1.34E-55,severe-mod_vs_Healthy_clust_0,ITGA4,0,severe-mod,0,CD4
