"dataset","method","threshold","auroc","n_true"
"covid","Decipher",0,0.535,345
"covid","RidgeRegr",0,0.53,345
"covid","SpearmanCorr",0,0.523,345
"covid","LROnly",0,0.555,345
"covid","Decipher",1,0.582,50
"covid","RidgeRegr",1,0.553,50
"covid","SpearmanCorr",1,0.571,50
"covid","LROnly",1,0.599,50
"covid","Decipher",2,0.862,8
"covid","RidgeRegr",2,0.752,8
"covid","SpearmanCorr",2,0.858,8
"covid","LROnly",2,0.831,8
"covid","Decipher",3,0.965,1
"covid","RidgeRegr",3,0.955,1
"covid","SpearmanCorr",3,0.93,1
"covid","LROnly",3,0.917,1
"5yr_pic","Decipher",0,0.581,106
"5yr_pic","RidgeRegr",0,0.581,106
"5yr_pic","SpearmanCorr",0,0.59,106
"5yr_pic","LROnly",0,0.622,106
"5yr_pic","Decipher",1,0.589,43
"5yr_pic","RidgeRegr",1,0.589,43
"5yr_pic","SpearmanCorr",1,0.61,43
"5yr_pic","LROnly",1,0.646,43
"5yr_pic","Decipher",2,0.583,28
"5yr_pic","RidgeRegr",2,0.582,28
"5yr_pic","SpearmanCorr",2,0.616,28
"5yr_pic","LROnly",2,0.644,28
"5yr_pic","Decipher",3,0.532,23
"5yr_pic","RidgeRegr",3,0.527,23
"5yr_pic","SpearmanCorr",3,0.57,23
"5yr_pic","LROnly",3,0.607,23
"5yr_pic","Decipher",4,0.568,20
"5yr_pic","RidgeRegr",4,0.561,20
"5yr_pic","SpearmanCorr",4,0.564,20
"5yr_pic","LROnly",4,0.603,20
"5yr_pic","Decipher",5,0.55,18
"5yr_pic","RidgeRegr",5,0.546,18
"5yr_pic","SpearmanCorr",5,0.545,18
"5yr_pic","LROnly",5,0.59,18
"5yr_pic","Decipher",6,0.539,14
"5yr_pic","RidgeRegr",6,0.535,14
"5yr_pic","SpearmanCorr",6,0.536,14
"5yr_pic","LROnly",6,0.594,14
"5yr_pic","Decipher",7,0.508,12
"5yr_pic","RidgeRegr",7,0.509,12
"5yr_pic","SpearmanCorr",7,0.506,12
"5yr_pic","LROnly",7,0.576,12
"5yr_pic","Decipher",8,0.513,11
"5yr_pic","RidgeRegr",8,0.514,11
"5yr_pic","SpearmanCorr",8,0.511,11
"5yr_pic","LROnly",8,0.587,11
"5yr_pic","Decipher",9,0.521,9
"5yr_pic","RidgeRegr",9,0.518,9
"5yr_pic","SpearmanCorr",9,0.513,9
"5yr_pic","LROnly",9,0.51,9
"5yr_pic","Decipher",10,0.521,9
"5yr_pic","RidgeRegr",10,0.518,9
"5yr_pic","SpearmanCorr",10,0.513,9
"5yr_pic","LROnly",10,0.51,9
"5yr_pic","Decipher",11,0.539,7
"5yr_pic","RidgeRegr",11,0.535,7
"5yr_pic","SpearmanCorr",11,0.53,7
"5yr_pic","LROnly",11,0.528,7
"5yr_pic","Decipher",12,0.459,4
