"dataset","method","threshold","auroc","n_true"
"5yr_pic","Decipher",0,0.581,106
"5yr_pic","RidgeRegr",0,0.581,106
"5yr_pic","OLSRegr",0,0.591,106
"5yr_pic","Decipher",1,0.589,43
"5yr_pic","RidgeRegr",1,0.589,43
"5yr_pic","OLSRegr",1,0.612,43
"5yr_pic","Decipher",2,0.583,28
"5yr_pic","RidgeRegr",2,0.582,28
"5yr_pic","OLSRegr",2,0.618,28
"5yr_pic","Decipher",3,0.532,23
"5yr_pic","RidgeRegr",3,0.527,23
"5yr_pic","OLSRegr",3,0.57,23
"5yr_pic","Decipher",4,0.568,20
"5yr_pic","RidgeRegr",4,0.561,20
"5yr_pic","OLSRegr",4,0.563,20
"5yr_pic","Decipher",5,0.55,18
"5yr_pic","RidgeRegr",5,0.546,18
"5yr_pic","OLSRegr",5,0.547,18
"5yr_pic","Decipher",6,0.539,14
"5yr_pic","RidgeRegr",6,0.535,14
"5yr_pic","OLSRegr",6,0.536,14
"5yr_pic","Decipher",7,0.508,12
"5yr_pic","RidgeRegr",7,0.509,12
"5yr_pic","OLSRegr",7,0.506,12
"5yr_pic","Decipher",8,0.513,11
"5yr_pic","RidgeRegr",8,0.514,11
"5yr_pic","OLSRegr",8,0.511,11
"5yr_pic","Decipher",9,0.521,9
"5yr_pic","RidgeRegr",9,0.518,9
"5yr_pic","OLSRegr",9,0.511,9
"5yr_pic","Decipher",10,0.521,9
"5yr_pic","RidgeRegr",10,0.518,9
"5yr_pic","OLSRegr",10,0.511,9
"5yr_pic","Decipher",11,0.539,7
"5yr_pic","RidgeRegr",11,0.535,7
"5yr_pic","OLSRegr",11,0.528,7
"5yr_pic","Decipher",12,0.459,4
"5yr_pic","RidgeRegr",12,0.459,4
"5yr_pic","OLSRegr",12,0.453,4
"5yr_pic","Decipher",13,0.46,2
"5yr_pic","RidgeRegr",13,0.46,2
"5yr_pic","OLSRegr",13,0.453,2
"5yr_pic","Decipher",14,0.46,2
"5yr_pic","RidgeRegr",14,0.46,2
"5yr_pic","OLSRegr",14,0.453,2
"5yr_pic","Decipher",15,0.46,2
"5yr_pic","RidgeRegr",15,0.46,2
"5yr_pic","OLSRegr",15,0.453,2
"5yr_pic","Decipher",16,0.46,2
"5yr_pic","RidgeRegr",16,0.46,2
"5yr_pic","OLSRegr",16,0.453,2
"bcg","Decipher",0,0.591,156
"bcg","RidgeRegr",0,0.588,156
"bcg","OLSRegr",0,0.575,156
"bcg","Decipher",1,0.619,69
"bcg","RidgeRegr",1,0.627,69
"bcg","OLSRegr",1,0.615,69
"bcg","Decipher",2,0.671,26
"bcg","RidgeRegr",2,0.669,26
"bcg","OLSRegr",2,0.667,26
"bcg","Decipher",3,0.698,12
"bcg","RidgeRegr",3,0.682,12
"bcg","OLSRegr",3,0.676,12
"bcg","Decipher",4,0.772,4
"bcg","RidgeRegr",4,0.75,4
"bcg","OLSRegr",4,0.75,4
"bcg","Decipher",5,0.71,3
"bcg","RidgeRegr",5,0.69,3
"bcg","OLSRegr",5,0.714,3
"bcg","Decipher",6,0.704,2
"bcg","RidgeRegr",6,0.668,2
"bcg","OLSRegr",6,0.707,2
"cord_pic","Decipher",0,0.573,103
"cord_pic","RidgeRegr",0,0.58,103
"cord_pic","OLSRegr",0,0.548,103
"cord_pic","Decipher",1,0.627,38
"cord_pic","RidgeRegr",1,0.635,38
"cord_pic","OLSRegr",1,0.627,38
"cord_pic","Decipher",2,0.6,24
"cord_pic","RidgeRegr",2,0.6,24
"cord_pic","OLSRegr",2,0.596,24
"cord_pic","Decipher",3,0.598,21
"cord_pic","RidgeRegr",3,0.592,21
"cord_pic","OLSRegr",3,0.59,21
"cord_pic","Decipher",4,0.617,18
"cord_pic","RidgeRegr",4,0.616,18
"cord_pic","OLSRegr",4,0.613,18
"cord_pic","Decipher",5,0.616,15
"cord_pic","RidgeRegr",5,0.613,15
"cord_pic","OLSRegr",5,0.615,15
"cord_pic","Decipher",6,0.556,13
"cord_pic","RidgeRegr",6,0.556,13
"cord_pic","OLSRegr",6,0.554,13
"cord_pic","Decipher",7,0.537,10
"cord_pic","RidgeRegr",7,0.544,10
"cord_pic","OLSRegr",7,0.539,10
"cord_pic","Decipher",8,0.495,9
"cord_pic","RidgeRegr",8,0.497,9
"cord_pic","OLSRegr",8,0.491,9
"cord_pic","Decipher",9,0.512,7
"cord_pic","RidgeRegr",9,0.511,7
"cord_pic","OLSRegr",9,0.507,7
"cord_pic","Decipher",10,0.613,3
"cord_pic","RidgeRegr",10,0.593,3
"cord_pic","OLSRegr",10,0.602,3
"cord_pic","Decipher",11,0.437,2
"cord_pic","RidgeRegr",11,0.45,2
"cord_pic","OLSRegr",11,0.437,2
"cord_pic","Decipher",12,0.437,2
"cord_pic","RidgeRegr",12,0.45,2
"cord_pic","OLSRegr",12,0.437,2
"cord_pic","Decipher",13,0.437,2
"cord_pic","RidgeRegr",13,0.45,2
"cord_pic","OLSRegr",13,0.437,2
"cord_pic","Decipher",14,0.437,2
"cord_pic","RidgeRegr",14,0.45,2
"cord_pic","OLSRegr",14,0.437,2
"covid","Decipher",0,0.535,345
"covid","RidgeRegr",0,0.53,345
"covid","OLSRegr",0,0.518,345
"covid","Decipher",1,0.582,50
"covid","RidgeRegr",1,0.553,50
"covid","OLSRegr",1,0.554,50
"covid","Decipher",2,0.862,8
"covid","RidgeRegr",2,0.752,8
"covid","OLSRegr",2,0.753,8
"covid","Decipher",3,0.965,1
"covid","RidgeRegr",3,0.955,1
"covid","OLSRegr",3,0.953,1
"erp","Decipher",0,0.531,128
"erp","RidgeRegr",0,0.532,128
"erp","OLSRegr",0,0.526,128
"erp","Decipher",1,0.589,9
"erp","RidgeRegr",1,0.578,9
"erp","OLSRegr",1,0.574,9
"erp","Decipher",2,0.718,4
"erp","RidgeRegr",2,0.701,4
"erp","OLSRegr",2,0.698,4
"erp","Decipher",3,0.471,1
"erp","RidgeRegr",3,0.471,1
"erp","OLSRegr",3,0.467,1
"lupus","Decipher",0,0.5,152
"lupus","RidgeRegr",0,0.506,152
"lupus","OLSRegr",0,0.506,152
"lupus","Decipher",1,0.5,6
"lupus","RidgeRegr",1,0.497,6
"lupus","OLSRegr",1,0.497,6
"sepsis","Decipher",0,0.489,252
"sepsis","RidgeRegr",0,0.488,252
"sepsis","OLSRegr",0,0.488,252
"tnbc","Decipher",0,0.58,135
"tnbc","RidgeRegr",0,0.579,135
"tnbc","OLSRegr",0,0.59,135
"tnbc","Decipher",1,0.567,28
"tnbc","RidgeRegr",1,0.548,28
"tnbc","OLSRegr",1,0.547,28
"tnbc","Decipher",2,0.8,6
"tnbc","RidgeRegr",2,0.767,6
"tnbc","OLSRegr",2,0.75,6
"tnbc","Decipher",3,0.706,2
"tnbc","RidgeRegr",3,0.663,2
"tnbc","OLSRegr",3,0.686,2
"cz_influenza","Decipher",0,0.531,186
"cz_influenza","RidgeRegr",0,0.523,186
"cz_influenza","OLSRegr",0,0.532,186
"cz_influenza","Decipher",1,0.453,54
"cz_influenza","RidgeRegr",1,0.459,54
"cz_influenza","OLSRegr",1,0.453,54
"cz_influenza","Decipher",2,0.463,16
"cz_influenza","RidgeRegr",2,0.459,16
"cz_influenza","OLSRegr",2,0.454,16
"cz_influenza","Decipher",3,0.457,3
"cz_influenza","RidgeRegr",3,0.463,3
"cz_influenza","OLSRegr",3,0.457,3
"cz_hpap_t1d_islets","Decipher",0,0.492,157
"cz_hpap_t1d_islets","RidgeRegr",0,0.498,157
"cz_hpap_t1d_islets","OLSRegr",0,0.502,157
"cz_hpap_t1d_islets","Decipher",1,0.44,35
"cz_hpap_t1d_islets","RidgeRegr",1,0.492,35
"cz_hpap_t1d_islets","OLSRegr",1,0.525,35
"cz_hnscc_hpv","Decipher",0,0.551,334
"cz_hnscc_hpv","RidgeRegr",0,0.549,334
"cz_hnscc_hpv","OLSRegr",0,0.547,334
"cz_hnscc_hpv","Decipher",1,0.549,50
"cz_hnscc_hpv","RidgeRegr",1,0.548,50
