"dataset","method","threshold","auroc","n_true"
"5yr_pic","Decipher",0,0.581,106
"5yr_pic","SumOverTFs",0,0.582,106
"5yr_pic","NoSpearmanSign",0,0.502,106
"5yr_pic","UnsignedMagnitude",0,0.525,106
"5yr_pic","ImpOnly",0,0.525,106
"5yr_pic","Decipher",1,0.589,43
"5yr_pic","SumOverTFs",1,0.589,43
"5yr_pic","NoSpearmanSign",1,0.548,43
"5yr_pic","UnsignedMagnitude",1,0.585,43
"5yr_pic","ImpOnly",1,0.585,43
"5yr_pic","Decipher",2,0.583,28
"5yr_pic","SumOverTFs",2,0.583,28
"5yr_pic","NoSpearmanSign",2,0.55,28
"5yr_pic","UnsignedMagnitude",2,0.61,28
"5yr_pic","ImpOnly",2,0.61,28
"5yr_pic","Decipher",3,0.532,23
"5yr_pic","SumOverTFs",3,0.532,23
"5yr_pic","NoSpearmanSign",3,0.544,23
"5yr_pic","UnsignedMagnitude",3,0.571,23
"5yr_pic","ImpOnly",3,0.57,23
"5yr_pic","Decipher",4,0.568,20
"5yr_pic","SumOverTFs",4,0.568,20
"5yr_pic","NoSpearmanSign",4,0.588,20
"5yr_pic","UnsignedMagnitude",4,0.567,20
"5yr_pic","ImpOnly",4,0.566,20
"5yr_pic","Decipher",5,0.55,18
"5yr_pic","SumOverTFs",5,0.55,18
"5yr_pic","NoSpearmanSign",5,0.574,18
"5yr_pic","UnsignedMagnitude",5,0.553,18
"5yr_pic","ImpOnly",5,0.552,18
"5yr_pic","Decipher",6,0.539,14
"5yr_pic","SumOverTFs",6,0.539,14
"5yr_pic","NoSpearmanSign",6,0.578,14
"5yr_pic","UnsignedMagnitude",6,0.557,14
"5yr_pic","ImpOnly",6,0.556,14
"5yr_pic","Decipher",7,0.508,12
"5yr_pic","SumOverTFs",7,0.508,12
"5yr_pic","NoSpearmanSign",7,0.556,12
"5yr_pic","UnsignedMagnitude",7,0.535,12
"5yr_pic","ImpOnly",7,0.534,12
"5yr_pic","Decipher",8,0.513,11
"5yr_pic","SumOverTFs",8,0.513,11
"5yr_pic","NoSpearmanSign",8,0.569,11
"5yr_pic","UnsignedMagnitude",8,0.547,11
"5yr_pic","ImpOnly",8,0.546,11
"5yr_pic","Decipher",9,0.521,9
"5yr_pic","SumOverTFs",9,0.521,9
"5yr_pic","NoSpearmanSign",9,0.484,9
"5yr_pic","UnsignedMagnitude",9,0.465,9
"5yr_pic","ImpOnly",9,0.465,9
"5yr_pic","Decipher",10,0.521,9
"5yr_pic","SumOverTFs",10,0.521,9
"5yr_pic","NoSpearmanSign",10,0.484,9
"5yr_pic","UnsignedMagnitude",10,0.465,9
"5yr_pic","ImpOnly",10,0.465,9
"5yr_pic","Decipher",11,0.539,7
"5yr_pic","SumOverTFs",11,0.539,7
"5yr_pic","NoSpearmanSign",11,0.503,7
"5yr_pic","UnsignedMagnitude",11,0.486,7
"5yr_pic","ImpOnly",11,0.486,7
"5yr_pic","Decipher",12,0.459,4
"5yr_pic","SumOverTFs",12,0.459,4
"5yr_pic","NoSpearmanSign",12,0.419,4
"5yr_pic","UnsignedMagnitude",12,0.399,4
"5yr_pic","ImpOnly",12,0.399,4
"5yr_pic","Decipher",13,0.46,2
"5yr_pic","SumOverTFs",13,0.46,2
"5yr_pic","NoSpearmanSign",13,0.42,2
"5yr_pic","UnsignedMagnitude",13,0.4,2
"5yr_pic","ImpOnly",13,0.4,2
"5yr_pic","Decipher",14,0.46,2
"5yr_pic","SumOverTFs",14,0.46,2
"5yr_pic","NoSpearmanSign",14,0.42,2
"5yr_pic","UnsignedMagnitude",14,0.4,2
"5yr_pic","ImpOnly",14,0.4,2
"5yr_pic","Decipher",15,0.46,2
"5yr_pic","SumOverTFs",15,0.46,2
"5yr_pic","NoSpearmanSign",15,0.42,2
"5yr_pic","UnsignedMagnitude",15,0.4,2
"5yr_pic","ImpOnly",15,0.4,2
"5yr_pic","Decipher",16,0.46,2
"5yr_pic","SumOverTFs",16,0.46,2
"5yr_pic","NoSpearmanSign",16,0.42,2
"5yr_pic","UnsignedMagnitude",16,0.4,2
"5yr_pic","ImpOnly",16,0.4,2
"bcg","Decipher",0,0.591,156
"bcg","SumOverTFs",0,0.591,156
"bcg","NoSpearmanSign",0,0.53,156
"bcg","UnsignedMagnitude",0,0.486,156
"bcg","ImpOnly",0,0.487,156
"bcg","Decipher",1,0.619,69
"bcg","SumOverTFs",1,0.62,69
"bcg","NoSpearmanSign",1,0.541,69
"bcg","UnsignedMagnitude",1,0.517,69
"bcg","ImpOnly",1,0.512,69
"bcg","Decipher",2,0.671,26
"bcg","SumOverTFs",2,0.673,26
"bcg","NoSpearmanSign",2,0.552,26
"bcg","UnsignedMagnitude",2,0.518,26
"bcg","ImpOnly",2,0.509,26
"bcg","Decipher",3,0.698,12
"bcg","SumOverTFs",3,0.7,12
"bcg","NoSpearmanSign",3,0.436,12
"bcg","UnsignedMagnitude",3,0.562,12
"bcg","ImpOnly",3,0.557,12
"bcg","Decipher",4,0.772,4
"bcg","SumOverTFs",4,0.776,4
"bcg","NoSpearmanSign",4,0.448,4
"bcg","UnsignedMagnitude",4,0.668,4
"bcg","ImpOnly",4,0.663,4
"bcg","Decipher",5,0.71,3
"bcg","SumOverTFs",5,0.713,3
"bcg","NoSpearmanSign",5,0.587,3
"bcg","UnsignedMagnitude",5,0.582,3
"bcg","ImpOnly",5,0.574,3
"bcg","Decipher",6,0.704,2
"bcg","SumOverTFs",6,0.704,2
"bcg","NoSpearmanSign",6,0.751,2
"bcg","UnsignedMagnitude",6,0.605,2
"bcg","ImpOnly",6,0.594,2
"cord_pic","Decipher",0,0.573,103
"cord_pic","SumOverTFs",0,0.573,103
"cord_pic","NoSpearmanSign",0,0.538,103
"cord_pic","UnsignedMagnitude",0,0.546,103
"cord_pic","ImpOnly",0,0.546,103
"cord_pic","Decipher",1,0.627,38
"cord_pic","SumOverTFs",1,0.627,38
"cord_pic","NoSpearmanSign",1,0.578,38
"cord_pic","UnsignedMagnitude",1,0.602,38
"cord_pic","ImpOnly",1,0.603,38
"cord_pic","Decipher",2,0.6,24
"cord_pic","SumOverTFs",2,0.6,24
"cord_pic","NoSpearmanSign",2,0.556,24
"cord_pic","UnsignedMagnitude",2,0.594,24
"cord_pic","ImpOnly",2,0.596,24
"cord_pic","Decipher",3,0.598,21
"cord_pic","SumOverTFs",3,0.599,21
"cord_pic","NoSpearmanSign",3,0.558,21
"cord_pic","UnsignedMagnitude",3,0.601,21
"cord_pic","ImpOnly",3,0.602,21
"cord_pic","Decipher",4,0.617,18
"cord_pic","SumOverTFs",4,0.617,18
"cord_pic","NoSpearmanSign",4,0.575,18
"cord_pic","UnsignedMagnitude",4,0.57,18
"cord_pic","ImpOnly",4,0.57,18
"cord_pic","Decipher",5,0.616,15
"cord_pic","SumOverTFs",5,0.616,15
"cord_pic","NoSpearmanSign",5,0.574,15
"cord_pic","UnsignedMagnitude",5,0.569,15
"cord_pic","ImpOnly",5,0.568,15
"cord_pic","Decipher",6,0.556,13
"cord_pic","SumOverTFs",6,0.556,13
"cord_pic","NoSpearmanSign",6,0.509,13
"cord_pic","UnsignedMagnitude",6,0.503,13
"cord_pic","ImpOnly",6,0.503,13
"cord_pic","Decipher",7,0.537,10
"cord_pic","SumOverTFs",7,0.537,10
"cord_pic","NoSpearmanSign",7,0.487,10
"cord_pic","UnsignedMagnitude",7,0.482,10
"cord_pic","ImpOnly",7,0.482,10
"cord_pic","Decipher",8,0.495,9
"cord_pic","SumOverTFs",8,0.495,9
"cord_pic","NoSpearmanSign",8,0.445,9
"cord_pic","UnsignedMagnitude",8,0.439,9
"cord_pic","ImpOnly",8,0.439,9
"cord_pic","Decipher",9,0.512,7
"cord_pic","SumOverTFs",9,0.512,7
"cord_pic","NoSpearmanSign",9,0.465,7
"cord_pic","UnsignedMagnitude",9,0.459,7
"cord_pic","ImpOnly",9,0.459,7
"cord_pic","Decipher",10,0.613,3
"cord_pic","SumOverTFs",10,0.613,3
"cord_pic","NoSpearmanSign",10,0.577,3
"cord_pic","UnsignedMagnitude",10,0.573,3
"cord_pic","ImpOnly",10,0.573,3
"cord_pic","Decipher",11,0.437,2
"cord_pic","SumOverTFs",11,0.437,2
