"dataset","cluster","tf","method","cv_r2"
"5yr_pic","CD4_T","ELF1","ranger_et",0.916181626958493
"5yr_pic","CD4_T","CHD2","ranger_et",0.863746042280643
"5yr_pic","CD4_T","MYC","ranger_et",0.865887556968256
"5yr_pic","CD4_T","ID3","ranger_et",0.894266238460937
"5yr_pic","CD4_T","POU2F2","ranger_et",0.8066020936876
"5yr_pic","CD4_T","MAFB","ranger_et",0.830960480082404
"5yr_pic","CD4_T","ZBTB1","ranger_et",0.847874628227215
"5yr_pic","CD4_T","ETV3","ranger_et",0.860252985788333
"5yr_pic","CD4_T","ASCL2","ranger_et",0.876061728266207
"5yr_pic","CD4_T","GCM1","ranger_et",0.86223107713273
"5yr_pic","CD4_T","BHLHE40","ranger_et",0.90324573980788
"5yr_pic","CD4_T","TCF7","ranger_et",0.833791643600597
"5yr_pic","CD4_T","RBPJ","ranger_et",0.868170125790338
"5yr_pic","CD4_T","RUNX3","ranger_et",0.863754471811174
"5yr_pic","CD4_T","ETV5","ranger_et",0.893311205279166
"5yr_pic","CD4_T","MYBL1","ranger_et",0.900616021307996
"5yr_pic","CD4_T","CEBPD","ranger_et",0.852804570736354
"5yr_pic","CD4_T","EGR2","ranger_et",0.919815168142796
"5yr_pic","CD4_T","XBP1","ranger_et",0.901745188113651
"5yr_pic","CD4_T","HIF1A","ranger_et",0.86219502864095
"5yr_pic","CD4_T","ID2","ranger_et",0.900418751917082
"5yr_pic","CD4_T","ITGB2","ranger_et",0.849327743351709
"5yr_pic","CD4_T","ZBTB16","ranger_et",0.873377082451701
"5yr_pic","CD4_T","ATF3","ranger_et",0.902908362963603
"5yr_pic","CD4_T","PRDM1","ranger_et",0.928679685023529
"5yr_pic","CD4_T","MAFA","ranger_et",0.84288431209225
"5yr_pic","CD4_T","FOS","ranger_et",0.908793231761235
"5yr_pic","CD4_T","IKZF1","ranger_et",0.887716359616787
"5yr_pic","CD4_T","RORA","ranger_et",0.892548162746401
"5yr_pic","CD4_T","NFE2L2","ranger_et",0.871293576355793
"5yr_pic","CD4_T","ENO1","ranger_et",0.876590434677956
"5yr_pic","CD4_T","BATF3","ranger_et",0.899647939825775
"5yr_pic","CD4_T","ZFP57","ranger_et",0.894935216412422
"5yr_pic","CD4_T","CEBPZ","ranger_et",0.893004465160931
"5yr_pic","CD4_T","ZEB1","ranger_et",0.921981205125578
"5yr_pic","CD4_T","ARNTL","ranger_et",0.91154936694747
"5yr_pic","CD4_T","EBF1","ranger_et",0.890682467303109
"5yr_pic","CD4_T","SMARCA5","ranger_et",0.882888850636963
"5yr_pic","CD4_T","TBX21","ranger_et",0.92498266905763
"5yr_pic","CD4_T","EPAS1","ranger_et",0.893549936148247
"5yr_pic","CD4_T","KLF4","ranger_et",0.883838372698956
"5yr_pic","CD4_T","RUNX2","ranger_et",0.892841174540753
"5yr_pic","CD4_T","IKZF3","ranger_et",0.909898595012152
"5yr_pic","CD4_T","STAT4","ranger_et",0.921075420835563
"5yr_pic","CD4_T","NFIA","ranger_et",0.913216725484898
"5yr_pic","CD4_T","HES4","ranger_et",0.891487865072155
"5yr_pic","CD4_T","TGIF1","ranger_et",0.897350379337459
"5yr_pic","CD4_T","KLF10","ranger_et",0.896049419021514
"5yr_pic","CD4_T","NFATC2","ranger_et",0.908133424564392
"5yr_pic","CD4_T","FOSB","ranger_et",0.923300793705819
"5yr_pic","CD4_T","E2F3","ranger_et",0.86634087281213
"5yr_pic","CD4_T","POU2F1","ranger_et",0.876798228444307
"5yr_pic","CD4_T","CEBPB","ranger_et",0.897116262635263
"5yr_pic","CD4_T","MYB","ranger_et",0.888854069866174
"5yr_pic","CD4_T","TCF4","ranger_et",0.907454360694417
"5yr_pic","CD4_T","BCL11B","ranger_et",0.918264995399106
"5yr_pic","CD4_T","NR4A3","ranger_et",0.924575215385812
"5yr_pic","CD4_T","MAF","ranger_et",0.917829599022122
"5yr_pic","CD4_T","IKZF2","ranger_et",0.887858789289858
"5yr_pic","CD4_T","NR4A1","ranger_et",0.894866766877057
"5yr_pic","CD4_T","ATF5","ranger_et",0.895953976271498
"5yr_pic","CD4_T","ATF4","ranger_et",0.911690698889775
"5yr_pic","CD4_T","BCL3","ranger_et",0.903063052222944
"5yr_pic","CD4_T","NR4A2","ranger_et",0.902844565886343
"5yr_pic","CD4_T","EOMES","ranger_et",0.930095710128663
"5yr_pic","CD4_T","BCLAF1","ranger_et",0.90356085711949
"5yr_pic","CD4_T","SPIB","ranger_et",0.913334952874994
"5yr_pic","CD4_T","FOSL2","ranger_et",0.931074603203463
"5yr_pic","CD4_T","KLF6","ranger_et",0.934724977480032
"5yr_pic","CD4_T","BCL11A","ranger_et",0.879683184132473
"5yr_pic","CD4_T","SP100","ranger_et",0.900554192448964
"5yr_pic","CD4_T","FOXP3","ranger_et",0.909283568048724
"5yr_pic","CD4_T","MEF2C","ranger_et",0.924464381558854
"5yr_pic","CD4_T","HIVEP2","ranger_et",0.893387545614687
"5yr_pic","CD4_T","ETV7","ranger_et",0.89287968905589
"5yr_pic","CD4_T","KLF3","ranger_et",0.915102671430335
"5yr_pic","CD4_T","NF1","ranger_et",0.928091417344756
"5yr_pic","CD4_T","NFKB2","ranger_et",0.89720514739085
"5yr_pic","CD4_T","BACH1","ranger_et",0.9205644780777
"5yr_pic","CD4_T","KLF2","ranger_et",0.894002390775925
"5yr_pic","CD4_T","FOXP1","ranger_et",0.919427585827827
"5yr_pic","CD4_T","REL","ranger_et",0.918009497578564
"5yr_pic","CD4_T","EGR3","ranger_et",0.923762795330308
"5yr_pic","CD4_T","NR3C1","ranger_et",0.893467277290165
"5yr_pic","CD4_T","HIVEP1","ranger_et",0.892113995213763
"5yr_pic","CD4_T","JUN","ranger_et",0.919444870644096
"5yr_pic","CD4_T","REST","ranger_et",0.918165390198305
"5yr_pic","CD4_T","BATF","ranger_et",0.93625262053642
"5yr_pic","CD4_T","EGR1","ranger_et",0.91375817717151
"5yr_pic","CD4_T","JUNB","ranger_et",0.927540004811622
"5yr_pic","CD4_T","IRF6","ranger_et",0.909440775398966
"5yr_pic","CD4_T","RFX8","ranger_et",0.899265896192687
"5yr_pic","CD4_T","ZNF683","ranger_et",0.890780796803318
"5yr_pic","CD4_T","BDP1","ranger_et",0.909908267663477
"5yr_pic","CD4_T","KLF5","ranger_et",0.907222829930439
"5yr_pic","CD4_T","TCF7L2","ranger_et",0.932644216175986
"5yr_pic","CD4_T","PAX5","ranger_et",0.903819381082553
"5yr_pic","CD4_T","SMC3","ranger_et",0.918610484303281
"5yr_pic","CD4_T","JUND","ranger_et",0.940699942220397
"5yr_pic","CD4_T","GATA3","ranger_et",0.926244774080231
"5yr_pic","CD4_T","ETS1","ranger_et",0.931376692725269
"5yr_pic","CD4_T","IRF4","ranger_et",0.922472686729404
"5yr_pic","CD4_T","IRF8","ranger_et",0.934525798912642
"5yr_pic","CD4_T","NFKB1","ranger_et",0.935192653095523
"5yr_pic","CD4_T","IRF1","ranger_et",0.923411660970093
"5yr_pic","CD4_T","STAT2","ranger_et",0.89419261223624
"5yr_pic","CD4_T","IRF2","ranger_et",0.903929642000916
"5yr_pic","CD4_T","IRF9","ranger_et",0.937918589152918
"5yr_pic","CD4_T","IRF7","ranger_et",0.936030516893532
"5yr_pic","CD4_T","STAT1","ranger_et",0.94566972093697
"5yr_pic","CD4_T","ELF1","xgboost",0.93523775913731
"5yr_pic","CD4_T","CHD2","xgboost",0.880808469876964
"5yr_pic","CD4_T","MYC","xgboost",0.89087914649122
"5yr_pic","CD4_T","ID3","xgboost",0.905474087274275
"5yr_pic","CD4_T","POU2F2","xgboost",0.828033748418324
"5yr_pic","CD4_T","MAFB","xgboost",0.853257289516836
"5yr_pic","CD4_T","ZBTB1","xgboost",0.869762578046309
"5yr_pic","CD4_T","ETV3","xgboost",0.86353742253662
"5yr_pic","CD4_T","ASCL2","xgboost",0.888485490561705
"5yr_pic","CD4_T","GCM1","xgboost",0.881558803377015
"5yr_pic","CD4_T","BHLHE40","xgboost",0.909389510888678
"5yr_pic","CD4_T","TCF7","xgboost",0.833702222634969
"5yr_pic","CD4_T","RBPJ","xgboost",0.872535138444326
"5yr_pic","CD4_T","RUNX3","xgboost",0.886125107194089
"5yr_pic","CD4_T","ETV5","xgboost",0.897183158114706
"5yr_pic","CD4_T","MYBL1","xgboost",0.902023847451235
"5yr_pic","CD4_T","CEBPD","xgboost",0.866475838421653
"5yr_pic","CD4_T","EGR2","xgboost",0.924739036758611
"5yr_pic","CD4_T","XBP1","xgboost",0.911709544913513
"5yr_pic","CD4_T","HIF1A","xgboost",0.877028219824968
"5yr_pic","CD4_T","ID2","xgboost",0.921038778819285
"5yr_pic","CD4_T","ITGB2","xgboost",0.847890902019924
"5yr_pic","CD4_T","ZBTB16","xgboost",0.904701578908076
"5yr_pic","CD4_T","ATF3","xgboost",0.910569678762347
"5yr_pic","CD4_T","PRDM1","xgboost",0.932471877683402
"5yr_pic","CD4_T","MAFA","xgboost",0.872395613140029
"5yr_pic","CD4_T","FOS","xgboost",0.907733566885363
"5yr_pic","CD4_T","IKZF1","xgboost",0.901819270451897
"5yr_pic","CD4_T","RORA","xgboost",0.903959374219509
"5yr_pic","CD4_T","NFE2L2","xgboost",0.884914527528083
"5yr_pic","CD4_T","ENO1","xgboost",0.888140889286796
"5yr_pic","CD4_T","BATF3","xgboost",0.913047681386567
"5yr_pic","CD4_T","ZFP57","xgboost",0.908380463452596
"5yr_pic","CD4_T","CEBPZ","xgboost",0.90283186785389
"5yr_pic","CD4_T","ZEB1","xgboost",0.920735575220635
"5yr_pic","CD4_T","ARNTL","xgboost",0.920924073693568
"5yr_pic","CD4_T","EBF1","xgboost",0.895087265771664
"5yr_pic","CD4_T","SMARCA5","xgboost",0.89868717212894
"5yr_pic","CD4_T","TBX21","xgboost",0.936250184897377
"5yr_pic","CD4_T","EPAS1","xgboost",0.912006764270241
"5yr_pic","CD4_T","KLF4","xgboost",0.898466722500189
"5yr_pic","CD4_T","RUNX2","xgboost",0.908606144499749
"5yr_pic","CD4_T","IKZF3","xgboost",0.920221374763881
"5yr_pic","CD4_T","STAT4","xgboost",0.929416815600663
"5yr_pic","CD4_T","NFIA","xgboost",0.913523733960706
"5yr_pic","CD4_T","HES4","xgboost",0.909578351382296
"5yr_pic","CD4_T","TGIF1","xgboost",0.902602036349513
"5yr_pic","CD4_T","KLF10","xgboost",0.909320811401129
"5yr_pic","CD4_T","NFATC2","xgboost",0.920147227658385
"5yr_pic","CD4_T","FOSB","xgboost",0.929640905063971
"5yr_pic","CD4_T","E2F3","xgboost",0.887152997044339
"5yr_pic","CD4_T","POU2F1","xgboost",0.899701873118277
"5yr_pic","CD4_T","CEBPB","xgboost",0.91018839885798
"5yr_pic","CD4_T","MYB","xgboost",0.904414858693137
