"dataset","cluster","tf","method","cv_r2"
"MilCOVID_Azimuthl2","pDC","IRF1","ranger_et",0.5741405087532
"MilCOVID_Azimuthl2","pDC","RREB1","ranger_et",0.627425358704611
"MilCOVID_Azimuthl2","pDC","NR4A1","ranger_et",0.489531486941612
"MilCOVID_Azimuthl2","pDC","NR4A3","ranger_et",0.513870363276615
"MilCOVID_Azimuthl2","pDC","TAL1","ranger_et",0.55132610815914
"MilCOVID_Azimuthl2","pDC","EBF1","ranger_et",0.545288825386234
"MilCOVID_Azimuthl2","pDC","MEF2C","ranger_et",0.575857166540167
"MilCOVID_Azimuthl2","pDC","EGR1","ranger_et",0.62976847547941
"MilCOVID_Azimuthl2","pDC","XBP1","ranger_et",0.536139662249625
"MilCOVID_Azimuthl2","pDC","MYBL2","ranger_et",0.511474113699263
"MilCOVID_Azimuthl2","pDC","KLF10","ranger_et",0.593022594070185
"MilCOVID_Azimuthl2","pDC","CHD2","ranger_et",0.618639420817275
"MilCOVID_Azimuthl2","pDC","TCF7L2","ranger_et",0.585861644119125
"MilCOVID_Azimuthl2","pDC","NR3C1","ranger_et",0.546566509839777
"MilCOVID_Azimuthl2","pDC","REL","ranger_et",0.478871967031044
"MilCOVID_Azimuthl2","pDC","STAT3","ranger_et",0.586068840324904
"MilCOVID_Azimuthl2","pDC","BCLAF1","ranger_et",0.363063445232885
"MilCOVID_Azimuthl2","pDC","PPARA","ranger_et",0.580441458383126
"MilCOVID_Azimuthl2","pDC","ITGB2","ranger_et",0.502006424272224
"MilCOVID_Azimuthl2","pDC","ZNF320","ranger_et",0.564799431204509
"MilCOVID_Azimuthl2","pDC","ZEB1","ranger_et",0.563547253203201
"MilCOVID_Azimuthl2","pDC","VDR","ranger_et",0.531776963033685
"MilCOVID_Azimuthl2","pDC","ARNTL","ranger_et",0.586837490694289
"MilCOVID_Azimuthl2","pDC","ID2","ranger_et",0.561512753562085
"MilCOVID_Azimuthl2","pDC","PRDM11","ranger_et",0.585622971004527
"MilCOVID_Azimuthl2","pDC","INSM1","ranger_et",0.457013598149729
"MilCOVID_Azimuthl2","pDC","E2F7","ranger_et",0.596800844919683
"MilCOVID_Azimuthl2","pDC","KLF2","ranger_et",0.520583660936516
"MilCOVID_Azimuthl2","pDC","RUNX3","ranger_et",0.540764314161642
"MilCOVID_Azimuthl2","pDC","FOSB","ranger_et",0.523698650366014
"MilCOVID_Azimuthl2","pDC","ID1","ranger_et",0.587653035237431
"MilCOVID_Azimuthl2","pDC","NFE2L2","ranger_et",0.549907415842276
"MilCOVID_Azimuthl2","pDC","RXRA","ranger_et",0.611743749185148
