"dataset","cluster","tf","method","cv_r2"
"SevCOVID_Azimuthl2","NK","HES4","ranger_et",0.66308720132147
"SevCOVID_Azimuthl2","NK","EGR1","ranger_et",0.681083049350961
"SevCOVID_Azimuthl2","NK","STAT3","ranger_et",0.699137806270307
"SevCOVID_Azimuthl2","NK","ZBTB7A","ranger_et",0.556672492393203
"SevCOVID_Azimuthl2","NK","IRF2","ranger_et",0.638420817345585
"SevCOVID_Azimuthl2","NK","EP300","ranger_et",0.67224600869998
"SevCOVID_Azimuthl2","NK","MYC","ranger_et",0.540781672656282
"SevCOVID_Azimuthl2","NK","USF2","ranger_et",0.574930850047921
"SevCOVID_Azimuthl2","NK","YY1","ranger_et",0.650063248039012
"SevCOVID_Azimuthl2","NK","IRF3","ranger_et",0.640098538114587
"SevCOVID_Azimuthl2","NK","ETS2","ranger_et",0.681025784005024
"SevCOVID_Azimuthl2","NK","TBX21","ranger_et",0.655133055274965
"SevCOVID_Azimuthl2","NK","POU2F2","ranger_et",0.56778106706663
"SevCOVID_Azimuthl2","NK","NFE2L2","ranger_et",0.575506108526331
"SevCOVID_Azimuthl2","NK","MBD2","ranger_et",0.630744788810417
"SevCOVID_Azimuthl2","NK","ID2","ranger_et",0.608785490694504
"SevCOVID_Azimuthl2","NK","ID1","ranger_et",0.592723019005282
"SevCOVID_Azimuthl2","NK","CTCF","ranger_et",0.527559998675597
"SevCOVID_Azimuthl2","NK","KLF9","ranger_et",0.614178126932521
"SevCOVID_Azimuthl2","NK","ZNF148","ranger_et",0.562277993888103
"SevCOVID_Azimuthl2","NK","ELF1","ranger_et",0.583755481161938
"SevCOVID_Azimuthl2","NK","ATF4","ranger_et",0.436663089673187
"SevCOVID_Azimuthl2","NK","CHD2","ranger_et",0.495503873773804
"SevCOVID_Azimuthl2","NK","ZFX","ranger_et",0.459169276366218
"SevCOVID_Azimuthl2","NK","GTF2I","ranger_et",0.554531964219308
"SevCOVID_Azimuthl2","NK","ELF2","ranger_et",0.428037313148104
"SevCOVID_Azimuthl2","NK","KLF4","ranger_et",0.50373722020978
"SevCOVID_Azimuthl2","NK","REST","ranger_et",0.55086953892454
"SevCOVID_Azimuthl2","NK","SP100","ranger_et",0.538738304955441
"SevCOVID_Azimuthl2","NK","IKZF3","ranger_et",0.517662660293735
"SevCOVID_Azimuthl2","NK","BHLHE40","ranger_et",0.499016374278433
"SevCOVID_Azimuthl2","NK","DDIT3","ranger_et",0.495958906496268
"SevCOVID_Azimuthl2","NK","SMARCA5","ranger_et",0.544932995364657
"SevCOVID_Azimuthl2","NK","FUBP1","ranger_et",0.596941492510739
"SevCOVID_Azimuthl2","NK","KLF2","ranger_et",0.554737144752616
"SevCOVID_Azimuthl2","NK","STAT1","ranger_et",0.62294955706333
"SevCOVID_Azimuthl2","NK","STAT6","ranger_et",0.434399171991256
"SevCOVID_Azimuthl2","NK","SMAD3","ranger_et",0.464201724779702
"SevCOVID_Azimuthl2","NK","KLF10","ranger_et",0.562551624798948
"SevCOVID_Azimuthl2","NK","EWSR1","ranger_et",0.526140550536312
"SevCOVID_Azimuthl2","NK","ITGB2","ranger_et",0.584967521247046
"SevCOVID_Azimuthl2","NK","GATA3","ranger_et",0.586509744534743
"SevCOVID_Azimuthl2","NK","IKZF1","ranger_et",0.561801611189845
"SevCOVID_Azimuthl2","NK","CUX1","ranger_et",0.531033759264277
"SevCOVID_Azimuthl2","NK","TCF7","ranger_et",0.506669626981472
"SevCOVID_Azimuthl2","NK","YBX1","ranger_et",0.505553051615323
"SevCOVID_Azimuthl2","NK","ZNF331","ranger_et",0.568865769147161
"SevCOVID_Azimuthl2","NK","RUNX3","ranger_et",0.557927862489588
"SevCOVID_Azimuthl2","NK","PURA","ranger_et",0.615710053631421
"SevCOVID_Azimuthl2","NK","TFDP2","ranger_et",0.590733006591846
"SevCOVID_Azimuthl2","NK","RORA","ranger_et",0.603962542877128
"SevCOVID_Azimuthl2","NK","ASCL2","ranger_et",0.627849129971126
"SevCOVID_Azimuthl2","NK","NFATC3","ranger_et",0.567321448536795
"SevCOVID_Azimuthl2","NK","JUND","ranger_et",0.570137360209969
"SevCOVID_Azimuthl2","NK","ENO1","ranger_et",0.657915816529857
"SevCOVID_Azimuthl2","NK","IRF7","ranger_et",0.664276435596634
"SevCOVID_Azimuthl2","NK","BACH1","ranger_et",0.617897732881252
"SevCOVID_Azimuthl2","NK","RELB","ranger_et",0.607777697493294
"SevCOVID_Azimuthl2","NK","CEBPZ","ranger_et",0.599764096109419
"SevCOVID_Azimuthl2","NK","RARB","ranger_et",0.651960348950019
"SevCOVID_Azimuthl2","NK","HMGN3","ranger_et",0.613374842177137
"SevCOVID_Azimuthl2","NK","KLF5","ranger_et",0.60269089523522
"SevCOVID_Azimuthl2","NK","JUNB","ranger_et",0.631087317473189
"SevCOVID_Azimuthl2","NK","TCF7L2","ranger_et",0.587445488634047
"SevCOVID_Azimuthl2","NK","IRF9","ranger_et",0.676486524355262
"SevCOVID_Azimuthl2","NK","MAFB","ranger_et",0.647944983333655
"SevCOVID_Azimuthl2","NK","REL","ranger_et",0.594672884356936
"SevCOVID_Azimuthl2","NK","RAD21","ranger_et",0.574794664584696
"SevCOVID_Azimuthl2","NK","STAT4","ranger_et",0.700279096652429
"SevCOVID_Azimuthl2","NK","FOXP1","ranger_et",0.656695127488239
"SevCOVID_Azimuthl2","NK","IRF8","ranger_et",0.647877945261077
"SevCOVID_Azimuthl2","NK","MYBL1","ranger_et",0.651953065107252
"SevCOVID_Azimuthl2","NK","MAZ","ranger_et",0.618746833688874
"SevCOVID_Azimuthl2","NK","NR4A2","ranger_et",0.668199390262122
"SevCOVID_Azimuthl2","NK","ZBTB1","ranger_et",0.673544210543769
"SevCOVID_Azimuthl2","NK","BACH2","ranger_et",0.642969538161708
"SevCOVID_Azimuthl2","NK","FOSL2","ranger_et",0.659854393498405
"SevCOVID_Azimuthl2","NK","ZNF683","ranger_et",0.702764478601527
"SevCOVID_Azimuthl2","NK","JUN","ranger_et",0.712477741572693
