"dataset","cluster","tf","method","cv_r2"
"bcg","Fibroblasts","FOXA3","ranger_et",0.820422624027661
"bcg","Fibroblasts","KLF5","ranger_et",0.791874809296072
"bcg","Fibroblasts","FLI1","ranger_et",0.836407585433651
"bcg","Fibroblasts","RFX7","ranger_et",0.850081584835935
"bcg","Fibroblasts","PRDM1","ranger_et",0.78950674885094
"bcg","Fibroblasts","PAX5","ranger_et",0.807236024907627
"bcg","Fibroblasts","CEBPB","ranger_et",0.801985241869493
"bcg","Fibroblasts","ETV5","ranger_et",0.780338016761429
"bcg","Fibroblasts","TP73","ranger_et",0.81083293806547
"bcg","Fibroblasts","RORC","ranger_et",0.802114521005175
"bcg","Fibroblasts","IRF6","ranger_et",0.841928386315533
"bcg","Fibroblasts","FOXP3","ranger_et",0.760806199188472
"bcg","Fibroblasts","GFI1","ranger_et",0.81925900900706
"bcg","Fibroblasts","MEF2C","ranger_et",0.777673360113061
"bcg","Fibroblasts","PATZ1","ranger_et",0.797312725512904
"bcg","Fibroblasts","EGR1","ranger_et",0.741156078337419
"bcg","Fibroblasts","CUX1","ranger_et",0.828791444359068
"bcg","Fibroblasts","HES2","ranger_et",0.754166881684957
"bcg","Fibroblasts","REL","ranger_et",0.760192955305447
"bcg","Fibroblasts","POU2F2","ranger_et",0.799432303138448
"bcg","Fibroblasts","SPIB","ranger_et",0.830840713617893
"bcg","Fibroblasts","CUX2","ranger_et",0.84700445409002
"bcg","Fibroblasts","IKZF1","ranger_et",0.756780768181723
"bcg","Fibroblasts","ELF3","ranger_et",0.774461200403301
"bcg","Fibroblasts","EOMES","ranger_et",0.775527330930765
"bcg","Fibroblasts","ESRRG","ranger_et",0.802030826728429
"bcg","Fibroblasts","GCM2","ranger_et",0.799383376656736
"bcg","Fibroblasts","ID3","ranger_et",0.762401362952012
"bcg","Fibroblasts","SOX7","ranger_et",0.8128750740201
"bcg","Fibroblasts","ITGB2","ranger_et",0.751350773180447
"bcg","Fibroblasts","RUNX2","ranger_et",0.76244532562043
"bcg","Fibroblasts","CEBPA","ranger_et",0.736125641300253
"bcg","Fibroblasts","LEF1","ranger_et",0.72564281727483
"bcg","Fibroblasts","STAT4","ranger_et",0.718111057183103
"bcg","Fibroblasts","IKZF3","ranger_et",0.698251611147892
"bcg","Fibroblasts","IKZF2","ranger_et",0.710015079353445
"bcg","Fibroblasts","RBPJ","ranger_et",0.694293778409236
"bcg","Fibroblasts","ELF4","ranger_et",0.670568275343303
"bcg","Fibroblasts","GRHL1","ranger_et",0.854314345584065
"bcg","Fibroblasts","ZBTB42","ranger_et",0.816298609087868
"bcg","Fibroblasts","CREB5","ranger_et",0.841079929406992
"bcg","Fibroblasts","ZBTB16","ranger_et",0.865096551211521
"bcg","Fibroblasts","KLF2","ranger_et",0.862518964075606
"bcg","Fibroblasts","ATF3","ranger_et",0.714556112494729
"bcg","Fibroblasts","SIRT6","ranger_et",0.782015341585763
"bcg","Fibroblasts","TBX20","ranger_et",0.849723674492762
"bcg","Fibroblasts","ERG","ranger_et",0.811569462924642
"bcg","Fibroblasts","IRX1","ranger_et",0.838632211222044
"bcg","Fibroblasts","MAFA","ranger_et",0.846984226043579
"bcg","Fibroblasts","MYB","ranger_et",0.875194071314449
"bcg","Fibroblasts","ZNF324","ranger_et",0.8414933909324
"bcg","Fibroblasts","NPAS3","ranger_et",0.859557427419117
"bcg","Fibroblasts","TCF7","ranger_et",0.848037958909497
"bcg","Fibroblasts","NR4A1","ranger_et",0.845600829835415
"bcg","Fibroblasts","FOXP1","ranger_et",0.867895363797199
"bcg","Fibroblasts","ASCL1","ranger_et",0.82606715233862
"bcg","Fibroblasts","BCL11B","ranger_et",0.876027153106156
"bcg","Fibroblasts","EPAS1","ranger_et",0.853235515082579
"bcg","Fibroblasts","BHLHE41","ranger_et",0.860473366987913
"bcg","Fibroblasts","IRX5","ranger_et",0.83527129037442
"bcg","Fibroblasts","IRX3","ranger_et",0.843671059178679
"bcg","Fibroblasts","MAFB","ranger_et",0.870456732164914
"bcg","Fibroblasts","KLF9","ranger_et",0.861569992067305
"bcg","Fibroblasts","TEAD4","ranger_et",0.827028081427711
"bcg","Fibroblasts","TFCP2L1","ranger_et",0.790086077270261
"bcg","Fibroblasts","GATA1","ranger_et",0.876688894484992
"bcg","Fibroblasts","NR2F2","ranger_et",0.848886539302439
"bcg","Fibroblasts","PBX1","ranger_et",0.816390557862502
"bcg","Fibroblasts","NFE2","ranger_et",0.851751461478427
"bcg","Fibroblasts","ID2","ranger_et",0.819767909124176
"bcg","Fibroblasts","NR4A2","ranger_et",0.84127786193247
"bcg","Fibroblasts","UBP1","ranger_et",0.846953642594943
"bcg","Fibroblasts","RUNX1","ranger_et",0.852208495792394
"bcg","Fibroblasts","RORA","ranger_et",0.857892474956277
"bcg","Fibroblasts","PPARG","ranger_et",0.844608177367048
"bcg","Fibroblasts","ZNF341","ranger_et",0.765955293070523
"bcg","Fibroblasts","JUN","ranger_et",0.850326408592988
"bcg","Fibroblasts","CREB3L3","ranger_et",0.847787147856451
"bcg","Fibroblasts","AHR","ranger_et",0.880077386026157
"bcg","Fibroblasts","TBX21","ranger_et",0.800930618791388
"bcg","Fibroblasts","MECOM","ranger_et",0.861374752827083
"bcg","Fibroblasts","HES7","ranger_et",0.833211666037982
"bcg","Fibroblasts","GATA3","ranger_et",0.885859199134962
"bcg","Fibroblasts","MGA","ranger_et",0.866217206995806
"bcg","Fibroblasts","FOXF2","ranger_et",0.884745099149478
"bcg","Fibroblasts","KLF6","ranger_et",0.86530870721262
"bcg","Fibroblasts","EHF","ranger_et",0.888413805226795
"bcg","Fibroblasts","FOS","ranger_et",0.828671634215966
"bcg","Fibroblasts","ZEB1","ranger_et",0.890090216433417
"bcg","Fibroblasts","KLF3","ranger_et",0.789811423439083
"bcg","Fibroblasts","TCF12","ranger_et",0.890630713840574
"bcg","Fibroblasts","GRHL2","ranger_et",0.803195262085944
"bcg","Fibroblasts","BATF","ranger_et",0.853182366300948
"bcg","Fibroblasts","GATA2","ranger_et",0.815722711106009
"bcg","Fibroblasts","TP63","ranger_et",0.846764098215578
"bcg","Fibroblasts","WT1","ranger_et",0.798890261580821
"bcg","Fibroblasts","E2F2","ranger_et",0.795453375334113
"bcg","Fibroblasts","IRF8","ranger_et",0.837572686445966
"bcg","Fibroblasts","PRDM16","ranger_et",0.849911805689627
"bcg","Fibroblasts","NFATC3","ranger_et",0.844497127461601
"bcg","Fibroblasts","NFKB1","ranger_et",0.877272762369016
"bcg","Fibroblasts","ETS1","ranger_et",0.826383895172313
"bcg","Fibroblasts","POU5F1","ranger_et",0.864116725283564
"bcg","Fibroblasts","FOXA3","xgboost",0.842904919533967
"bcg","Fibroblasts","KLF5","xgboost",0.857160765156375
"bcg","Fibroblasts","FLI1","xgboost",0.88503971593293
"bcg","Fibroblasts","RFX7","xgboost",0.874532992485671
"bcg","Fibroblasts","PRDM1","xgboost",0.820629609956592
"bcg","Fibroblasts","PAX5","xgboost",0.83494613148547
"bcg","Fibroblasts","CEBPB","xgboost",0.833984340170972
"bcg","Fibroblasts","ETV5","xgboost",0.820552500842445
"bcg","Fibroblasts","TP73","xgboost",0.8425977872401
"bcg","Fibroblasts","RORC","xgboost",0.843942928284509
"bcg","Fibroblasts","IRF6","xgboost",0.870226713354392
"bcg","Fibroblasts","FOXP3","xgboost",0.816393943271912
"bcg","Fibroblasts","GFI1","xgboost",0.834790211475382
"bcg","Fibroblasts","MEF2C","xgboost",0.847447630641393
"bcg","Fibroblasts","PATZ1","xgboost",0.831927359274801
"bcg","Fibroblasts","EGR1","xgboost",0.797416627163913
"bcg","Fibroblasts","CUX1","xgboost",0.868433867467626
"bcg","Fibroblasts","HES2","xgboost",0.800787678177003
"bcg","Fibroblasts","REL","xgboost",0.84621848316441
