"dataset","cluster","tf","method","cv_r2"
"cord_pic","NK","ELF1","ranger_et",0.80553982827911
"cord_pic","NK","EP300","ranger_et",0.763264545594827
"cord_pic","NK","ZNF76","ranger_et",0.715296281792804
"cord_pic","NK","RUNX3","ranger_et",0.843525949826672
"cord_pic","NK","EGR2","ranger_et",0.784378151506893
"cord_pic","NK","CREB3L4","ranger_et",0.701857175432665
"cord_pic","NK","ZBTB1","ranger_et",0.66637946582214
"cord_pic","NK","ATF1","ranger_et",0.708094133746196
"cord_pic","NK","BRCA1","ranger_et",0.656697221068337
"cord_pic","NK","MYC","ranger_et",0.7082729560721
"cord_pic","NK","MLXIPL","ranger_et",0.680331822594227
"cord_pic","NK","TCF7","ranger_et",0.704109952979427
"cord_pic","NK","CREM","ranger_et",0.668780354407364
"cord_pic","NK","ZNF563","ranger_et",0.720377582199228
"cord_pic","NK","SP140","ranger_et",0.566817564797575
"cord_pic","NK","TFDP2","ranger_et",0.596675579972177
"cord_pic","NK","IKZF3","ranger_et",0.754469383183374
"cord_pic","NK","DDIT3","ranger_et",0.723247922870656
"cord_pic","NK","RFX3","ranger_et",0.67614331759722
"cord_pic","NK","TBX1","ranger_et",0.745597340879921
"cord_pic","NK","BPTF","ranger_et",0.709247755669202
"cord_pic","NK","NFIL3","ranger_et",0.680574842009961
"cord_pic","NK","RORA","ranger_et",0.752403958826872
"cord_pic","NK","HIF1A","ranger_et",0.755930939395183
"cord_pic","NK","ASCL2","ranger_et",0.73079938247845
"cord_pic","NK","IKZF2","ranger_et",0.711887541764874
"cord_pic","NK","XBP1","ranger_et",0.771677091898322
"cord_pic","NK","NR4A2","ranger_et",0.774896111861976
"cord_pic","NK","GLI1","ranger_et",0.756745547830868
"cord_pic","NK","RBPJ","ranger_et",0.769994851707961
"cord_pic","NK","BHLHE40","ranger_et",0.744744424315118
"cord_pic","NK","HIVEP2","ranger_et",0.764982067835442
"cord_pic","NK","BHLHE41","ranger_et",0.764277830004856
"cord_pic","NK","PRDM16","ranger_et",0.780148823302858
"cord_pic","NK","KLF8","ranger_et",0.806856282839322
"cord_pic","NK","ZBTB16","ranger_et",0.823034415491396
"cord_pic","NK","BATF3","ranger_et",0.760959772869307
"cord_pic","NK","SMAD2","ranger_et",0.776548877762837
"cord_pic","NK","KLF13","ranger_et",0.748245724205079
"cord_pic","NK","CHD2","ranger_et",0.752035478225309
"cord_pic","NK","SP100","ranger_et",0.807927752558313
"cord_pic","NK","LMO2","ranger_et",0.834857002724033
"cord_pic","NK","GATA3","ranger_et",0.80810937084316
"cord_pic","NK","MYBL1","ranger_et",0.799216905013503
"cord_pic","NK","TCF4","ranger_et",0.770822047036014
"cord_pic","NK","E2F3","ranger_et",0.7904991717756
"cord_pic","NK","MAFB","ranger_et",0.811654241502356
