"dataset","cluster","tf","method","cv_r2"
"covid","B","KLF13","ranger_et",0.832872564745593
"covid","B","ID2","ranger_et",0.785457043910221
"covid","B","BACH1","ranger_et",0.810747241597918
"covid","B","BRF1","ranger_et",0.818617932032414
"covid","B","MYBL1","ranger_et",0.774834972060453
"covid","B","BCL6","ranger_et",0.83002369075399
"covid","B","NR4A1","ranger_et",0.815263034530236
"covid","B","CEBPZ","ranger_et",0.791380648391663
"covid","B","HIF1A","ranger_et",0.712617665421803
"covid","B","POU2F1","ranger_et",0.74619520244583
"covid","B","KLF2","ranger_et",0.806453892745843
"covid","B","FOXO1","ranger_et",0.723442247367204
"covid","B","TP63","ranger_et",0.753967362066724
"covid","B","SPIB","ranger_et",0.819873027659314
"covid","B","KLF3","ranger_et",0.7589484735465
"covid","B","KLF6","ranger_et",0.850064572571701
"covid","B","POU2F2","ranger_et",0.765523889672704
"covid","B","CTCF","ranger_et",0.817905278141417
"covid","B","FOSB","ranger_et",0.822381355595049
"covid","B","ZNF331","ranger_et",0.723510816268117
"covid","B","PAX8","ranger_et",0.792305560632668
"covid","B","TBP","ranger_et",0.820082360931438
"covid","B","ZFY","ranger_et",0.757066891296177
"covid","B","BACH2","ranger_et",0.807825538005802
"covid","B","JUND","ranger_et",0.795791258835536
"covid","B","BDP1","ranger_et",0.819144607309873
"covid","B","NF1","ranger_et",0.771804949419807
"covid","B","KLF7","ranger_et",0.797781098338385
"covid","B","REST","ranger_et",0.861144740921683
"covid","B","JUN","ranger_et",0.729394352187017
"covid","B","NR4A3","ranger_et",0.801356389367909
"covid","B","TAF1","ranger_et",0.815661208345109
"covid","B","PGR","ranger_et",0.733536382508448
"covid","B","MYC","ranger_et",0.824389766072426
"covid","B","MAF","ranger_et",0.764988589589687
"covid","B","HIVEP3","ranger_et",0.770182207133427
"covid","B","NR4A2","ranger_et",0.785096156360682
"covid","B","ELF1","ranger_et",0.816638711497333
"covid","B","STAT4","ranger_et",0.744848151151848
"covid","B","BCL11B","ranger_et",0.75593466438717
"covid","B","FOXI1","ranger_et",0.836346620260377
"covid","B","ELK4","ranger_et",0.697501774133985
"covid","B","STAT3","ranger_et",0.791460610915228
"covid","B","IRF1","ranger_et",0.855054590576335
"covid","B","SP6","ranger_et",0.830961235023729
"covid","B","TCF7L2","ranger_et",0.80513270909211
"covid","B","NFKB1","ranger_et",0.776581987071533
"covid","B","REL","ranger_et",0.8725611677265
"covid","B","STAT2","ranger_et",0.836689070390825
"covid","B","IRF8","ranger_et",0.795785482850305
"covid","B","IRF9","ranger_et",0.71954180783033
"covid","B","STAT1","ranger_et",0.706860780643109
"covid","B","KLF13","xgboost",0.881137956353454
"covid","B","ID2","xgboost",0.826473025546645
"covid","B","BACH1","xgboost",0.840878603000047
"covid","B","BRF1","xgboost",0.851014948644425
"covid","B","MYBL1","xgboost",0.816331988158098
"covid","B","BCL6","xgboost",0.853767253275785
