"dataset","cluster","tf","method","cv_r2"
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","ETS2","ranger_et",0.895000395592067
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","KLF3","ranger_et",0.906465004426937
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","JUND","ranger_et",0.850355326613761
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","ERF","ranger_et",0.891236905958336
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","ATF3","ranger_et",0.904111880836572
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","ETV6","ranger_et",0.875966332180278
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","FOS","ranger_et",0.892598712354937
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","HIC1","ranger_et",0.865448234959395
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","HES1","ranger_et",0.870470422216468
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","HIF1A","ranger_et",0.895429958772419
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","BHLHE40","ranger_et",0.899209014972888
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","POU2F2","ranger_et",0.833993053128037
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","JUN","ranger_et",0.864920146851033
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","CREB3L1","ranger_et",0.897833729129515
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","ID4","ranger_et",0.883806522424863
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","MYC","ranger_et",0.861545079317639
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","GABPA","ranger_et",0.873783830219581
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","BACH1","ranger_et",0.890878282547179
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","ELK3","ranger_et",0.878077792718621
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","EBF1","ranger_et",0.826694286453829
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","HEY2","ranger_et",0.88757210996982
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","JDP2","ranger_et",0.872276194323809
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","PGR","ranger_et",0.897538657262758
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","THRB","ranger_et",0.818356871502405
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","TP73","ranger_et",0.882355787215678
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","ID3","ranger_et",0.894635349774754
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","NFE2L2","ranger_et",0.915002735771549
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","ID2","ranger_et",0.871124816518641
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","EGR1","ranger_et",0.862728029294023
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","ENO1","ranger_et",0.835838595903743
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","KLF5","ranger_et",0.845040033436674
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","NFATC2","ranger_et",0.868217546755952
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","TLX1","ranger_et",0.868394116261228
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","ID1","ranger_et",0.877433177579738
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","JUNB","ranger_et",0.864630724258488
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","ELF4","ranger_et",0.880749315476343
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","MBTPS2","ranger_et",0.825294248635104
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","HEY1","ranger_et",0.824015540074525
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","XBP1","ranger_et",0.837092080583403
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","SNAI2","ranger_et",0.784534092885323
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","NFIA","ranger_et",0.818786577820347
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","BCL11A","ranger_et",0.78474629177602
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","NRF1","ranger_et",0.700892659273456
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","SP6","ranger_et",0.579260577078998
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","HBP1","ranger_et",0.862388947277176
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","IKZF3","ranger_et",0.882898738569006
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","TBX10","ranger_et",0.834948181705193
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","DDIT3","ranger_et",0.873788930362973
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","IRX4","ranger_et",0.808067098702331
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell","HNF1A","ranger_et",0.855416148047165
