"dataset","cluster","tf","method","cv_r2"
"cz_hnscc_hpv","endothelial_cell","SMAD1","ranger_et",0.914241181138025
"cz_hnscc_hpv","endothelial_cell","BCL3","ranger_et",0.929933309723683
"cz_hnscc_hpv","endothelial_cell","BHLHE41","ranger_et",0.919399728835443
"cz_hnscc_hpv","endothelial_cell","NPAS3","ranger_et",0.93479322326848
"cz_hnscc_hpv","endothelial_cell","ETS2","ranger_et",0.917317103680796
"cz_hnscc_hpv","endothelial_cell","RARG","ranger_et",0.926605661730048
"cz_hnscc_hpv","endothelial_cell","EGR2","ranger_et",0.929353953313865
"cz_hnscc_hpv","endothelial_cell","NR2F2","ranger_et",0.921524106468485
"cz_hnscc_hpv","endothelial_cell","EGR1","ranger_et",0.926250391629428
"cz_hnscc_hpv","endothelial_cell","NR4A1","ranger_et",0.921056247276081
"cz_hnscc_hpv","endothelial_cell","KLF4","ranger_et",0.925682878031474
"cz_hnscc_hpv","endothelial_cell","MAFB","ranger_et",0.923514306637491
"cz_hnscc_hpv","endothelial_cell","GATA2","ranger_et",0.921984375514286
"cz_hnscc_hpv","endothelial_cell","FOXC1","ranger_et",0.910143279630136
"cz_hnscc_hpv","endothelial_cell","JUND","ranger_et",0.922994334213101
"cz_hnscc_hpv","endothelial_cell","PAX5","ranger_et",0.928585464220489
"cz_hnscc_hpv","endothelial_cell","THRA","ranger_et",0.901587355715031
"cz_hnscc_hpv","endothelial_cell","CEBPB","ranger_et",0.93146507823686
"cz_hnscc_hpv","endothelial_cell","EHF","ranger_et",0.912220120839434
"cz_hnscc_hpv","endothelial_cell","MAFF","ranger_et",0.893075282538018
"cz_hnscc_hpv","endothelial_cell","ELK3","ranger_et",0.886779442150561
"cz_hnscc_hpv","endothelial_cell","ZNF423","ranger_et",0.921479617773312
"cz_hnscc_hpv","endothelial_cell","KLF10","ranger_et",0.921323852070972
"cz_hnscc_hpv","endothelial_cell","ID1","ranger_et",0.917860237667293
"cz_hnscc_hpv","endothelial_cell","KLF8","ranger_et",0.892011171673673
"cz_hnscc_hpv","endothelial_cell","NPAS2","ranger_et",0.922166306659886
"cz_hnscc_hpv","endothelial_cell","FOSB","ranger_et",0.922499553524689
"cz_hnscc_hpv","endothelial_cell","RARB","ranger_et",0.908353407335386
"cz_hnscc_hpv","endothelial_cell","ATOH8","ranger_et",0.890166186470258
"cz_hnscc_hpv","endothelial_cell","EGR3","ranger_et",0.907498074297919
"cz_hnscc_hpv","endothelial_cell","STAT2","ranger_et",0.840762088980251
"cz_hnscc_hpv","endothelial_cell","SOX2","ranger_et",0.873144251581099
"cz_hnscc_hpv","endothelial_cell","ENO1","ranger_et",0.921316831817898
"cz_hnscc_hpv","endothelial_cell","CEBPD","ranger_et",0.890468729485855
"cz_hnscc_hpv","endothelial_cell","POU2F2","ranger_et",0.901651385884628
"cz_hnscc_hpv","endothelial_cell","JUN","ranger_et",0.851448338553353
"cz_hnscc_hpv","endothelial_cell","NR4A3","ranger_et",0.899750216411621
"cz_hnscc_hpv","endothelial_cell","POU3F1","ranger_et",0.892091220549931
"cz_hnscc_hpv","endothelial_cell","FOS","ranger_et",0.733866974969565
"cz_hnscc_hpv","endothelial_cell","AHR","ranger_et",0.917870101936593
"cz_hnscc_hpv","endothelial_cell","JUNB","ranger_et",0.794203784543263
"cz_hnscc_hpv","endothelial_cell","HIVEP3","ranger_et",0.888352305664947
"cz_hnscc_hpv","endothelial_cell","BDP1","ranger_et",0.844102756694086
"cz_hnscc_hpv","endothelial_cell","ELF3","ranger_et",0.837478998721156
"cz_hnscc_hpv","endothelial_cell","NFATC2","ranger_et",0.851137647332888
"cz_hnscc_hpv","endothelial_cell","SP100","ranger_et",0.86922039778746
"cz_hnscc_hpv","endothelial_cell","E2F1","ranger_et",0.605432890526917
"cz_hnscc_hpv","endothelial_cell","HES5","ranger_et",0.861808481778141
"cz_hnscc_hpv","endothelial_cell","HLX","ranger_et",0.805646510269933
"cz_hnscc_hpv","endothelial_cell","LEF1","ranger_et",0.843738665179594
"cz_hnscc_hpv","endothelial_cell","KLF2","ranger_et",0.855916681204111
"cz_hnscc_hpv","endothelial_cell","SOX7","ranger_et",0.865695215365743
"cz_hnscc_hpv","endothelial_cell","ZFHX3","ranger_et",0.841198016980107
"cz_hnscc_hpv","endothelial_cell","MEOX2","ranger_et",0.883923326175084
"cz_hnscc_hpv","endothelial_cell","BCL11A","ranger_et",0.792513707656122
"cz_hnscc_hpv","endothelial_cell","ARHGEF12","ranger_et",0.860189816213258
"cz_hnscc_hpv","endothelial_cell","NFAT5","ranger_et",0.877141734631224
"cz_hnscc_hpv","endothelial_cell","CREM","ranger_et",0.893697288512922
"cz_hnscc_hpv","endothelial_cell","TBX2","ranger_et",0.870809323989026
"cz_hnscc_hpv","endothelial_cell","MEF2C","ranger_et",0.905367790484254
"cz_hnscc_hpv","endothelial_cell","YBX1","ranger_et",0.870656450541681
"cz_hnscc_hpv","endothelial_cell","MSX1","ranger_et",0.904972120796771
"cz_hnscc_hpv","endothelial_cell","SOX18","ranger_et",0.90457807415223
"cz_hnscc_hpv","endothelial_cell","BCL6B","ranger_et",0.911112528699419
"cz_hnscc_hpv","endothelial_cell","NFIA","ranger_et",0.90335219452115
"cz_hnscc_hpv","endothelial_cell","ID3","ranger_et",0.893858762283376
"cz_hnscc_hpv","endothelial_cell","HEY1","ranger_et",0.894438481154974
"cz_hnscc_hpv","endothelial_cell","MECOM","ranger_et",0.916285245024972
"cz_hnscc_hpv","endothelial_cell","ZBTB16","ranger_et",0.906282831707443
"cz_hnscc_hpv","endothelial_cell","IRF6","ranger_et",0.895701483411808
"cz_hnscc_hpv","endothelial_cell","TFAP2A","ranger_et",0.791537669910491
"cz_hnscc_hpv","endothelial_cell","XBP1","ranger_et",0.93557374486928
"cz_hnscc_hpv","endothelial_cell","ID4","ranger_et",0.921923527639134
"cz_hnscc_hpv","endothelial_cell","HIF1A","ranger_et",0.889091163968718
"cz_hnscc_hpv","endothelial_cell","ID2","ranger_et",0.917371036555091
"cz_hnscc_hpv","endothelial_cell","KLF9","ranger_et",0.902128171445626
"cz_hnscc_hpv","endothelial_cell","LMO2","ranger_et",0.914957957469577
"cz_hnscc_hpv","endothelial_cell","TCF15","ranger_et",0.919361141376961
"cz_hnscc_hpv","endothelial_cell","SMAD2","ranger_et",0.90830476737638
"cz_hnscc_hpv","endothelial_cell","SOX17","ranger_et",0.904392575179076
"cz_hnscc_hpv","endothelial_cell","KLF3","ranger_et",0.904484690942972
"cz_hnscc_hpv","endothelial_cell","PRDM16","ranger_et",0.911012385848325
"cz_hnscc_hpv","endothelial_cell","ZBTB7A","ranger_et",0.92490437153116
"cz_hnscc_hpv","endothelial_cell","NR4A2","ranger_et",0.914591448961029
"cz_hnscc_hpv","endothelial_cell","EPAS1","ranger_et",0.940006103154177
"cz_hnscc_hpv","endothelial_cell","SNAI1","ranger_et",0.900423937987717
"cz_hnscc_hpv","endothelial_cell","TCF4","ranger_et",0.930733306548855
"cz_hnscc_hpv","endothelial_cell","ATF3","ranger_et",0.878086139482224
"cz_hnscc_hpv","endothelial_cell","IRF1","ranger_et",0.885620418200473
"cz_hnscc_hpv","endothelial_cell","FOXP1","ranger_et",0.921489201295309
"cz_hnscc_hpv","endothelial_cell","RORA","ranger_et",0.917720801936486
"cz_hnscc_hpv","endothelial_cell","MEF2A","ranger_et",0.917842821212557
"cz_hnscc_hpv","endothelial_cell","NFIB","ranger_et",0.935533137574848
