"dataset","cluster","tf","method","cv_r2"
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","KLF6","ranger_et",0.747573703640568
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","NR3C1","ranger_et",0.701428152462116
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","ETV1","ranger_et",0.787749918121483
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","ELK3","ranger_et",0.80001474403177
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","SP4","ranger_et",0.77381558758593
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","RARG","ranger_et",0.741840209860721
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","RUNX3","ranger_et",0.706821167666812
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","FOXB1","ranger_et",0.678720898802084
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","TCF4","ranger_et",0.710530694922047
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","FOXC1","ranger_et",0.598936217115682
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","HLF","ranger_et",0.659549095398132
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","ID2","ranger_et",0.774890786355401
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","SMARCC2","ranger_et",0.818950231142972
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","ARID2","ranger_et",0.652829681347241
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","IRX5","ranger_et",0.713723661662995
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","POU2F1","ranger_et",0.803740061129889
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","PBX1","ranger_et",0.797748820630678
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","AIRE","ranger_et",0.72441560445495
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","DDIT3","ranger_et",0.685107943308631
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","NR1D1","ranger_et",0.700319819157876
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","TCF7","ranger_et",0.753371890825512
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","ZFP28","ranger_et",0.718711293307264
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","GFI1","ranger_et",0.752952753734089
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","CEBPD","ranger_et",0.685781627457348
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","MSC","ranger_et",0.610536895379407
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","IKZF2","ranger_et",0.766068801933289
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","ASCL2","ranger_et",0.765995324811843
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","FUBP1","ranger_et",0.67321589654033
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","ARNT","ranger_et",0.822494156480376
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","ETV5","ranger_et",0.79054675091542
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","TBX21","ranger_et",0.845178272172455
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","IKZF1","ranger_et",0.770677516777729
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","HIF1A","ranger_et",0.753527957932765
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","EPAS1","ranger_et",0.765249470865537
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","BCL6","ranger_et",0.819356677428721
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","RORA","ranger_et",0.727213510370309
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","RUNX1","ranger_et",0.797010531715351
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","HIVEP2","ranger_et",0.766538502680461
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","IKZF3","ranger_et",0.807106001555745
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","MLXIPL","ranger_et",0.806612500287117
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","ZNF740","ranger_et",0.72063656333416
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","FOXP3","ranger_et",0.753018792487525
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","FOSB","ranger_et",0.838867902033126
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","NFE2L2","ranger_et",0.732526603590749
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","FOXP4","ranger_et",0.754609445547736
"cz_influenza","effector_CD4_minus_positive_comma_alpha_minus_beta_T_cell","ITGB2","ranger_et",0.763818782771426
