"dataset","cluster","tf","method","cv_r2"
"erp","Fibroblast","KLF6","ranger_et",0.884012989243969
"erp","Fibroblast","TFAP2E","ranger_et",0.88095918191635
"erp","Fibroblast","TFAP2C","ranger_et",0.872862801222053
"erp","Fibroblast","FOS","ranger_et",0.88897285515929
"erp","Fibroblast","IRF8","ranger_et",0.883274441675959
"erp","Fibroblast","MEF2A","ranger_et",0.896568812030648
"erp","Fibroblast","GRHL1","ranger_et",0.87047479325501
"erp","Fibroblast","SPI1","ranger_et",0.889366010564428
"erp","Fibroblast","BCL11A","ranger_et",0.877033358114746
"erp","Fibroblast","SP6","ranger_et",0.880026544487588
"erp","Fibroblast","ZEB1","ranger_et",0.909330077738363
"erp","Fibroblast","BATF","ranger_et",0.904497791542648
"erp","Fibroblast","TFAP2B","ranger_et",0.900486734176207
"erp","Fibroblast","NFATC2","ranger_et",0.898656843017877
"erp","Fibroblast","IRF1","ranger_et",0.896508037237962
"erp","Fibroblast","ATF3","ranger_et",0.894526146683914
"erp","Fibroblast","STAT2","ranger_et",0.883316404871325
"erp","Fibroblast","MAFB","ranger_et",0.888019433156591
"erp","Fibroblast","SALL4","ranger_et",0.869992552429459
"erp","Fibroblast","STAT1","ranger_et",0.879608703821926
"erp","Fibroblast","NHLH2","ranger_et",0.885706253605084
"erp","Fibroblast","NFATC4","ranger_et",0.893938498476625
"erp","Fibroblast","HES7","ranger_et",0.838450222358089
"erp","Fibroblast","MAF","ranger_et",0.89088081095497
"erp","Fibroblast","RORC","ranger_et",0.917791378947204
"erp","Fibroblast","HSF4","ranger_et",0.799798227441156
"erp","Fibroblast","SIX2","ranger_et",0.847980385161496
"erp","Fibroblast","DMRTA1","ranger_et",0.866762349525729
"erp","Fibroblast","PAX2","ranger_et",0.807088136039413
"erp","Fibroblast","FOXP3","ranger_et",0.897833477614932
"erp","Fibroblast","IRF6","ranger_et",0.852688925499198
"erp","Fibroblast","ZBTB18","ranger_et",0.867961155066024
"erp","Fibroblast","WT1","ranger_et",0.849589411587084
"erp","Fibroblast","E2F1","ranger_et",0.891166862489094
"erp","Fibroblast","RUNX2","ranger_et",0.871833308622906
"erp","Fibroblast","ELF3","ranger_et",0.868868438978638
"erp","Fibroblast","AC012531.1","ranger_et",0.90042564302462
"erp","Fibroblast","ENO1","ranger_et",0.711111858953907
"erp","Fibroblast","ZBTB1","ranger_et",0.873130632925153
"erp","Fibroblast","ZBTB42","ranger_et",0.84865642186946
"erp","Fibroblast","OSR1","ranger_et",0.838873634746361
"erp","Fibroblast","MYBL1","ranger_et",0.854531492900642
"erp","Fibroblast","PAX9","ranger_et",0.894468578270169
"erp","Fibroblast","JUNB","ranger_et",0.915928720963154
"erp","Fibroblast","ESR1","ranger_et",0.726053673236496
"erp","Fibroblast","PRDM11","ranger_et",0.815768181108467
"erp","Fibroblast","ONECUT2","ranger_et",0.889501859665354
"erp","Fibroblast","MEF2C","ranger_et",0.928106858824966
"erp","Fibroblast","MEF2B","ranger_et",0.855079229271792
"erp","Fibroblast","SIM2","ranger_et",0.71842236598365
"erp","Fibroblast","LYL1","ranger_et",0.922285570393352
"erp","Fibroblast","RUNX1","ranger_et",0.758261658126801
"erp","Fibroblast","PGR","ranger_et",0.722618120893722
"erp","Fibroblast","MYC","ranger_et",0.810109631326406
"erp","Fibroblast","KLF6","xgboost",0.913660722542676
