"dataset","cluster","tf","method","cv_r2"
"tnbc","T_cell","ALX3","ranger_et",0.689700752636499
"tnbc","T_cell","HLX","ranger_et",0.767828107329567
"tnbc","T_cell","IRX6","ranger_et",0.857047643715162
"tnbc","T_cell","ZNF331","ranger_et",0.787424366298691
"tnbc","T_cell","ITGB2","ranger_et",0.821909419712801
"tnbc","T_cell","ZNF667","ranger_et",0.747701556984534
"tnbc","T_cell","IRX5","ranger_et",0.823882281311882
"tnbc","T_cell","BHLHE22","ranger_et",0.84869509246608
"tnbc","T_cell","PRRX1","ranger_et",0.797580895001203
"tnbc","T_cell","FOXD1","ranger_et",0.755290480063529
"tnbc","T_cell","PKNOX2","ranger_et",0.848103821915328
"tnbc","T_cell","IRX2","ranger_et",0.743709920256368
"tnbc","T_cell","HIF1A","ranger_et",0.744091193953389
"tnbc","T_cell","PBX1","ranger_et",0.806191214938266
"tnbc","T_cell","NKX3-1","ranger_et",0.809308502920224
"tnbc","T_cell","LHX6","ranger_et",0.824353366961976
"tnbc","T_cell","IKZF4","ranger_et",0.788910603111216
"tnbc","T_cell","TEAD1","ranger_et",0.817112117006725
"tnbc","T_cell","ZFHX3","ranger_et",0.848149121998782
"tnbc","T_cell","CREM","ranger_et",0.79289276916264
"tnbc","T_cell","HAND2","ranger_et",0.823782637238755
"tnbc","T_cell","TBX2","ranger_et",0.73370507017335
"tnbc","T_cell","RBPJ","ranger_et",0.851723215781306
"tnbc","T_cell","SNAI2","ranger_et",0.876145619018725
"tnbc","T_cell","FOXB1","ranger_et",0.851186499919423
"tnbc","T_cell","TCFL5","ranger_et",0.657301763240987
"tnbc","T_cell","HOXA9","ranger_et",0.859439791817776
"tnbc","T_cell","TCF4","ranger_et",0.885757031663254
"tnbc","T_cell","DMRT2","ranger_et",0.823586527375469
"tnbc","T_cell","TCF7","ranger_et",0.843841177890864
"tnbc","T_cell","KLF1","ranger_et",0.750683579584663
"tnbc","T_cell","IKZF2","ranger_et",0.806307790739772
"tnbc","T_cell","IKZF3","ranger_et",0.84325871096448
"tnbc","T_cell","ONECUT2","ranger_et",0.852899337437524
"tnbc","T_cell","HOXB9","ranger_et",0.833447255606257
"tnbc","T_cell","ENO1","ranger_et",0.785034984555477
"tnbc","T_cell","LEF1","ranger_et",0.863325333068428
"tnbc","T_cell","FOXL1","ranger_et",0.864709388625285
"tnbc","T_cell","SOX9","ranger_et",0.856665967910781
"tnbc","T_cell","HESX1","ranger_et",0.875003094222987
"tnbc","T_cell","FOXP3","ranger_et",0.884648662644416
"tnbc","T_cell","NR4A1","ranger_et",0.905645205499262
"tnbc","T_cell","MAF","ranger_et",0.879126085584196
"tnbc","T_cell","FOXC2","ranger_et",0.813904273539842
"tnbc","T_cell","ID1","ranger_et",0.823130219278026
"tnbc","T_cell","EOMES","ranger_et",0.848513914939036
"tnbc","T_cell","TBX20","ranger_et",0.895909923409814
"tnbc","T_cell","NFIB","ranger_et",0.86153177643032
"tnbc","T_cell","EN1","ranger_et",0.887386184893663
"tnbc","T_cell","NR3C1","ranger_et",0.87560296475617
"tnbc","T_cell","NR4A2","ranger_et",0.904053625753754
"tnbc","T_cell","NFIX","ranger_et",0.886134892906355
"tnbc","T_cell","TGIF1","ranger_et",0.909842894076349
"tnbc","T_cell","TWIST2","ranger_et",0.885622527928511
"tnbc","T_cell","BATF3","ranger_et",0.845042622616642
"tnbc","T_cell","ZNF683","ranger_et",0.863361772868682
"tnbc","T_cell","JUN","ranger_et",0.893314263108349
"tnbc","T_cell","GLIS2","ranger_et",0.852008750837441
"tnbc","T_cell","NR4A3","ranger_et",0.89280169174344
"tnbc","T_cell","NR2F1","ranger_et",0.861509737244997
"tnbc","T_cell","REL","ranger_et",0.895451784801804
"tnbc","T_cell","BCL6","ranger_et",0.913811475897019
"tnbc","T_cell","NR1H3","ranger_et",0.876100282348696
"tnbc","T_cell","JUNB","ranger_et",0.897728392628493
"tnbc","T_cell","IRF8","ranger_et",0.870718093025325
"tnbc","T_cell","ID3","ranger_et",0.820773620791421
"tnbc","T_cell","PAX6","ranger_et",0.899281007450464
"tnbc","T_cell","ID2","ranger_et",0.897801848052859
"tnbc","T_cell","EGR2","ranger_et",0.8824945958333
"tnbc","T_cell","ATF3","ranger_et",0.825806338114856
"tnbc","T_cell","ETV1","ranger_et",0.874804733557398
"tnbc","T_cell","JDP2","ranger_et",0.878209454057037
"tnbc","T_cell","BHLHE40","ranger_et",0.881282050023345
"tnbc","T_cell","GLI1","ranger_et",0.896373461333318
"tnbc","T_cell","MYBL1","ranger_et",0.907536802847377
"tnbc","T_cell","IRF7","ranger_et",0.749617034194705
"tnbc","T_cell","SMAD1","ranger_et",0.846810490504069
"tnbc","T_cell","FOSB","ranger_et",0.895039889224939
"tnbc","T_cell","MECOM","ranger_et",0.874292471340189
"tnbc","T_cell","AR","ranger_et",0.91118638305857
"tnbc","T_cell","EGR3","ranger_et",0.891379610283463
"tnbc","T_cell","KLF6","ranger_et",0.905860087090421
"tnbc","T_cell","BCL11A","ranger_et",0.874753557988426
"tnbc","T_cell","JUND","ranger_et",0.913862832232666
"tnbc","T_cell","STAT1","ranger_et",0.863648056593453
"tnbc","T_cell","STAT3","ranger_et",0.921216614777215
"tnbc","T_cell","EGR4","ranger_et",0.887308333268868
"tnbc","T_cell","ETV5","ranger_et",0.8929141407809
"tnbc","T_cell","EBF1","ranger_et",0.882560730231806
"tnbc","T_cell","BHLHE41","ranger_et",0.909425816804578
"tnbc","T_cell","EHF","ranger_et",0.888462868863595
"tnbc","T_cell","PRDM1","ranger_et",0.911524996058309
"tnbc","T_cell","CEBPB","ranger_et",0.882371253043089
"tnbc","T_cell","IRF4","ranger_et",0.841141554545685
"tnbc","T_cell","ZBTB7C","ranger_et",0.877577183170254
"tnbc","T_cell","PAX5","ranger_et",0.893760188689965
"tnbc","T_cell","RXRG","ranger_et",0.922274889729547
"tnbc","T_cell","BATF","ranger_et",0.9027731575574
"tnbc","T_cell","MYC","ranger_et",0.894765950484879
"tnbc","T_cell","KLF4","ranger_et",0.891431007759583
"tnbc","T_cell","FOS","ranger_et",0.889014649564185
"tnbc","T_cell","ERG","ranger_et",0.908520801944253
"tnbc","T_cell","IRF1","ranger_et",0.877485405224181
"tnbc","T_cell","EGR1","ranger_et",0.880851012132815
"tnbc","T_cell","SPI1","ranger_et",0.897103113414168
"tnbc","T_cell","FOXA1","ranger_et",0.898776332362279
"tnbc","T_cell","KLF2","ranger_et",0.907751760074745
"tnbc","T_cell","NANOG","ranger_et",0.912242446303576
"tnbc","T_cell","ALX3","xgboost",0.729147353711261
"tnbc","T_cell","HLX","xgboost",0.789471367547753
