"regulon","regulon_val","mean_abs_score","top_edge","in_grn"
"IRF1",2.80026162083427,0.629497035878719,"THBS1-CD47",TRUE
"ATF3",2.77594819294282,0.628591590890422,"KLRF1-CLEC2B",TRUE
"STAT1",1.3247452826219,0.461559708629278,"SLAMF7-SLAMF7",TRUE
"BATF",1.41826993329169,0.362099167853345,"MIF-CD74",TRUE
"ATF5",2.78514877471754,0.361241122685637,"MIF-CD74",TRUE
"MYC",1.16765200664938,0.286766605633471,"FGF2-CD44",TRUE
"BATF3",1.45340087334542,0.285776931715437,"HP-ITGB2",TRUE
"FOXI1",1.40223517041704,0.282456639734096,"CD2-CD48",TRUE
"CEBPB",1.45403371546074,0.270178108621825,"FGF2-CD44",TRUE
"IRF9",1.24444564253194,0.26033150930117,"FGF2-CD44",TRUE
"CEBPA",1.90850983970249,0.240007246424167,"FGF2-CD44",TRUE
"FOSB",1.49445933562276,0.230714692686234,"FGF2-CD44",TRUE
"NRF1",1.12883379291907,0.220224917379637,"FGF2-CD44",TRUE
"EGR1",1.77899613731044,0.215799654576494,"ICAM5-ITGB2",TRUE
"LMO2",1.39045293117366,0.17730565085331,"FGF2-CD44",TRUE
"ELK3",1.13673706958128,0.154548013287404,"KLRF1-CLEC2B",TRUE
"HIVEP2",-2.27999865237038,0.154365160973243,"ICAM4-ITGA4",TRUE
"NR4A2",1.4473223694199,0.150506061081735,"CD2-CD48",TRUE
"HIF1A",1.92539498912254,0.150218327305501,"HP-ITGB2",TRUE
"SPIB",1.15314141771386,0.150123341664655,"THBS1-CD47",TRUE
"HES1",1.25239485932344,0.14625637276982,"LAMB2-RPSA",TRUE
"MAFB",1.26652325062654,0.144777221498031,"CD2-CD48",TRUE
"SMAD3",1.56146478816949,0.133753816176612,"HP-ITGB2",TRUE
"HES4",1.2801185332324,0.131265837149054,"ICAM5-ITGB2",TRUE
"TCF4",1.23814897957954,0.119978251767189,"LGALS1-PTPRC",TRUE
"MXI1",1.15833627892389,0.104575897512255,"ICAM5-ITGB2",TRUE
"GATA3",1.15631171876027,0.100417548525688,"CD2-CD48",TRUE
"YBX1",1.17634774133389,0.0639730492751499,"ICAM5-ITGB2",TRUE
