tf,group,regulon_val,cosine_mean_delta_vs_axis,shift_magnitude,observed_sign
IRF1,top,2.80026162083427,-0.5163854361312694,5.105801520866062,-1.0
ATF3,top,2.77594819294282,-0.25605751231023377,1.5757538704943646,-1.0
STAT1,top,1.3247452826219,-0.6742184040784575,4.493427961964861,-1.0
BATF,top,1.41826993329169,-0.01196724681296291,0.05800690262129855,-1.0
ATF5,top,2.78514877471754,-0.08123649942640762,0.45255483154410786,-1.0
MYC,top,1.16765200664938,0.016524215211631887,0.03647887626568549,1.0
BATF3,top,1.45340087334542,-0.1682862712588801,2.7529485888747653,-1.0
CEBPB,top,1.45403371546074,0.0032329664305585687,4.475579377472348,1.0
IRF9,top,1.24444564253194,-0.5143729530229738,1.4547304988623357,-1.0
CEBPA,top,1.90850983970249,-0.021015673586170912,0.7837124114135939,-1.0
SPIB,bottom,1.15314141771386,0.025658265613387663,0.013179343310149225,1.0
HES1,bottom,1.25239485932344,0.04546448818357704,0.0800628542515864,1.0
MAFB,bottom,1.26652325062654,-0.10966139433066072,2.451341191342564,-1.0
SMAD3,bottom,1.56146478816949,0.01168446242879239,0.19310934207053476,1.0
HES4,bottom,1.2801185332324,-0.06100647742088636,2.934517933055567,-1.0
TCF4,bottom,1.23814897957954,0.011520269095373667,0.18213794958064022,1.0
MXI1,bottom,1.15833627892389,0.07517712215442396,1.156673038364054,1.0
YBX1,bottom,1.17634774133389,0.19894534841208175,4.292245679547664,1.0
CHD2,random,,0.06313401875831179,2.4857871805113927,1.0
KLF9,random,,-0.011585520501020755,1.442513222688495,-1.0
MECOM,random,,0.012965707120739705,0.010453171206444286,1.0
SP100,random,,-0.04669491386053405,1.0155569766613317,-1.0
HERPUD1,random,,-0.026345959442293242,1.1407004638722873,-1.0
REST,random,,-0.08672183281797076,2.097865785370901,-1.0
CREB1,random,,0.05737518441468402,0.6953494540083204,1.0
NFAT5,random,,-0.020874678537628283,0.5333391534648761,-1.0
ZNF708,random,,0.024681164680020035,0.11747875418723265,1.0
BACH1,random,,-0.09516665920086219,1.9635296404060398,-1.0
