tf,group,regulon_val,cosine_mean_delta_vs_axis,mean_per_cell_cosine,frac_cells_negative_cosine,shift_magnitude,predicted_sign,observed_sign,sign_match
ZBTB7A,top,-6.06610101193462,-0.5014511375294881,-0.5003757710956384,1.0,4.547835202525544,1.0,-1.0,False
KLF6,top,-5.77607684476093,-0.45492345436730575,-0.4426618343697764,1.0,7.540328137124963,1.0,-1.0,False
KLF4,top,-4.9990509761125,-0.15062135624984926,-0.14531094726716923,1.0,4.6796915152499965,1.0,-1.0,False
STAT1,top,-2.14460821546639,-0.011714806414781277,-0.011355237739949835,0.8261880165289256,2.3669848237448656,1.0,-1.0,False
BHLHE40,top,-4.25385319890209,0.3047248646722724,0.3007623646303016,0.0,0.7350625694436197,1.0,1.0,True
ATF3,top,4.17575604843891,-0.43076348047489044,-0.4295740865470074,1.0,2.611299272515419,-1.0,-1.0,True
MEF2C,top,-4.93383405449061,0.24188251756789117,0.23921315163464538,0.0,2.3533409606374334,1.0,1.0,True
BCL11A,top,-3.87911433891795,0.21351600085943392,0.213514771579399,0.0,0.553782915912876,1.0,1.0,True
EGR1,top,-5.47940896429929,-0.009927106956617986,-0.006846113282084038,0.784349173553719,0.9619896615766241,1.0,-1.0,False
STAT3,top,3.36644032587336,-0.17770268949321005,-0.17647170503204393,1.0,1.7639964406805486,-1.0,-1.0,True
FOXP3,bottom,-1.0348909063427,0.0010551798587738008,0.0001460684090993206,0.0,0.0020776774242414254,1.0,1.0,True
KLF10,bottom,-1.32213783831099,-0.08209016752161559,-0.08212697541656372,1.0,0.6475362546795848,1.0,-1.0,False
RORA,bottom,-1.92824084573255,-0.002059904888714452,-0.002275057290826163,0.7319214876033058,0.08650231398189595,1.0,-1.0,False
ITGB2,bottom,1.82235852960895,-0.0050689414461264695,-0.005115210769927721,0.9669421487603306,4.301231480068712,-1.0,-1.0,True
RARG,bottom,-0.818183669057161,0.00658089115992959,0.003261552204520908,0.0,0.006667343741308332,1.0,1.0,True
TFEC,bottom,1.55663649929203,-0.043762570409983804,-0.04320875688981632,0.987345041322314,0.07845373898742213,-1.0,-1.0,True
XBP1,bottom,-0.806334658633661,0.1167001886928457,0.11528691500328249,0.0,0.528955986332909,1.0,1.0,True
AHR,bottom,-1.3373337925442,0.05395960389751634,0.0539596038975163,0.0,0.24290852041581018,1.0,1.0,True
ETS1,random,,-0.044931646291987835,-0.05493410424671836,0.9943181818181818,0.3262526781918722,,-1.0,False
TCF4,random,,-0.07544830377704283,-0.06763972407889576,1.0,0.1575070396757369,,-1.0,False
YBX1,random,,-0.0062547689544622575,-0.006257241057923473,1.0,5.533407904700315,,-1.0,False
SPIC,random,,-0.0349646067313484,-0.010639465582908736,0.31043388429752067,0.01849011510865889,,-1.0,False
NFAT5,random,,-0.04890059171523171,-0.048893302689661654,1.0,0.4656150965283058,,-1.0,False
ID2,random,,0.02381744671851725,0.02369883028054603,0.0,2.0041406894214275,,1.0,False
HOXA5,random,,0.034942808879661676,0.01939204021559492,0.0007747933884297521,0.008051060741488987,,1.0,False
MBD2,random,,0.2314911108839865,0.2313956745607929,0.0,6.748890762203541,,1.0,False
ELF1,random,,0.03841582049158338,0.038470187015236315,0.0,2.3114587553825485,,1.0,False
BCL6,random,,-0.012535243632122132,-0.012505811169340561,1.0,0.3243217171078648,,-1.0,False
