"panel","interaction","ligand","receptor","decipher_score"
"top","HP-ITGB2","HP","ITGB2",3.85585763896023
"top","SIGLEC1-SPN","SIGLEC1","SPN",3.32936151257065
"top","CD38-PECAM1","CD38","PECAM1",2.00510067099517
"top","ENAM-CD63","ENAM","CD63",1.6967008185614
"top","LAMB2-RPSA","LAMB2","RPSA",-1.64903592791657
"bottom","TNFSF8-TNFRSF8","TNFSF8","TNFRSF8",-0.00682005319350928
"bottom","AFDN-EPHB2","AFDN","EPHB2",0.00260056525290616
"bottom","SELPLG-SIGLEC5","SELPLG","SIGLEC5",-0.00118002932568646
"bottom","BST2-LILRA4","BST2","LILRA4",0.000775865468501555
"bottom","BMP2-ENG","BMP2","ENG",-0.000748416370143469
"random","COL4A3-CD93","COL4A3","CD93",-0.0423119214157026
"random","C3-C3AR1","C3","C3AR1",-0.774899508371575
"random","LTA-TNFRSF14","LTA","TNFRSF14",0.0332307455677007
"random","FGF2-CD44","FGF2","CD44",-1.61467816020265
"random","SDC2-PTPRJ","SDC2","PTPRJ",0.0531238597958761
