ko,panel,kind,anchor_pair,thr,n_tfs,tfs,dirs,max_abs_dz,cosine,magnitude
ligandKO:AFDN,bottom,ligand,AFDN-EPHB2,0.1,0,,,0.0031279351817554,,0.0
ligandKO:AFDN,bottom,ligand,AFDN-EPHB2,0.25,0,,,0.0031279351817554,,0.0
ligandKO:BMP2,bottom,ligand,BMP2-ENG,0.1,0,,,0.0044708628420186,,0.0
ligandKO:BMP2,bottom,ligand,BMP2-ENG,0.25,0,,,0.0044708628420186,,0.0
ligandKO:BST2,bottom,ligand,BST2-LILRA4,0.1,0,,,0.0016807014434772,,0.0
ligandKO:BST2,bottom,ligand,BST2-LILRA4,0.25,0,,,0.0016807014434772,,0.0
ligandKO:C3,random,ligand,C3-C3AR1,0.1,10,RORA;MAFB;BDP1;CEBPB;ELF2;BCLAF1;ZFY;IRF8;RAD21;ESR1,1;1;-1;-1;1;1;1;-1;-1;-1,0.300484186296819,0.29218612450483517,9.752961758367537
ligandKO:C3,random,ligand,C3-C3AR1,0.25,2,RORA;MAFB,1;1,0.300484186296819,-0.001054183465352367,0.7536785960460406
ligandKO:CD38,top,ligand,CD38-PECAM1,0.1,10,ATF4;ATF5;XBP1;BDP1;ID1;NFATC2;FOXP3;HOXB2;HES4;ELF2,-1;1;1;1;1;1;1;1;-1;-1,0.374076918480276,-0.43441240899828615,3.33160084151821
ligandKO:CD38,top,ligand,CD38-PECAM1,0.25,4,ATF4;ATF5;XBP1;BDP1,-1;1;1;1,0.374076918480276,-0.0461429997627841,1.0593671434151957
ligandKO:COL4A3,random,ligand,COL4A3-CD93,0.1,0,,,0.0115012812590398,,0.0
ligandKO:COL4A3,random,ligand,COL4A3-CD93,0.25,0,,,0.0115012812590398,,0.0
ligandKO:ENAM,top,ligand,ENAM-CD63,0.1,10,TFEC;FOSB;POU2F2;IRF1;JUN;FOSL2;ELF2;REL;RORA;ZFY,-1;1;1;-1;-1;-1;1;-1;1;1,0.355812846887766,-0.11046907386918575,4.233788641910379
ligandKO:ENAM,top,ligand,ENAM-CD63,0.25,4,TFEC;FOSB;POU2F2;IRF1,-1;1;1;-1,0.355812846887766,-0.07227273770848171,3.646607763432983
ligandKO:FGF2,random,ligand,FGF2-CD44,0.1,1,STAT3,1,0.150703873432932,0.1927890656748171,0.7883883290716756
ligandKO:FGF2,random,ligand,FGF2-CD44,0.25,0,,,0.150703873432932,,0.0
ligandKO:HP,top,ligand,HP-ITGB2,0.1,10,HIF1A;EGR1;GTF2I;EGR3;NFE2;MXI1;RUNX3;NFIL3;NFKB2;STAT3,-1;-1;1;-1;-1;-1;-1;-1;-1;-1,0.341877920453559,-0.23753678515453056,2.3012378173861627
ligandKO:HP,top,ligand,HP-ITGB2,0.25,5,HIF1A;EGR1;GTF2I;EGR3;NFE2,-1;-1;1;-1;-1,0.341877920453559,-0.035925894925101204,1.1164215084938691
ligandKO:LAMB2,top,ligand,LAMB2-RPSA,0.1,10,ZBTB14;CREB1;HIVEP1;MEF2C;ELF2;MXI1;BHLHE40;NFE2;EGR3;ZBTB7A,1;-1;1;1;1;1;1;1;1;1,0.454633584228717,0.3326145729679382,2.6584477065395578
ligandKO:LAMB2,top,ligand,LAMB2-RPSA,0.25,2,ZBTB14;CREB1,1;-1,0.454633584228717,0.03532727418236978,0.3207867464653165
ligandKO:LTA,random,ligand,LTA-TNFRSF14,0.1,3,NFATC2;HOXB2;FOXP3,1;1;1,0.171053353304986,-0.03776182356399047,0.7071828903997737
ligandKO:LTA,random,ligand,LTA-TNFRSF14,0.25,0,,,0.171053353304986,,0.0
ligandKO:SDC2,random,ligand,SDC2-PTPRJ,0.1,0,,,0.0176398922699961,,0.0
ligandKO:SDC2,random,ligand,SDC2-PTPRJ,0.25,0,,,0.0176398922699961,,0.0
ligandKO:SELPLG,bottom,ligand,SELPLG-SIGLEC5,0.1,0,,,0.0024838649948402,,0.0
ligandKO:SELPLG,bottom,ligand,SELPLG-SIGLEC5,0.25,0,,,0.0024838649948402,,0.0
ligandKO:SIGLEC1,top,ligand,SIGLEC1-SPN,0.1,10,HES4;CEBPD;NR4A2;KLF4;KLF6;RUNX3;EGR1;NFIL3;ZFY;MAFB,-1;1;1;-1;-1;-1;-1;-1;-1;-1,0.180814801310034,-0.5190927509051556,9.184882335922305
ligandKO:SIGLEC1,top,ligand,SIGLEC1-SPN,0.25,0,,,0.180814801310034,,0.0
ligandKO:TNFSF8,bottom,ligand,TNFSF8-TNFRSF8,0.1,0,,,0.0145395101260913,,0.0
ligandKO:TNFSF8,bottom,ligand,TNFSF8-TNFRSF8,0.25,0,,,0.0145395101260913,,0.0
receptorKO:C3AR1,random,receptor,C3-C3AR1,0.1,1,RORA,1,0.18731779418476,0.0013248742385468405,0.600945360893917
receptorKO:C3AR1,random,receptor,C3-C3AR1,0.25,0,,,0.18731779418476,,0.0
receptorKO:CD44,random,receptor,FGF2-CD44,0.1,8,CUX1;STAT3;NR1D1;ATF3;EGR2;HOXB2;ZBTB14;HIVEP1,1;1;-1;-1;-1;1;1;1,0.154974424511691,-0.3166994445764536,2.699090091174862
receptorKO:CD44,random,receptor,FGF2-CD44,0.25,0,,,0.154974424511691,,0.0
receptorKO:CD63,top,receptor,ENAM-CD63,0.1,10,TFEC;FOSB;POU2F2;IRF1;JUN;FOSL2;ELF2;REL;RORA;ZFY,-1;1;1;-1;-1;-1;1;-1;1;1,0.355812846887766,-0.11046907386918575,4.233788641910379
receptorKO:CD63,top,receptor,ENAM-CD63,0.25,4,TFEC;FOSB;POU2F2;IRF1,-1;1;1;-1,0.355812846887766,-0.07227273770848171,3.646607763432983
receptorKO:CD93,random,receptor,COL4A3-CD93,0.1,0,,,0.0115012812590398,,0.0
receptorKO:CD93,random,receptor,COL4A3-CD93,0.25,0,,,0.0115012812590398,,0.0
receptorKO:ENG,bottom,receptor,BMP2-ENG,0.1,0,,,0.0016789541489703,,0.0
receptorKO:ENG,bottom,receptor,BMP2-ENG,0.25,0,,,0.0016789541489703,,0.0
receptorKO:EPHB2,bottom,receptor,AFDN-EPHB2,0.1,0,,,0.0031279351817554,,0.0
receptorKO:EPHB2,bottom,receptor,AFDN-EPHB2,0.25,0,,,0.0031279351817554,,0.0
receptorKO:ITGB2,top,receptor,HP-ITGB2,0.1,10,HIF1A;GTF2I;NFE2;EGR3;MXI1;EGR1;RUNX3;FOSB;STAT3;NFIL3,-1;1;-1;-1;-1;-1;-1;1;-1;-1,0.362055627101643,-0.31831775346649094,2.7448099774412356
receptorKO:ITGB2,top,receptor,HP-ITGB2,0.25,6,HIF1A;GTF2I;NFE2;EGR3;MXI1;EGR1,-1;1;-1;-1;-1;-1,0.362055627101643,-0.08369712453030427,1.314386273032182
receptorKO:LILRA4,bottom,receptor,BST2-LILRA4,0.1,0,,,0.0016807014434772,,0.0
receptorKO:LILRA4,bottom,receptor,BST2-LILRA4,0.25,0,,,0.0016807014434772,,0.0
receptorKO:PECAM1,top,receptor,CD38-PECAM1,0.1,10,ATF4;ATF5;XBP1;BDP1;ID1;NFATC2;FOXP3;HOXB2;HES4;ELF2,-1;1;1;1;1;1;1;1;-1;-1,0.374076918480276,-0.43441240899828615,3.33160084151821
receptorKO:PECAM1,top,receptor,CD38-PECAM1,0.25,4,ATF4;ATF5;XBP1;BDP1,-1;1;1;1,0.374076918480276,-0.0461429997627841,1.0593671434151957
receptorKO:PTPRJ,random,receptor,SDC2-PTPRJ,0.1,0,,,0.0176398922699961,,0.0
receptorKO:PTPRJ,random,receptor,SDC2-PTPRJ,0.25,0,,,0.0176398922699961,,0.0
receptorKO:RPSA,top,receptor,LAMB2-RPSA,0.1,10,ZBTB14;CREB1;HIVEP1;MEF2C;ELF2;MXI1;BHLHE40;NFE2;EGR3;ZBTB7A,1;-1;1;1;1;1;1;1;1;1,0.454633584228717,0.3326145729679382,2.6584477065395578
receptorKO:RPSA,top,receptor,LAMB2-RPSA,0.25,2,ZBTB14;CREB1,1;-1,0.454633584228717,0.03532727418236978,0.3207867464653165
receptorKO:SIGLEC5,bottom,receptor,SELPLG-SIGLEC5,0.1,0,,,0.0024838649948402,,0.0
receptorKO:SIGLEC5,bottom,receptor,SELPLG-SIGLEC5,0.25,0,,,0.0024838649948402,,0.0
receptorKO:SPN,top,receptor,SIGLEC1-SPN,0.1,10,HES4;CEBPD;NR4A2;KLF4;KLF6;RUNX3;EGR1;NFIL3;ZFY;MAFB,-1;1;1;-1;-1;-1;-1;-1;-1;-1,0.180814801310034,-0.5190927509051556,9.184882335922305
receptorKO:SPN,top,receptor,SIGLEC1-SPN,0.25,0,,,0.180814801310034,,0.0
receptorKO:TNFRSF14,random,receptor,LTA-TNFRSF14,0.1,0,,,0.0451074733221337,,0.0
receptorKO:TNFRSF14,random,receptor,LTA-TNFRSF14,0.25,0,,,0.0451074733221337,,0.0
receptorKO:TNFRSF8,bottom,receptor,TNFSF8-TNFRSF8,0.1,0,,,0.0145395101260913,,0.0
receptorKO:TNFRSF8,bottom,receptor,TNFSF8-TNFRSF8,0.25,0,,,0.0145395101260913,,0.0
null_3_0,null,random_tf_set,,,3,BACH1;ZBTB7A;NFATC2,1;-1;1,,-0.5029150658264192,4.590053707617953
null_3_1,null,random_tf_set,,,3,ZFY;NFE2;NFIL3,1;-1;-1,,-0.04125072956993642,0.54908926107393
null_3_2,null,random_tf_set,,,3,ESR1;HES1;MYBL1,1;-1;-1,,0.06179771042725704,0.409432050659405
null_3_3,null,random_tf_set,,,3,STAT2;BACH1;BDP1,1;1;1,,0.026240906017226548,0.48932077270633784
null_3_4,null,random_tf_set,,,3,ZBTB7A;ETS1;BHLHE40,-1;1;1,,-0.4611411797644712,5.467095379585115
null_3_5,null,random_tf_set,,,3,HIVEP1;NR4A2;ATF3,-1;-1;-1,,-0.32444826488533457,2.7085355060674745
null_3_6,null,random_tf_set,,,3,NFATC2;EGR2;FOSL2,-1;-1;1,,0.1913382595124487,0.7454765278391221
null_3_7,null,random_tf_set,,,3,BCL11A;BACH1;RARG,-1;1;-1,,0.19519261318820388,0.5989165795806706
null_3_8,null,random_tf_set,,,3,KLF4;ZFY;MEF2C,-1;1;1,,-0.18787426668678175,4.775746017355996
null_3_9,null,random_tf_set,,,3,BDP1;CREB5;BCL11B,1;-1;-1,,0.07089532103886174,0.4306697410514755
null_3_10,null,random_tf_set,,,3,RUNX3;TCF4;SPIC,1;-1;-1,,0.027662986052675097,0.6860782259912823
null_3_11,null,random_tf_set,,,3,BHLHE40;AHR;STAT3,1;1;1,,-0.20645403082749647,1.8941884923119585
null_5_0,null,random_tf_set,,,5,BCL11B;CREB5;BCL11A;HIVEP1;HOXB2,-1;1;-1;-1;1,,0.12745497194769326,0.7531870560187506
null_5_1,null,random_tf_set,,,5,IRF8;GTF2I;NFE2;AHR;STAT1,1;-1;-1;1;-1,,-0.01919776743106809,2.405840789691086
null_5_2,null,random_tf_set,,,5,IRF7;IRF8;BCL11A;NR1D1;EGR1,-1;-1;1;1;-1,,-0.04339754753427802,2.4707767301377577
null_5_3,null,random_tf_set,,,5,BCL6;HIF1A;NR4A1;REL;TFEC,-1;-1;1;1;1,,0.024421318045885675,0.8297320112402796
null_5_4,null,random_tf_set,,,5,NFAT5;FOSB;SPI1;HIVEP1;NR4A2,-1;-1;-1;1;1,,0.1231266411693001,6.268393207611179
null_5_5,null,random_tf_set,,,5,HIF1A;EGR3;JUN;KLF6;TFEC,1;1;1;-1;1,,-0.44498162948047826,7.575402917357588
null_5_6,null,random_tf_set,,,5,SPIC;NFAT5;BCLAF1;EGR2;CEBPB,-1;-1;1;1;-1,,0.2650636332796056,10.42132231476934
null_5_7,null,random_tf_set,,,5,ATF3;EGR3;BCLAF1;CREB5;IRF7,1;1;1;1;-1,,0.45458329549272697,4.740961954663317
null_5_8,null,random_tf_set,,,5,ETS1;NR1D1;MAFB;ZBTB7A;POU2F1,1;1;1;1;1,,0.43435481362918205,3.2510177814140166
null_5_9,null,random_tf_set,,,5,SP100;IRF9;NFE2;EGR2;BACH1,-1;-1;1;-1;1,,0.007109125940602348,0.7544578872514993
null_5_10,null,random_tf_set,,,5,FOSL2;IRF8;ZFHX3;ZFY;BCLAF1,1;1;1;-1;1,,0.4819918816308744,2.3242569557810056
null_5_11,null,random_tf_set,,,5,ATF4;HES1;JUND;CEBPB;ATF3,-1;-1;1;1;-1,,-0.31119697276463987,5.176159487702745
null_7_0,null,random_tf_set,,,7,GTF2I;AHR;ITGB2;KLF4;HOXB2;RORA;STAT2,-1;-1;-1;-1;-1;-1;1,,-0.10640843865227341,6.411663705271346
null_7_1,null,random_tf_set,,,7,ETS2;STAT2;ETS1;SPI1;ZFHX3;TCF4;BHLHE40,1;-1;1;1;1;-1;1,,-0.08812217289134222,2.8207144871709797
null_7_2,null,random_tf_set,,,7,STAT2;ETS1;BCL11B;RAD21;NFE2;KLF2;YBX1,1;1;1;-1;-1;-1;1,,0.1288581699436935,10.391711613578867
null_7_3,null,random_tf_set,,,7,ITGB2;HIVEP1;ELF1;BCL11A;FOXP3;ID2;YBX1,-1;-1;-1;-1;-1;-1;1,,0.03755398256163722,5.3285181772503885
null_7_4,null,random_tf_set,,,7,ID1;POU2F1;NFE2;RAD21;HOXB2;ELF2;NFAT5,1;1;-1;-1;-1;1;1,,0.08810161769350718,2.2928745344215518
null_7_5,null,random_tf_set,,,7,ELF2;POU2F2;SPI1;EGR1;NFATC2;IRF8;FOSL2,1;-1;1;-1;-1;1;1,,-0.021560360279701374,6.389071867591895
null_7_6,null,random_tf_set,,,7,OLIG1;NR1D1;BCL11B;STAT3;SP100;CEBPD;IRF8,1;-1;-1;1;-1;1;1,,0.056573239936018524,1.1678405643949752
null_7_7,null,random_tf_set,,,7,ZNF554;YBX1;NFIL3;TCF4;MBD2;NR1D1;SPI1,-1;1;1;-1;-1;-1;-1,,0.1784785638461273,8.527269089875052
null_7_8,null,random_tf_set,,,7,ZNF554;REL;MBD2;ELF2;TCF7L2;HIF1A;TFEC,-1;-1;-1;-1;-1;-1;1,,0.1596113816367598,7.664408334013146
null_7_9,null,random_tf_set,,,7,CREB1;POU2F2;POU2F1;RAD21;RUNX3;BCLAF1;SPI1,1;1;-1;-1;1;-1;-1,,-0.31052503236718076,7.494266416820931
null_7_10,null,random_tf_set,,,7,SPIC;AHR;JUND;EGR2;ETS1;ZBTB14;HES1,1;-1;1;-1;1;1;-1,,0.06425586999396608,2.9656855198810543
null_7_11,null,random_tf_set,,,7,ATF5;HOXB2;POU2F2;CREB1;BCL6;MEF2C;KLF6,1;-1;-1;-1;-1;-1;1,,0.22371364904412827,7.578300462333671
