ko,panel,kind,anchor_pair,thr,n_tfs,tfs,dirs,max_abs_dz,cosine,magnitude
pairKO:AFDN-EPHB2,bottom,pair,AFDN-EPHB2,0.1,0,,,0.0031279351817554,,0.0
pairKO:AFDN-EPHB2,bottom,pair,AFDN-EPHB2,0.25,0,,,0.0031279351817554,,0.0
pairKO:BMP2-ENG,bottom,pair,BMP2-ENG,0.1,0,,,0.0016789541489703,,0.0
pairKO:BMP2-ENG,bottom,pair,BMP2-ENG,0.25,0,,,0.0016789541489703,,0.0
pairKO:BST2-LILRA4,bottom,pair,BST2-LILRA4,0.1,0,,,0.0016807014434772,,0.0
pairKO:BST2-LILRA4,bottom,pair,BST2-LILRA4,0.25,0,,,0.0016807014434772,,0.0
pairKO:C3-C3AR1,random,pair,C3-C3AR1,0.1,1,RORA,1,0.18731779418476,0.0013248742385468405,0.600945360893917
pairKO:C3-C3AR1,random,pair,C3-C3AR1,0.25,0,,,0.18731779418476,,0.0
pairKO:CD38-PECAM1,top,pair,CD38-PECAM1,0.1,10,ATF4;ATF5;XBP1;BDP1;ID1;NFATC2;FOXP3;HOXB2;HES4;ELF2,-1;1;1;1;1;1;1;1;-1;-1,0.374076918480276,-0.43441240899828615,3.33160084151821
pairKO:CD38-PECAM1,top,pair,CD38-PECAM1,0.25,4,ATF4;ATF5;XBP1;BDP1,-1;1;1;1,0.374076918480276,-0.0461429997627841,1.0593671434151957
pairKO:COL4A3-CD93,random,pair,COL4A3-CD93,0.1,0,,,0.0115012812590398,,0.0
pairKO:COL4A3-CD93,random,pair,COL4A3-CD93,0.25,0,,,0.0115012812590398,,0.0
pairKO:ENAM-CD63,top,pair,ENAM-CD63,0.1,10,TFEC;FOSB;POU2F2;IRF1;JUN;FOSL2;ELF2;REL;RORA;ZFY,-1;1;1;-1;-1;-1;1;-1;1;1,0.355812846887766,-0.11046907386918575,4.233788641910379
pairKO:ENAM-CD63,top,pair,ENAM-CD63,0.25,4,TFEC;FOSB;POU2F2;IRF1,-1;1;1;-1,0.355812846887766,-0.07227273770848171,3.646607763432983
pairKO:FGF2-CD44,random,pair,FGF2-CD44,0.1,1,STAT3,1,0.150703873432932,0.1927890656748171,0.7883883290716756
pairKO:FGF2-CD44,random,pair,FGF2-CD44,0.25,0,,,0.150703873432932,,0.0
pairKO:HP-ITGB2,top,pair,HP-ITGB2,0.1,10,HIF1A;EGR1;GTF2I;EGR3;NFE2;MXI1;RUNX3;NFIL3;NFKB2;STAT3,-1;-1;1;-1;-1;-1;-1;-1;-1;-1,0.341877920453559,-0.23753678515453056,2.3012378173861627
pairKO:HP-ITGB2,top,pair,HP-ITGB2,0.25,5,HIF1A;EGR1;GTF2I;EGR3;NFE2,-1;-1;1;-1;-1,0.341877920453559,-0.035925894925101204,1.1164215084938691
pairKO:LAMB2-RPSA,top,pair,LAMB2-RPSA,0.1,10,ZBTB14;CREB1;HIVEP1;MEF2C;ELF2;MXI1;BHLHE40;NFE2;EGR3;ZBTB7A,1;-1;1;1;1;1;1;1;1;1,0.454633584228717,0.3326145729679382,2.6584477065395578
pairKO:LAMB2-RPSA,top,pair,LAMB2-RPSA,0.25,2,ZBTB14;CREB1,1;-1,0.454633584228717,0.03532727418236978,0.3207867464653165
pairKO:LTA-TNFRSF14,random,pair,LTA-TNFRSF14,0.1,0,,,0.0302923257517044,,0.0
pairKO:LTA-TNFRSF14,random,pair,LTA-TNFRSF14,0.25,0,,,0.0302923257517044,,0.0
pairKO:SDC2-PTPRJ,random,pair,SDC2-PTPRJ,0.1,0,,,0.0176398922699961,,0.0
pairKO:SDC2-PTPRJ,random,pair,SDC2-PTPRJ,0.25,0,,,0.0176398922699961,,0.0
pairKO:SELPLG-SIGLEC5,bottom,pair,SELPLG-SIGLEC5,0.1,0,,,0.0024838649948402,,0.0
pairKO:SELPLG-SIGLEC5,bottom,pair,SELPLG-SIGLEC5,0.25,0,,,0.0024838649948402,,0.0
pairKO:SIGLEC1-SPN,top,pair,SIGLEC1-SPN,0.1,10,HES4;CEBPD;NR4A2;KLF4;KLF6;RUNX3;EGR1;NFIL3;ZFY;MAFB,-1;1;1;-1;-1;-1;-1;-1;-1;-1,0.180814801310034,-0.5190927509051556,9.184882335922305
pairKO:SIGLEC1-SPN,top,pair,SIGLEC1-SPN,0.25,0,,,0.180814801310034,,0.0
pairKO:TNFSF8-TNFRSF8,bottom,pair,TNFSF8-TNFRSF8,0.1,0,,,0.0145395101260913,,0.0
pairKO:TNFSF8-TNFRSF8,bottom,pair,TNFSF8-TNFRSF8,0.25,0,,,0.0145395101260913,,0.0
