"ko","panel","kind","anchor_pair","n_pairs_zeroed","tf","dz","dz_severe","anchor_sign","weak_anchor","expr_dir"
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"ZBTB7A",0.174147829671272,0.328466755707615,-1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"KLF6",0.166865772355574,0.351501758736327,-1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"EGR1",0.25114195093829,0.487451662483069,-1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"KLF4",0.0823102385232542,0.198653929386617,-1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"MEF2C",0.197270546572445,0.371721414616141,-1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"NR4A2",0.186785318794904,0.342659889615748,1,TRUE,1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"E2F5",0.268749730997873,0.478321694717642,1,TRUE,1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"FOXL2",0.1030096403728,0.231447335176013,NA,FALSE,NA
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"EGR3",0.273115656330869,0.45686906322691,-1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"BHLHE40",0.191768836387923,0.379857012755743,-1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"RUNX3",0.241599787950491,0.419244663941842,-1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"RAD21",-0.019532988772372,0.027442782672559,1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"BCL11A",-0.0625681090483408,-0.044296340639017,1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"GTF2I",0.298829694454212,0.489822748682258,1,TRUE,1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"CREB1",0.180213661987401,0.29299037691106,1,TRUE,1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"ELF2",-0.151683441284961,-0.0494329351382739,-1,FALSE,1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"MAFB",-0.152561316478921,0.0351189914974886,-1,TRUE,1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"KLF2",0.0712754166301422,0.112299512257357,-1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"ATF5",-0.0326286029636615,-0.00346047441704934,1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"IRF8",-0.138359805120813,-0.0658733400528265,1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"BDP1",-0.163932240450192,-0.0167459794328245,1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"CREB5",-0.037810251922347,-0.0289804481794315,1,FALSE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"CEBPD",0.0448786416196764,0.129499648424774,1,FALSE,1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"HIVEP1",0.00272653163273672,0.064100513864226,-1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"ETV7",0.0449997180278786,0.0702885396287065,-1,TRUE,-1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"POU4F1",-0.06279321790663,0.0163436774869622,-1,TRUE,1
"receptorKO:ITGB2","top","receptor","HP-ITGB2",2,"ID1",-0.0198453339249985,0.0037722757374333,1,FALSE,-1
