"location","claim_excerpt","dataset","cluster","tf","claimed_direction","observed","cor_score_targets","anchor_ok","verdict","impact"
"Abstract","severe: loss of interferon signalling TFs","SevCOVID_Azimuthl2","CD16_Mono","IRF7","down_or_absent","not significant",NA,NA,"SUPPORTED (absent from significant set)","none - claim stands"
"Abstract","severe: loss of interferon signalling TFs","SevCOVID_Azimuthl2","CD16_Mono","IRF9","down_or_absent","down (-1.5)",0.617566702278247,TRUE,"SUPPORTED","none - claim stands"
"Abstract","severe: loss of interferon signalling TFs","SevCOVID_Azimuthl2","CD16_Mono","STAT1","down_or_absent","down (-2.1)",0.899526466628116,TRUE,"SUPPORTED","none - claim stands"
"Abstract","severe: loss of interferon signalling TFs","SevCOVID_Azimuthl2","CD16_Mono","STAT2","down_or_absent","down (-0.9)",0.821305498575493,TRUE,"SUPPORTED","none - claim stands"
"Abstract","severe: gain of inflammation/stress factors","SevCOVID_Azimuthl2","CD16_Mono","NFKB2","up","up (+4.1)",0.336281436190336,TRUE,"SUPPORTED","none - claim stands"
"Abstract","severe: gain of inflammation/stress factors","SevCOVID_Azimuthl2","CD16_Mono","HIF1A","up","up (+3.9)",0.701630333155095,TRUE,"SUPPORTED","none - claim stands"
"Abstract","severe: gain of inflammation/stress factors","SevCOVID_Azimuthl2","CD16_Mono","ATF3","up","up (+4.2)",0.60402441517503,TRUE,"SUPPORTED","none - claim stands"
"Abstract","severe: gain of inflammation/stress factors","SevCOVID_Azimuthl2","CD16_Mono","ATF4","up","up (+3.1)",0.276891555323585,TRUE,"SUPPORTED","none - claim stands"
"Results Fig3a (C8)","strong upregulation of IRF/STAT subsets in C8","covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","IRF2","up","up (+9.2)",0.974941989543048,TRUE,"SUPPORTED","none - claim stands"
"Results Fig3a (C8)","strong upregulation of IRF/STAT subsets in C8","covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","IRF7","up","up (+10.4)",0.984359030804882,TRUE,"SUPPORTED","none - claim stands"
"Results Fig3a (C8)","strong upregulation of IRF/STAT subsets in C8","covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","IRF8","up","up (+8.3)",0.959721895640205,TRUE,"SUPPORTED","none - claim stands"
"Results Fig3a (C8)","strong upregulation of IRF/STAT subsets in C8","covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","STAT1","up","up (+7.2)",0.937850359618305,TRUE,"SUPPORTED","none - claim stands"
"Results Fig3a (C8)","strong upregulation of IRF/STAT subsets in C8","covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","STAT2","up","up (+10.1)",0.978077220886959,TRUE,"SUPPORTED","none - claim stands"
"Results Fig4e","CD16 severe: inhibition of PC1 TFs RELATIVE to mild","SevCOVID_Azimuthl2","CD16_Mono","IRF1","down_vs_mild","up (+1.4)",0.691972548079289,TRUE,"CONTRADICTED","wording or figure needs correction"
"Results Fig4e","CD16 severe: inhibition of PC1 TFs RELATIVE to mild","SevCOVID_Azimuthl2","CD16_Mono","IRF7","down_vs_mild","not significant",NA,NA,"SUPPORTED (absent in severe, up in mild)","none - claim stands"
"Results Fig4e","CD16 severe: inhibition of PC1 TFs RELATIVE to mild","SevCOVID_Azimuthl2","CD16_Mono","IRF8","down_vs_mild","down (-2.9)",0.73322757245782,TRUE,"SUPPORTED (severe-mild negative)","none - claim stands"
"Results Fig4e","CD14 severe: activation of PC1 TFs RELATIVE to mild","SevCOVID_Azimuthl2","CD14_Mono","IRF1","up_vs_mild","up (+8.4)",0.580652452962154,TRUE,"SUPPORTED (severe-mild positive)","none - claim stands"
"Results Fig4e","CD14 severe: activation of PC1 TFs RELATIVE to mild","SevCOVID_Azimuthl2","CD14_Mono","IRF7","up_vs_mild","up (+9.6)",0.886662315552474,TRUE,"SUPPORTED (severe-mild positive)","none - claim stands"
"Results Fig4e","CD14 severe: activation of PC1 TFs RELATIVE to mild","SevCOVID_Azimuthl2","CD14_Mono","IRF8","up_vs_mild","up (+6.0)",0.077179263001978,TRUE,"SUPPORTED (severe-mild positive)","none - claim stands"
"Results Fig4f","CD16 mild: strong activation of IFN TFs","MilCOVID_Azimuthl2","CD16_Mono","STAT2","up","up (+5.7)",0.76141303278026,TRUE,"SUPPORTED","none - claim stands"
"Results Fig4f","CD16 mild: strong activation of IFN TFs","MilCOVID_Azimuthl2","CD16_Mono","JUND","up","up (+5.6)",0.376280894438844,TRUE,"SUPPORTED","none - claim stands"
"Results Fig4f","CD16 mild: strong activation of IFN TFs","MilCOVID_Azimuthl2","CD16_Mono","IRF7","up","up (+5.6)",0.864777921059167,TRUE,"SUPPORTED","none - claim stands"
