"tf","cor_score_expr","anchor_sign","deltaPagoda","anchored_delta","flipped","weak_anchor"
"ZBTB7A",-0.53207695369583,-1,-6.06610101193462,6.06610101193462,TRUE,FALSE
"KLF6",-0.57838896923816,-1,-5.77607684476093,5.77607684476093,TRUE,FALSE
"EGR1",-0.213470240788926,-1,-5.47940896429929,5.47940896429929,TRUE,FALSE
"KLF4",-0.233004747973974,-1,-4.9990509761125,4.9990509761125,TRUE,FALSE
"MEF2C",-0.0745193926865487,-1,-4.93383405449061,4.93383405449061,TRUE,TRUE
"NR4A2",0.00574001763059789,1,-4.3709791080618,-4.3709791080618,FALSE,TRUE
"E2F5",0.0513915669546263,1,-4.33380895087073,-4.33380895087073,FALSE,TRUE
"FOXL2",NA,NA,-4.32245976195484,NA,FALSE,FALSE
"EGR3",-0.0778347081287768,-1,-4.2593275534823,4.2593275534823,TRUE,TRUE
"BHLHE40",-0.251647077814088,-1,-4.25385319890209,4.25385319890209,TRUE,FALSE
"RUNX3",-0.350261009354663,-1,-4.11045857132396,4.11045857132396,TRUE,FALSE
"RAD21",0.0426369800114342,1,-3.94441328664275,-3.94441328664275,FALSE,TRUE
"BCL11A",0.249604135424563,1,-3.87911433891795,-3.87911433891795,FALSE,FALSE
"GTF2I",0.0552168363332593,1,-3.87071620725376,-3.87071620725376,FALSE,TRUE
"CREB1",0.0629583787963685,1,-3.70616115018094,-3.70616115018094,FALSE,TRUE
"ELF2",-0.328943820347048,-1,-3.5126021138151,3.5126021138151,TRUE,FALSE
"MAFB",-0.0570215647807076,-1,-3.47436448009788,3.47436448009788,TRUE,TRUE
"KLF2",-0.487793854479966,-1,-3.30050548275014,3.30050548275014,TRUE,FALSE
"ATF5",0.230653144018273,1,-3.14426807767573,-3.14426807767573,FALSE,FALSE
"IRF8",0.318458175448515,1,-2.91484155251794,-2.91484155251794,FALSE,FALSE
"BDP1",0.024578233148559,1,-2.84950016749768,-2.84950016749768,FALSE,TRUE
"CREB5",0.243326247256132,1,-2.58981279489571,-2.58981279489571,FALSE,FALSE
"CEBPD",0.345791043226934,1,-2.54631986068557,-2.54631986068557,FALSE,FALSE
"HIVEP1",-0.163222397547844,-1,-2.54387587462864,2.54387587462864,TRUE,TRUE
"ETV7",-0.155879372111675,-1,-2.53757211306224,2.53757211306224,TRUE,TRUE
"POU4F1",-0.0293666835142694,-1,-2.52298739884744,2.52298739884744,TRUE,TRUE
"ID1",0.217688835009398,1,-2.45018343833503,-2.45018343833503,FALSE,FALSE
"HOXB2",0.0361657188514224,1,-2.39504456076967,-2.39504456076967,FALSE,TRUE
"SPI1",-0.16586633669084,-1,-2.35493135866231,2.35493135866231,TRUE,TRUE
"BCLAF1",-0.419983991660482,-1,-2.2529321827486,2.2529321827486,TRUE,FALSE
"STAT1",0.569740782975566,1,-2.14460821546639,-2.14460821546639,FALSE,FALSE
"TCF7L2",-0.278481412496572,-1,-2.14254629492978,2.14254629492978,TRUE,FALSE
"BRCA1",0.0334229763299578,1,-2.09544829707521,-2.09544829707521,FALSE,TRUE
"CEBPB",0.309900830823859,1,-2.05982277486568,-2.05982277486568,FALSE,FALSE
"RORA",-0.261426812855999,-1,-1.92824084573255,1.92824084573255,TRUE,FALSE
"ZBTB14",-0.00847213348226133,-1,-1.87531828434979,1.87531828434979,TRUE,TRUE
"EGR2",-0.0239579880279633,-1,-1.56830108094275,1.56830108094275,TRUE,TRUE
"IRF9",0.0789909058794555,1,-1.50900039295281,-1.50900039295281,FALSE,TRUE
"FOXC1",0.0461243810223067,1,-1.38853460982256,-1.38853460982256,FALSE,TRUE
"FOXP1",-0.0318823780256988,-1,-1.38662021655214,1.38662021655214,TRUE,TRUE
"ESR1",0.0150704815202865,1,-1.38174484060846,-1.38174484060846,FALSE,TRUE
"AHR",0.188851043554924,1,-1.3373337925442,-1.3373337925442,FALSE,TRUE
"KLF10",0.0847504677465568,1,-1.32213783831099,-1.32213783831099,FALSE,TRUE
"ZBTB7C",0.00618935721026783,1,-1.09540431567132,-1.09540431567132,FALSE,TRUE
"FOXP3",0.057988859559163,1,-1.0348909063427,-1.0348909063427,FALSE,TRUE
"NFATC2",0.390074428249828,1,-0.937360965755036,-0.937360965755036,FALSE,FALSE
"STAT2",0.299567664510343,1,-0.858284695103929,-0.858284695103929,FALSE,FALSE
"RARG",0.0914342780597715,1,-0.818183669057161,-0.818183669057161,FALSE,TRUE
"XBP1",0.149730130231274,1,-0.806334658633661,-0.806334658633661,FALSE,TRUE
"REL",0.0869758385783713,1,1.3580828391088,1.3580828391088,FALSE,TRUE
"POU2F2",-0.271474117577319,-1,1.3729698507033,-1.3729698507033,TRUE,FALSE
"IRF1",0.0943572141973285,1,1.41828715051526,1.41828715051526,FALSE,TRUE
"ETS2",0.457516393673847,1,1.47038712229781,1.47038712229781,FALSE,FALSE
"TFEC",0.0596429424103617,1,1.55663649929203,1.55663649929203,FALSE,TRUE
"ITGB2",0.107787263401262,1,1.82235852960895,1.82235852960895,FALSE,TRUE
"POU2F1",0.202819344590395,1,1.85247279373667,1.85247279373667,FALSE,FALSE
"JUN",0.0121903914716718,1,2.25201328357832,2.25201328357832,FALSE,TRUE
"CUX1",-0.155848829468366,-1,2.32220223099036,-2.32220223099036,TRUE,TRUE
"PLAG1",-0.0054035086346451,-1,2.47215495272281,-2.47215495272281,TRUE,TRUE
"JUND",0.0817777345741205,1,2.55458467668218,2.55458467668218,FALSE,TRUE
"FOSL2",0.233357033452523,1,2.56943020917177,2.56943020917177,FALSE,FALSE
"NR1D1",0.205544764451244,1,2.70462315125006,2.70462315125006,FALSE,FALSE
"ZFY",0.196631191616111,1,2.82435628502355,2.82435628502355,FALSE,TRUE
"FOSB",-0.200481636021675,-1,2.89930538176271,-2.89930538176271,TRUE,FALSE
"NR4A1",0.171950841514225,1,2.9436631062885,2.9436631062885,FALSE,TRUE
"ATF4",0.247740583938812,1,3.12747387337358,3.12747387337358,FALSE,FALSE
"NFIL3",0.230273358024935,1,3.232669571164,3.232669571164,FALSE,FALSE
"STAT3",0.208044173679843,1,3.36644032587336,3.36644032587336,FALSE,FALSE
"NFE2",0.0822407510423219,1,3.48069924882969,3.48069924882969,FALSE,TRUE
"MXI1",0.166892051062369,1,3.57215565184276,3.57215565184276,FALSE,TRUE
"HIF1A",0.30675717988795,1,3.92107203393769,3.92107203393769,FALSE,FALSE
"NFKB2",0.493474779221105,1,4.06317304024735,4.06317304024735,FALSE,FALSE
"ATF3",0.654348586824903,1,4.17575604843891,4.17575604843891,FALSE,FALSE
"HES4",0.590263304043647,1,4.68116930055205,4.68116930055205,FALSE,FALSE
