"dataset","cluster","tf","deltaPagoda","n_targets","cor_score_targets"
"covid","B","KLF13",-0.784431302689626,40,0.0991992216661262
"covid","B","ID2",0.735033356314832,40,0.716558268443242
"covid","B","BACH1",0.758507561502975,40,0.932237182109154
"covid","B","BRF1",0.759432492920328,40,0.89341063431294
"covid","B","MYBL1",0.774470800636564,40,0.799984666656019
"covid","B","BCL6",0.803528576011248,40,0.832523036474331
"covid","B","NR4A1",0.826042138380891,40,0.845716149802882
"covid","B","CEBPZ",0.826491714929024,40,0.926739081068806
"covid","B","HIF1A",0.832876860029109,40,0.927305241184195
"covid","B","POU2F1",0.835710538958226,40,0.872346939129819
"covid","B","KLF2",0.837750973186401,40,0.797701123403558
"covid","B","FOXO1",0.842124023571155,40,0.719973763870669
"covid","B","TP63",0.864815251664744,29,0.820672660189347
"covid","B","SPIB",0.877005016721204,40,0.952657112956328
"covid","B","KLF3",0.887570758401528,40,0.929903298543957
"covid","B","KLF6",0.91840613560157,40,0.451531098285485
"covid","B","POU2F2",0.925632197442773,40,0.800407028060436
"covid","B","CTCF",0.928303718746299,40,0.923139064679906
"covid","B","FOSB",0.963692297719303,40,0.912259918236054
"covid","B","ZNF331",0.987392475218286,40,0.758537082317418
"covid","B","PAX8",0.988195387047549,40,0.399790506798963
"covid","B","TBP",0.997587589456126,40,0.874835253357815
"covid","B","ZFY",0.999147454073146,39,0.833180467486436
"covid","B","BACH2",1.00306046611833,40,0.751015764594281
"covid","B","JUND",1.03655938905823,40,0.919155096635484
"covid","B","BDP1",1.09996067037077,40,0.900807514449663
"covid","B","NF1",1.11409624609207,26,0.899020832653356
"covid","B","KLF7",1.16037362265649,40,0.57005181948043
"covid","B","REST",1.17257504104263,40,0.729374207898755
"covid","B","JUN",1.18188414144556,40,0.915027753491495
"covid","B","NR4A3",1.22050958819733,37,0.908140088986173
"covid","B","TAF1",1.26986816537074,40,0.825083406307921
"covid","B","PGR",1.27606812423528,24,0.851679535888567
"covid","B","MYC",1.29509495220172,40,0.894767163032752
"covid","B","MAF",1.36387442091538,27,0.577463727405366
"covid","B","HIVEP3",1.38697200084868,40,0.948372755814414
"covid","B","NR4A2",1.39071789490494,40,0.94359613444176
"covid","B","ELF1",1.43035194996852,40,0.855177781373459
"covid","B","STAT4",1.44937169306128,40,0.920842868640881
"covid","B","BCL11B",1.45101792145252,27,0.913446078781999
"covid","B","FOXI1",1.55598204739858,40,0.68872492967009
"covid","B","ELK4",1.69590166165577,40,0.108563818447096
"covid","B","STAT3",1.9066089143062,40,0.916932053425037
"covid","B","IRF1",2.06138208321795,40,0.821001153473023
"covid","B","SP6",2.1609369407955,40,0.670291784924851
"covid","B","TCF7L2",2.26473656626961,40,0.767669491437147
"covid","B","NFKB1",2.2941268271986,40,0.938905860351292
"covid","B","REL",2.31874220727131,40,0.643666356712748
"covid","B","STAT2",2.36956837857568,40,0.832510675354636
"covid","B","IRF8",3.22385266474783,40,0.896898685346309
"covid","B","IRF9",3.68863224383088,40,0.95849188089714
"covid","B","STAT1",4.1590771216744,40,0.95058111845911
"covid","CD14_plus_monocytes","EGR1",-3.46057538883736,40,-0.112562149995902
"covid","CD14_plus_monocytes","MAFF",-3.09487073730258,40,0.0989062474122862
"covid","CD14_plus_monocytes","NFE2",-3.00820026930302,40,0.682947604288056
"covid","CD14_plus_monocytes","NFIA",-2.84181184182315,40,-0.306407770540484
"covid","CD14_plus_monocytes","PAX5",-2.76846990149531,38,0.359240735876488
"covid","CD14_plus_monocytes","TCF7L2",-2.68666254921451,40,0.337140745650754
"covid","CD14_plus_monocytes","TFCP2",-2.55708364870812,40,0.160793994820932
"covid","CD14_plus_monocytes","NR4A1",-2.42604251876541,40,0.126616587670405
