"cluster","condition","n_donors","n_cells","n_cells_used","n_metacells","n_donors_represented_in_metacells"
"B","case",6,2373,2373,600,6
"B","control",6,2901,2901,600,6
"CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","case",6,6098,3600,600,4
"CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","control",6,20,NA,NA,NA
"CD14_plus_monocytes","case",5,1314,1314,438,5
"CD14_plus_monocytes","control",6,4241,3600,600,6
"CD16_plus_monocytes","case",6,2794,2794,600,6
"CD16_plus_monocytes","control",6,2358,2358,600,6
"CD4_T","case",6,4715,3600,600,6
"CD4_T","control",6,8631,3600,600,6
"CD8_T","case",6,1476,1476,492,6
"CD8_T","control",6,2421,2421,492,6
"NK","case",6,4171,3600,600,6
"NK","control",6,4787,3600,600,6
"NK_T","case",6,134,NA,NA,NA
"NK_T","control",6,106,NA,NA,NA
"Naive_CD8_T","case",6,1045,1045,348,6
"Naive_CD8_T","control",6,1517,1517,348,6
"Plasmablasts","case",6,149,NA,NA,NA
"Plasmablasts","control",6,111,NA,NA,NA
"Platelets","case",6,2020,2020,269,6
"Platelets","control",6,807,807,269,6
"Tregs","case",6,260,NA,NA,NA
"Tregs","control",6,213,NA,NA,NA
"cDC1","case",6,117,NA,NA,NA
"cDC1","control",6,192,NA,NA,NA
"cDC2","case",6,1359,1359,453,6
"cDC2","control",6,2038,2038,453,6
"pDC","case",6,538,538,135,6
"pDC","control",6,405,405,135,6
