"cluster","pt_id","case","control"
"B",2047,98,254
"B",2049,774,807
"B",2051,302,346
"B",2052,324,303
"B",2053,296,666
"B",2055,579,525
"C2",2047,5,7
"C2",2049,7,4
"C2",2052,7,10
"C2",2053,2,2
"C2",2051,0,3
"C2",2055,0,19
"CD14+ monocytes",2047,598,954
"CD14+ monocytes",2049,15,685
"CD14+ monocytes",2051,43,580
"CD14+ monocytes",2052,10,1038
"CD14+ monocytes",2053,648,651
"CD14+ monocytes",2055,0,333
"CD14+BDCA1+PD-L1+ cells",2047,9,1
"CD14+BDCA1+PD-L1+ cells",2049,1600,1
"CD14+BDCA1+PD-L1+ cells",2051,1638,3
"CD14+BDCA1+PD-L1+ cells",2052,1880,6
"CD14+BDCA1+PD-L1+ cells",2053,3,5
"CD14+BDCA1+PD-L1+ cells",2055,968,4
"CD16+ monocytes",2047,814,170
"CD16+ monocytes",2049,166,327
"CD16+ monocytes",2051,608,429
"CD16+ monocytes",2052,378,845
"CD16+ monocytes",2053,775,486
"CD16+ monocytes",2055,53,101
"CD4 T",2047,765,2590
"CD4 T",2049,1297,1515
"CD4 T",2051,683,745
"CD4 T",2052,602,986
"CD4 T",2053,744,1285
"CD4 T",2055,624,1510
"CD8 T",2047,227,439
"CD8 T",2049,281,538
"CD8 T",2051,249,294
"CD8 T",2052,247,516
"CD8 T",2053,373,425
"CD8 T",2055,99,209
"HPCs",2047,84,9
"HPCs",2049,8,8
"HPCs",2051,19,15
"HPCs",2052,32,13
"HPCs",2053,52,13
"HPCs",2055,50,13
"NK",2047,1824,529
"NK",2049,244,761
"NK",2051,137,324
"NK",2052,723,2202
"NK",2053,1137,707
"NK",2055,106,264
"NK T",2047,45,12
"NK T",2049,15,23
"NK T",2051,20,7
"NK T",2052,28,34
"NK T",2053,22,23
"NK T",2055,4,7
"Naive B",2047,3,11
"Naive B",2049,9,20
"Naive B",2051,3,11
"Naive B",2052,9,34
"Naive B",2053,17,49
"Naive B",2055,20,39
"Naive CD8 T",2047,129,236
"Naive CD8 T",2049,187,222
"Naive CD8 T",2051,283,261
"Naive CD8 T",2052,94,120
"Naive CD8 T",2053,143,243
"Naive CD8 T",2055,209,435
"Plasmablasts",2047,46,7
"Plasmablasts",2049,16,13
"Plasmablasts",2051,10,9
"Plasmablasts",2052,13,38
"Plasmablasts",2053,60,40
"Plasmablasts",2055,4,4
"Platelets",2047,305,48
"Platelets",2049,321,138
"Platelets",2051,338,98
"Platelets",2052,500,153
"Platelets",2053,260,210
"Platelets",2055,296,160
"Tregs",2047,39,11
"Tregs",2049,78,70
"Tregs",2051,6,15
"Tregs",2052,22,25
"Tregs",2053,82,72
"Tregs",2055,33,20
"cDC1",2047,28,4
"cDC1",2049,9,34
"cDC1",2051,6,38
"cDC1",2052,18,65
"cDC1",2053,49,35
"cDC1",2055,7,16
"cDC2",2047,307,65
"cDC2",2049,15,291
"cDC2",2051,44,231
"cDC2",2052,8,863
"cDC2",2053,983,462
"cDC2",2055,2,126
"pDC",2047,83,5
"pDC",2049,37,58
"pDC",2051,86,55
"pDC",2052,121,169
"pDC",2053,143,79
"pDC",2055,68,39
