"cluster","condition","n_donors","total_cells","max_donor_share","min_donor_share","eff_n_donors"
"B","case",6,2373,0.326169405815424,0.0412979351032448,4.58666695989385
"B","control",6,2901,0.27817993795243,0.0875560151671837,5.11141769275013
"C2","case",4,21,0.333333333333333,0.0952380952380952,3.47244094488189
"C2","control",6,45,0.422222222222222,0.0444444444444444,3.7569573283859
"CD14+ monocytes","case",5,1314,0.493150684931507,0.0076103500761035,2.21448744488137
"CD14+ monocytes","control",6,4241,0.244753595850035,0.0785192171657628,5.40467445441911
"CD14+BDCA1+PD-L1+ cells","case",6,6098,0.308297802558216,0.000491964578550344,3.8278225319155
"CD14+BDCA1+PD-L1+ cells","control",6,20,0.3,0.05,4.54545454545455
"CD16+ monocytes","case",6,2794,0.291338582677165,0.0189692197566213,4.32217986040903
"CD16+ monocytes","control",6,2358,0.358354537743851,0.042832909245123,4.342887403811
"CD4 T","case",6,4715,0.27507953340403,0.127677624602333,5.50381519885305
"CD4 T","control",6,8631,0.300081103000811,0.0863167651488819,5.15107353675053
"CD8 T","case",6,1476,0.252710027100271,0.0670731707317073,5.41355266754467
"CD8 T","control",6,2421,0.222222222222222,0.0863279636513837,5.53384228867511
"HPCs","case",6,245,0.342857142857143,0.0326530612244898,4.37851046757604
"HPCs","control",6,71,0.211267605633803,0.112676056338028,5.74800456100342
"NK","case",6,4171,0.437305202589307,0.0254135698873172,3.32515120847322
"NK","control",6,4787,0.459995822017965,0.0551493628577397,3.59046357520431
"NK T","case",6,134,0.335820895522388,0.0298507462686567,4.56431113370615
"NK T","control",6,106,0.320754716981132,0.0660377358490566,4.57491856677524
"Naive B","case",6,61,0.327868852459016,0.0491803278688525,4.2819332566168
"Naive B","control",6,164,0.298780487804878,0.0670731707317073,4.7020979020979
"Naive CD8 T","case",6,1045,0.270813397129187,0.0899521531100479,5.33567048591601
"Naive CD8 T","control",6,1517,0.286750164798945,0.0791034937376401,5.28091102059549
"Plasmablasts","case",6,149,0.402684563758389,0.0268456375838926,3.54818603164456
"Plasmablasts","control",6,111,0.36036036036036,0.036036036036036,3.6680559690384
"Platelets","case",6,2020,0.247524752475248,0.128712871287129,5.70265790481408
"Platelets","control",6,807,0.260223048327138,0.0594795539033457,5.24942568575136
"Tregs","case",6,260,0.315384615384615,0.0230769230769231,4.24143556280587
"Tregs","control",6,213,0.338028169014085,0.0516431924882629,3.96062854648625
"cDC1","case",6,117,0.418803418803419,0.0512820512820513,3.72489795918367
"cDC1","control",6,192,0.338541666666667,0.0208333333333333,4.42970439798125
"cDC2","case",6,1359,0.723325974981604,0.00147167034584253,1.73780424119304
"cDC2","control",6,2038,0.423454367026497,0.0318940137389598,3.72053717631293
"pDC","case",6,538,0.265799256505576,0.0687732342007435,5.22764051437654
"pDC","control",6,405,0.417283950617284,0.0123456790123457,3.83800921917776
