"out_cluster","condition","n_metacells","mean_frac_seed_donor","median_frac_seed_donor","mean_frac_modal_donor","pct_pure","pct_majority_seed_donor","mean_n_donors_per_metacell"
"B","case",600,0.783888888888889,0.833333333333333,0.806666666666667,50,85.1666666666667,1.58
"B","control",600,0.672222222222222,0.666666666666667,0.711666666666667,29.5,72.1666666666667,1.865
"CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","case",600,0.855,1,0.881666666666667,68,88.5,1.355
"CD14_plus_monocytes","case",438,0.917808219178082,1,0.926179604261796,79.9086757990868,95.4337899543379,1.22146118721461
"CD14_plus_monocytes","control",600,0.742222222222222,0.666666666666667,0.764444444444444,42.1666666666667,80.5,1.70666666666667
"CD16_plus_monocytes","case",600,0.872222222222222,1,0.889444444444444,70.8333333333333,90.8333333333333,1.33166666666667
"CD16_plus_monocytes","control",600,0.743888888888889,0.666666666666667,0.774444444444444,43.1666666666667,80,1.67666666666667
"CD4_T","case",600,0.690555555555556,0.666666666666667,0.745,36.1666666666667,71,1.765
"CD4_T","control",600,0.677777777777778,0.666666666666667,0.725555555555556,34.6666666666667,68.6666666666667,1.82333333333333
"CD8_T","case",492,0.775745257452574,0.833333333333333,0.801490514905149,50,82.7235772357724,1.59552845528455
"CD8_T","control",492,0.728319783197832,0.666666666666667,0.760162601626016,41.0569105691057,77.4390243902439,1.71951219512195
"NK","case",600,0.839444444444444,1,0.853888888888889,62.8333333333333,89,1.43833333333333
"NK","control",600,0.78,1,0.803333333333333,53,81,1.59
"Naive_CD8_T","case",348,0.673371647509579,0.666666666666667,0.739463601532567,34.1954022988506,67.816091954023,1.7816091954023
"Naive_CD8_T","control",348,0.628352490421456,0.666666666666667,0.67911877394636,26.1494252873563,62.3563218390805,1.96264367816092
"Platelets","case",269,0.589838909541512,0.666666666666667,0.645600991325898,20.4460966542751,56.5055762081784,2.0631970260223
"Platelets","control",269,0.602230483271375,0.666666666666667,0.644361833952912,21.1895910780669,59.4795539033457,2.06691449814126
"cDC2","case",453,0.927888153053716,1,0.941133186166299,83.8852097130243,94.4812362030905,1.1766004415011
"cDC2","control",453,0.718910963944076,0.666666666666667,0.745401030169242,38.8520971302428,76.8211920529801,1.76379690949227
"pDC","case",135,0.77283950617284,0.666666666666667,0.8,49.6296296296296,82.2222222222222,1.6
"pDC","control",135,0.728395061728395,0.666666666666667,0.77037037037037,40.7407407407407,77.7777777777778,1.68888888888889
