"out_cluster","condition","n_metacells","mean_frac_seed_donor","expected_frac_seed_donor","enrichment"
"B","case",600,0.783888888888889,0.474535089282919,1.65190921934444
"B","control",600,0.672222222222222,0.460223199204804,1.46064392969264
"CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","case",600,0.855,0.505402440696558,1.69172115358528
"CD14_plus_monocytes","case",438,0.917808219178082,0.626934497522733,1.46396190160967
"CD14_plus_monocytes","control",600,0.742222222222222,0.455479330442899,1.62954095304501
"CD16_plus_monocytes","case",600,0.872222222222222,0.477619941593659,1.82618468423221
"CD16_plus_monocytes","control",600,0.743888888888889,0.483577475756144,1.53830342847485
"CD4_T","case",600,0.690555555555556,0.455778463073182,1.51511230017175
"CD4_T","control",600,0.677777777777778,0.464283898520515,1.45983476906604
"CD8_T","case",492,0.775745257452574,0.454645226406405,1.70626504447039
"CD8_T","control",492,0.728319783197832,0.455527504380455,1.5988491939436
"NK","case",600,0.839444444444444,0.518747144469215,1.61821506565278
"NK","control",600,0.78,0.522745422879232,1.49212210353528
"Naive_CD8_T","case",348,0.673371647509579,0.472710529504423,1.42449047668882
"Naive_CD8_T","control",348,0.628352490421456,0.460922031850228,1.36325115095742
"Platelets","case",269,0.589838909541512,0.468544680610355,1.2588744125174
"Platelets","control",269,0.602230483271375,0.461756662513615,1.30421612109087
"cDC2","case",453,0.927888153053716,0.707264040561623,1.31194023708161
"cDC2","control",453,0.718910963944076,0.517195138304746,1.39001879696803
"pDC","case",135,0.77283950617284,0.463604905664992,1.66702184711416
"pDC","control",135,0.728395061728395,0.507790231077902,1.43444087173991
