"out_cluster","condition","mean_frac_seed_donor","expected_frac_seed_donor","enrichment","max_donor_share","eff_n_donors"
"cDC2","case",0.927888153053716,0.707264040561623,1.31194023708161,0.723325974981604,1.73780424119304
"CD14_plus_monocytes","case",0.917808219178082,0.626934497522733,1.46396190160967,0.493150684931507,2.21448744488137
"NK","case",0.839444444444444,0.518747144469215,1.61821506565278,0.437305202589307,3.32515120847322
"NK","control",0.78,0.522745422879232,1.49212210353528,0.459995822017965,3.59046357520431
"cDC2","control",0.718910963944076,0.517195138304746,1.39001879696803,0.423454367026497,3.72053717631293
"CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","case",0.855,0.505402440696558,1.69172115358528,0.308297802558216,3.8278225319155
"pDC","control",0.728395061728395,0.507790231077902,1.43444087173991,0.417283950617284,3.83800921917776
"CD16_plus_monocytes","case",0.872222222222222,0.477619941593659,1.82618468423221,0.291338582677165,4.32217986040903
"CD16_plus_monocytes","control",0.743888888888889,0.483577475756144,1.53830342847485,0.358354537743851,4.342887403811
"B","case",0.783888888888889,0.474535089282919,1.65190921934444,0.326169405815424,4.58666695989385
"B","control",0.672222222222222,0.460223199204804,1.46064392969264,0.27817993795243,5.11141769275013
"CD4_T","control",0.677777777777778,0.464283898520515,1.45983476906604,0.300081103000811,5.15107353675053
"pDC","case",0.77283950617284,0.463604905664992,1.66702184711416,0.265799256505576,5.22764051437654
"Platelets","control",0.602230483271375,0.461756662513615,1.30421612109087,0.260223048327138,5.24942568575136
"Naive_CD8_T","control",0.628352490421456,0.460922031850228,1.36325115095742,0.286750164798945,5.28091102059549
"Naive_CD8_T","case",0.673371647509579,0.472710529504423,1.42449047668882,0.270813397129187,5.33567048591601
"CD14_plus_monocytes","control",0.742222222222222,0.455479330442899,1.62954095304501,0.244753595850035,5.40467445441911
"CD8_T","case",0.775745257452574,0.454645226406405,1.70626504447039,0.252710027100271,5.41355266754467
"CD4_T","case",0.690555555555556,0.455778463073182,1.51511230017175,0.27507953340403,5.50381519885305
"CD8_T","control",0.728319783197832,0.455527504380455,1.5988491939436,0.222222222222222,5.53384228867511
"Platelets","case",0.589838909541512,0.468544680610355,1.2588744125174,0.247524752475248,5.70265790481408
