"cluster","condition","n_donors","n_cells","n_cells_used","n_metacells","n_donors_represented_in_metacells"
"B_intermediate","case",4,450,450,225,4
"B_intermediate","control",5,622,622,225,5
"B_memory","case",4,217,NA,NA,NA
"B_memory","control",5,102,NA,NA,NA
"B_naive","case",4,735,735,157,4
"B_naive","control",5,314,314,157,5
"CD14_Mono","case",4,3009,2400,600,4
"CD14_Mono","control",5,5379,2400,600,5
"CD16_Mono","case",4,760,760,380,4
"CD16_Mono","control",5,3112,2400,380,5
"CD4_TCM","case",4,1424,1424,600,4
"CD4_TCM","control",5,5438,2400,600,5
"CD8_Naive","case",4,134,NA,NA,NA
"CD8_Naive","control",5,121,NA,NA,NA
"CD8_TEM","case",4,521,521,260,4
"CD8_TEM","control",5,2426,2400,260,5
"Eryth","case",4,165,NA,NA,NA
"Eryth","control",5,258,NA,NA,NA
"HSPC","case",4,334,334,117,4
"HSPC","control",5,235,235,117,5
"NK","case",4,1133,1133,566,4
"NK","control",5,5071,2400,566,5
"Platelet","case",4,130,NA,NA,NA
"Platelet","control",5,121,NA,NA,NA
"cDC2","case",4,398,398,199,4
"cDC2","control",5,2134,2134,199,5
"pDC","case",4,734,734,367,4
"pDC","control",5,1163,1163,367,5
