"cluster","sample_id","case","control"
"B_intermediate","COV01",130,0
"B_intermediate","COV04",69,0
"B_intermediate","COV10",27,0
"B_intermediate","COV11",224,0
"B_intermediate","COV07",0,252
"B_intermediate","COV08",0,247
"B_intermediate","COV09",0,28
"B_intermediate","COV17",0,71
"B_intermediate","COV18",0,24
"B_memory","COV01",89,0
"B_memory","COV04",11,0
"B_memory","COV10",36,0
"B_memory","COV11",81,0
"B_memory","COV07",0,6
"B_memory","COV08",0,32
"B_memory","COV09",0,12
"B_memory","COV17",0,27
"B_memory","COV18",0,25
"B_naive","COV01",329,0
"B_naive","COV04",20,0
"B_naive","COV10",91,0
"B_naive","COV11",295,0
"B_naive","COV07",0,95
"B_naive","COV08",0,80
"B_naive","COV09",0,34
"B_naive","COV17",0,78
"B_naive","COV18",0,27
"CD14_Mono","COV01",374,0
"CD14_Mono","COV04",186,0
"CD14_Mono","COV10",730,0
"CD14_Mono","COV11",1719,0
"CD14_Mono","COV07",0,855
"CD14_Mono","COV08",0,514
"CD14_Mono","COV09",0,569
"CD14_Mono","COV17",0,2270
"CD14_Mono","COV18",0,1171
"CD16_Mono","COV01",150,0
"CD16_Mono","COV04",505,0
"CD16_Mono","COV10",1,0
"CD16_Mono","COV11",104,0
"CD16_Mono","COV07",0,525
"CD16_Mono","COV08",0,180
"CD16_Mono","COV09",0,331
"CD16_Mono","COV17",0,1408
"CD16_Mono","COV18",0,668
"CD4_TCM","COV01",553,0
"CD4_TCM","COV04",266,0
"CD4_TCM","COV10",267,0
"CD4_TCM","COV11",338,0
"CD4_TCM","COV07",0,1465
"CD4_TCM","COV08",0,958
"CD4_TCM","COV09",0,712
"CD4_TCM","COV17",0,1057
"CD4_TCM","COV18",0,1246
"CD8_Naive","COV01",11,0
"CD8_Naive","COV04",1,0
"CD8_Naive","COV10",2,0
"CD8_Naive","COV11",120,0
"CD8_Naive","COV07",0,3
"CD8_Naive","COV08",0,21
"CD8_Naive","COV09",0,20
"CD8_Naive","COV17",0,52
"CD8_Naive","COV18",0,25
"CD8_TEM","COV01",109,0
"CD8_TEM","COV04",181,0
"CD8_TEM","COV10",5,0
"CD8_TEM","COV11",226,0
"CD8_TEM","COV07",0,766
"CD8_TEM","COV08",0,516
"CD8_TEM","COV09",0,943
"CD8_TEM","COV17",0,77
"CD8_TEM","COV18",0,124
"Eryth","COV01",66,0
"Eryth","COV04",9,0
"Eryth","COV10",53,0
"Eryth","COV11",37,0
"Eryth","COV07",0,51
"Eryth","COV08",0,82
"Eryth","COV09",0,60
"Eryth","COV17",0,28
"Eryth","COV18",0,37
"HSPC","COV01",51,0
"HSPC","COV04",68,0
"HSPC","COV10",77,0
"HSPC","COV11",138,0
"HSPC","COV07",0,75
"HSPC","COV08",0,49
"HSPC","COV09",0,53
"HSPC","COV17",0,47
"HSPC","COV18",0,11
"NK","COV01",543,0
"NK","COV04",130,0
"NK","COV10",44,0
"NK","COV11",416,0
"NK","COV07",0,266
"NK","COV08",0,473
"NK","COV09",0,270
"NK","COV17",0,2455
"NK","COV18",0,1607
"Platelet","COV01",16,0
"Platelet","COV04",5,0
"Platelet","COV10",23,0
"Platelet","COV11",86,0
"Platelet","COV07",0,25
"Platelet","COV08",0,50
"Platelet","COV09",0,15
"Platelet","COV17",0,26
"Platelet","COV18",0,5
"cDC2","COV01",165,0
"cDC2","COV04",42,0
"cDC2","COV10",14,0
"cDC2","COV11",177,0
"cDC2","COV07",0,146
"cDC2","COV08",0,706
"cDC2","COV09",0,554
"cDC2","COV17",0,458
"cDC2","COV18",0,270
"pDC","COV01",94,0
"pDC","COV04",23,0
"pDC","COV10",28,0
"pDC","COV11",589,0
"pDC","COV07",0,196
"pDC","COV08",0,220
"pDC","COV09",0,303
"pDC","COV17",0,284
"pDC","COV18",0,160
