"cluster","condition","n_donors_present","n_cells","max_donor_share","effective_n_donors"
"B_intermediate","case",4,450,0.497777777777778,2.79056307361574
"B_intermediate","control",5,622,0.405144694533762,2.95525306689888
"B_memory","case",4,217,0.410138248847926,2.96175860116989
"B_memory","control",5,102,0.313725490196078,4.06724003127443
"B_naive","case",4,735,0.447619047619048,2.64884994630958
"B_naive","control",5,314,0.302547770700637,4.21458493630846
"CD14_Mono","case",4,3009,0.571286141575274,2.47221675363764
"CD14_Mono","control",5,5379,0.422011526306005,3.68904593234098
"CD16_Mono","case",4,760,0.664473684210526,2.00317678312559
"CD16_Mono","control",5,3112,0.452442159383033,3.40253397951146
"CD4_TCM","case",4,1424,0.388342696629214,3.60751328060231
"CD4_TCM","control",5,5438,0.269400514895182,4.73854751503758
"CD8_Naive","case",4,134,0.895522388059702,1.23612832163018
"CD8_Naive","control",5,121,0.429752066115702,3.50346972960038
"CD8_TEM","case",4,521,0.433781190019194,2.8351002162038
"CD8_TEM","control",5,2426,0.388705688375927,3.33725871331155
"Eryth","case",4,165,0.4,3.1601857225769
"Eryth","control",5,258,0.317829457364341,4.41464385196976
"HSPC","case",4,334,0.413173652694611,3.46468724765513
"HSPC","control",5,235,0.319148936170213,4.19483478921382
"NK","case",4,1133,0.479258605472198,2.63731430062395
"NK","control",5,5071,0.484125419049497,2.86459228110857
"Platelet","case",4,130,0.661538461538462,2.0594686814526
"Platelet","control",5,121,0.413223140495868,3.61416934090348
"cDC2","case",4,398,0.444723618090452,2.61764219849952
"cDC2","control",5,2134,0.330834114339269,4.10513353982397
"pDC","case",4,734,0.802452316076294,1.50882460021844
"pDC","control",5,1163,0.260533104041273,4.74783857119288
