"out_cluster","condition","n_metacells","mean_frac_seed_donor","median_frac_seed_donor","mean_frac_modal_donor","pct_pure","pct_majority_seed_donor","mean_n_donors_per_metacell"
"B_intermediate","case",225,0.942222222222222,1,0.942222222222222,88.4444444444444,88.4444444444444,1.11555555555556
"B_intermediate","control",225,0.904444444444444,1,0.904444444444444,80.8888888888889,80.8888888888889,1.19111111111111
"B_naive","case",157,0.904458598726115,1,0.904458598726115,80.8917197452229,80.8917197452229,1.19108280254777
"B_naive","control",157,0.859872611464968,1,0.859872611464968,71.9745222929936,71.9745222929936,1.28025477707006
"CD14_Mono","case",600,0.9825,1,0.9825,96.5,96.5,1.035
"CD14_Mono","control",600,0.853333333333333,1,0.853333333333333,70.6666666666667,70.6666666666667,1.29333333333333
"CD16_Mono","case",380,0.96578947368421,1,0.96578947368421,93.1578947368421,93.1578947368421,1.06842105263158
"CD16_Mono","control",380,0.838157894736842,1,0.838157894736842,67.6315789473684,67.6315789473684,1.32368421052632
"CD4_TCM","case",600,0.900833333333333,1,0.900833333333333,80.1666666666667,80.1666666666667,1.19833333333333
"CD4_TCM","control",600,0.7375,0.5,0.7375,47.5,47.5,1.525
"CD8_TEM","case",260,0.936538461538462,1,0.936538461538462,87.3076923076923,87.3076923076923,1.12692307692308
"CD8_TEM","control",260,0.848076923076923,1,0.848076923076923,69.6153846153846,69.6153846153846,1.30384615384615
"HSPC","case",117,0.918803418803419,1,0.918803418803419,83.7606837606838,83.7606837606838,1.16239316239316
"HSPC","control",117,0.739316239316239,0.5,0.739316239316239,47.8632478632479,47.8632478632479,1.52136752136752
"NK","case",566,0.940812720848057,1,0.940812720848057,88.1625441696113,88.1625441696113,1.11837455830389
"NK","control",566,0.789752650176679,1,0.789752650176679,57.9505300353357,57.9505300353357,1.42049469964664
"cDC2","case",199,0.969849246231156,1,0.969849246231156,93.9698492462311,93.9698492462311,1.06030150753769
"cDC2","control",199,0.78643216080402,1,0.78643216080402,57.286432160804,57.286432160804,1.42713567839196
"pDC","case",367,0.983651226158038,1,0.983651226158038,96.7302452316076,96.7302452316076,1.03269754768392
"pDC","control",367,0.818801089918256,1,0.818801089918256,63.7602179836512,63.7602179836512,1.36239782016349
