"out_cluster","condition","mean_frac_seed_donor","null_frac_seed_donor","enrichment"
"B_intermediate","case",0.942222222222222,0.678340043500393,1.38901164873024
"B_intermediate","control",0.904444444444444,0.676764310669175,1.3364245575393
"B_naive","case",0.904458598726115,0.688046025996164,1.31453211638949
"B_naive","control",0.859872611464968,0.63114226081579,1.36240696408688
"CD14_Mono","case",0.9825,0.694823778956819,1.41402759916347
"CD14_Mono","control",0.853333333333333,0.638361215352402,1.3367562326954
"CD16_Mono","case",0.96578947368421,0.737757670524971,1.30908767508575
"CD16_Mono","control",0.838157894736842,0.6434846022697,1.30252983797979
"CD4_TCM","case",0.900833333333333,0.639875045640797,1.40782694913692
"CD4_TCM","control",0.7375,0.611749614010772,1.20555858656743
"CD8_TEM","case",0.936538461538462,0.678612849734973,1.38007770101055
"CD8_TEM","control",0.848076923076923,0.660134727904037,1.28470278449009
"HSPC","case",0.918803418803419,0.645953601778479,1.42239847610372
"HSPC","control",0.739316239316239,0.620666047239474,1.19116591378646
"NK","case",0.940812720848057,0.697765705950405,1.34832181178438
"NK","control",0.789752650176679,0.679059486731906,1.16300952362436
"cDC2","case",0.969849246231156,0.686919991046986,1.41188094519267
"cDC2","control",0.78643216080402,0.610629306200929,1.28790438457148
"pDC","case",0.983651226158038,0.814835382376685,1.20717785141946
"pDC","control",0.818801089918256,0.606664626058565,1.34967666606494
