"dataset","cluster","tf","n_pred","rho_100_vs_1000","rho_100_vs_100","top5_jac_100_1000","top5_jac_100_100","top10_jac_100_1000","top1_same_100_1000"
"vaccination","pDC","JUNB",47,0.911887141535615,0.885522664199815,1,1,0.818181818181818,TRUE
"vaccination","pDC","YY1",47,0.854764107308048,0.774629972247919,0.666666666666667,0.428571428571429,0.666666666666667,TRUE
"vaccination","pDC","GATA3",47,0.930504162812211,0.856382978723404,0.666666666666667,0.666666666666667,0.666666666666667,TRUE
"vaccination","pDC","CEBPZ",47,0.936748381128585,0.837765957446808,1,0.666666666666667,0.666666666666667,FALSE
"vaccination","pDC","IRF8",47,0.89350138760407,0.847132284921369,1,0.666666666666667,0.818181818181818,TRUE
"vaccination","pDC","ZBTB16",47,0.912580943570768,0.740402405180388,0.666666666666667,0.666666666666667,0.666666666666667,TRUE
"vaccination","pDC","ZFHX3",47,0.944148936170213,0.887719703977798,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"vaccination","pDC","ZBTB18",47,0.855573543015726,0.819033302497687,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"vaccination","pDC","MYBL2",47,0.904717853839038,0.867252543940796,1,1,0.818181818181818,FALSE
"vaccination","pDC","BCL11B",47,0.886563367252544,0.744565217391304,1,0.666666666666667,0.818181818181818,TRUE
"vaccination","pDC","SP100",47,0.885522664199815,0.902752081406105,1,0.666666666666667,0.818181818181818,FALSE
"vaccination","pDC","TCF4",47,0.876040703052729,0.80122571692877,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"vaccination","pDC","MYEF2",47,0.795097132284921,0.785152636447734,1,0.666666666666667,0.818181818181818,TRUE
"vaccination","pDC","CREB5",47,0.870374653098982,0.820420906567992,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"vaccination","pDC","NFE2L2",47,0.933857539315449,0.871299722479186,1,1,0.818181818181818,TRUE
"vaccination","pDC","IKZF1",47,0.918709528214616,0.83950046253469,0.666666666666667,0.666666666666667,0.666666666666667,TRUE
"vaccination","pDC","CUX2",47,0.900786308973173,0.783880666049954,1,0.428571428571429,1,TRUE
"vaccination","pDC","MYB",47,0.926919518963922,0.79740980573543,1,0.666666666666667,0.818181818181818,TRUE
"vaccination","pDC","SMARCA5",47,0.949583718778908,0.809898242368178,1,0.666666666666667,0.818181818181818,FALSE
"vaccination","pDC","HIVEP2",47,0.919403330249769,0.866674375578168,1,1,0.818181818181818,TRUE
"vaccination","pDC","CREB3",47,0.917784458834413,0.883325624421832,1,1,0.818181818181818,FALSE
"vaccination","pDC","IRF7",47,0.92900092506938,0.841350601295097,0.666666666666667,1,1,TRUE
"vaccination","pDC","FOXP1",47,0.911193339500463,0.709990749306198,0.428571428571429,0.666666666666667,0.818181818181818,TRUE
"vaccination","pDC","NFE2",47,0.957446808510638,0.92645698427382,1,0.666666666666667,1,TRUE
"vaccination","pDC","HOXB4",47,0.874653098982424,0.782493061979648,0.666666666666667,1,0.818181818181818,TRUE
"vaccination","pDC","MYBL1",47,0.916859389454209,0.896160962072155,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"vaccination","pDC","CUX1",47,0.943570767807586,0.843085106382979,0.666666666666667,0.666666666666667,1,TRUE
"vaccination","pDC","HIVEP1",47,0.893732654949121,0.81440795559667,1,1,1,TRUE
"vaccination","pDC","XBP1",47,0.933279370952821,0.912465309898242,1,0.666666666666667,0.818181818181818,TRUE
