"tf","cluster","method","n_obs","n_pred","oob_r2","cv_r2","lodo_r2","null_metric","null_q95","p_perm","beats_null","imp_stability_spearman","imp_top5_jaccard","type","drivers"
"TF01","synthetic_pilot","rf",216,40,0.356734157419308,0.412212805359593,0.335370688010978,"oob_r2",-0.053892944682758,0.0196078431372549,TRUE,0.69494684177611,0.697354497354497,"linear","LIG04_REC04;LIG11_REC11;LIG01_REC01"
"TF01","synthetic_pilot","lm",216,40,NA,0.486305321905608,0.399176610674571,"cv_r2",-0.319206665225193,0.0196078431372549,TRUE,NA,NA,"linear","LIG04_REC04;LIG11_REC11;LIG01_REC01"
"TF01","synthetic_pilot","ridge",216,40,NA,0.50034795892611,0.424711371875241,"cv_r2",0.00232123922444866,0.0196078431372549,TRUE,NA,NA,"linear","LIG04_REC04;LIG11_REC11;LIG01_REC01"
"TF01","synthetic_pilot","spearman",216,40,NA,0.247816244746686,0.269539077265378,"cv_r2",0.0017472318432896,0.0196078431372549,TRUE,NA,NA,"linear","LIG04_REC04;LIG11_REC11;LIG01_REC01"
"TF02","synthetic_pilot","rf",216,40,0.320910960412209,0.321394094964218,0.279017731003612,"oob_r2",-0.0359988066340814,0.0196078431372549,TRUE,0.50844277673546,0.396296296296296,"linear","LIG20_REC20;LIG16_REC16;LIG22_REC22"
"TF02","synthetic_pilot","lm",216,40,NA,0.0305633356730406,-0.241341421769771,"cv_r2",-0.349491794230201,0.0196078431372549,TRUE,NA,NA,"linear","LIG20_REC20;LIG16_REC16;LIG22_REC22"
"TF02","synthetic_pilot","ridge",216,40,NA,0.336261630969275,0.213620182741397,"cv_r2",0.000871578043382935,0.0196078431372549,TRUE,NA,NA,"linear","LIG20_REC20;LIG16_REC16;LIG22_REC22"
"TF02","synthetic_pilot","spearman",216,40,NA,0.492924539446169,0.441328514030184,"cv_r2",-0.00392938784740467,0.0196078431372549,TRUE,NA,NA,"linear","LIG20_REC20;LIG16_REC16;LIG22_REC22"
"TF03","synthetic_pilot","rf",216,40,0.236338204792025,0.218916695931421,0.164569377535415,"oob_r2",-0.0312877195863419,0.0196078431372549,TRUE,0.576510318949343,0.463227513227513,"linear","LIG20_REC20;LIG08_REC08;LIG36_REC36"
"TF03","synthetic_pilot","lm",216,40,NA,0.299199866431415,0.153689201331453,"cv_r2",-0.288915749503505,0.0196078431372549,TRUE,NA,NA,"linear","LIG20_REC20;LIG08_REC08;LIG36_REC36"
"TF03","synthetic_pilot","ridge",216,40,NA,0.419267524905311,0.243030986579952,"cv_r2",-0.000322298765726582,0.0196078431372549,TRUE,NA,NA,"linear","LIG20_REC20;LIG08_REC08;LIG36_REC36"
"TF03","synthetic_pilot","spearman",216,40,NA,0.295469086361983,0.22681068034197,"cv_r2",0.0142848259740421,0.0196078431372549,TRUE,NA,NA,"linear","LIG20_REC20;LIG08_REC08;LIG36_REC36"
"TF04","synthetic_pilot","rf",216,40,0.0640246770452301,0.067551461773883,-0.06099052607341,"oob_r2",-0.0498350473103716,0.0196078431372549,TRUE,0.486875130289765,0.335537918871252,"linear","LIG01_REC01;LIG14_REC14;LIG08_REC08"
"TF04","synthetic_pilot","lm",216,40,NA,0.1777344963506,0.0587094160318801,"cv_r2",-0.182695193564234,0.0196078431372549,TRUE,NA,NA,"linear","LIG01_REC01;LIG14_REC14;LIG08_REC08"
"TF04","synthetic_pilot","ridge",216,40,NA,0.053776146444112,-0.20430256129035,"cv_r2",0.00350819562123434,0.0196078431372549,TRUE,NA,NA,"linear","LIG01_REC01;LIG14_REC14;LIG08_REC08"
"TF04","synthetic_pilot","spearman",216,40,NA,-0.0599879308667628,-0.129970551734627,"cv_r2",0.0123206209899239,0.92156862745098,FALSE,NA,NA,"linear","LIG01_REC01;LIG14_REC14;LIG08_REC08"
"TF05","synthetic_pilot","rf",216,40,0.404449760943549,0.416937443435964,0.42551693535415,"oob_r2",-0.0341360186559807,0.0196078431372549,TRUE,0.662009589326663,0.740740740740741,"linear","LIG25_REC25;LIG29_REC29;LIG14_REC14"
"TF05","synthetic_pilot","lm",216,40,NA,0.349425708549702,0.165444012358178,"cv_r2",-0.372281041337416,0.0196078431372549,TRUE,NA,NA,"linear","LIG25_REC25;LIG29_REC29;LIG14_REC14"
"TF05","synthetic_pilot","ridge",216,40,NA,0.548387160349636,0.497498337673383,"cv_r2",-0.00330117511707451,0.0196078431372549,TRUE,NA,NA,"linear","LIG25_REC25;LIG29_REC29;LIG14_REC14"
"TF05","synthetic_pilot","spearman",216,40,NA,0.123390758527571,0.0723242336503404,"cv_r2",-0.00165133108189864,0.0196078431372549,TRUE,NA,NA,"linear","LIG25_REC25;LIG29_REC29;LIG14_REC14"
"TF06","synthetic_pilot","rf",216,40,0.10202530057978,0.0249966708737189,-0.0249837627035563,"oob_r2",-0.0568589264832785,0.0196078431372549,TRUE,0.532461955388785,0.551058201058201,"linear","LIG40_REC40;LIG08_REC08;LIG27_REC27"
"TF06","synthetic_pilot","lm",216,40,NA,0.160866219489537,0.0823403855929947,"cv_r2",-0.290191286412736,0.0196078431372549,TRUE,NA,NA,"linear","LIG40_REC40;LIG08_REC08;LIG27_REC27"
"TF06","synthetic_pilot","ridge",216,40,NA,0.0638757837015155,0.0892836787575143,"cv_r2",-0.00440992499481871,0.0196078431372549,TRUE,NA,NA,"linear","LIG40_REC40;LIG08_REC08;LIG27_REC27"
"TF06","synthetic_pilot","spearman",216,40,NA,-0.0561178148495378,-0.150825398584627,"cv_r2",-0.0057285160196705,0.941176470588235,FALSE,NA,NA,"linear","LIG40_REC40;LIG08_REC08;LIG27_REC27"
"TF07","synthetic_pilot","rf",216,40,0.217573848190602,0.254559161622282,0.232684930970546,"oob_r2",-0.0425868565943418,0.0196078431372549,TRUE,0.540333541796957,0.706878306878307,"nonlinear","LIG30_REC30;LIG35_REC35"
"TF07","synthetic_pilot","lm",216,40,NA,0.181760466281023,-0.0399242189010791,"cv_r2",-0.313543300809421,0.0196078431372549,TRUE,NA,NA,"nonlinear","LIG30_REC30;LIG35_REC35"
"TF07","synthetic_pilot","ridge",216,40,NA,0.293675888531591,0.192118495883311,"cv_r2",-0.00229854382340114,0.0196078431372549,TRUE,NA,NA,"nonlinear","LIG30_REC30;LIG35_REC35"
"TF07","synthetic_pilot","spearman",216,40,NA,-0.208027863837188,-0.287779141641447,"cv_r2",-0.00449967080244673,1,FALSE,NA,NA,"nonlinear","LIG30_REC30;LIG35_REC35"
"TF08","synthetic_pilot","rf",216,40,0.229845319450452,0.234108505715436,0.167610786256733,"oob_r2",-0.0724195790848255,0.0196078431372549,TRUE,0.50528663748176,0.656349206349206,"nonlinear","LIG36_REC36;LIG22_REC22"
