"cluster","tf","ntree","oob_r2","imp_stability_spearman","imp_top5_jaccard"
"pDC","JUNB",100,0.798905576061096,0.852104532839963,0.696296296296296
"pDC","JUNB",500,0.803303972930694,0.954057457087059,0.822222222222222
"pDC","JUNB",1000,0.805506221878115,0.966083359029705,0.844444444444444
"pDC","YY1",100,0.529761530827786,0.786429746119848,0.733333333333333
"pDC","YY1",500,0.540947572087202,0.925151608592867,0.785185185185185
"pDC","YY1",1000,0.541277270333344,0.963511152225306,0.8
"pDC","GATA3",100,0.729944864968831,0.886087984376606,0.711111111111111
"pDC","GATA3",500,0.762096010168469,0.956002672422654,1
"pDC","GATA3",1000,0.764741829728002,0.971800801726796,1
"pDC","CEBPZ",100,0.647989127361934,0.81618100524206,0.670899470899471
"pDC","CEBPZ",500,0.649916616891733,0.949835543221297,1
"pDC","CEBPZ",1000,0.649693055191687,0.969616610134649,0.933333333333333
"pDC","IRF8",100,0.746948408584807,0.829072874910063,0.740740740740741
"pDC","IRF8",500,0.75187127991468,0.931036077705828,0.82962962962963
"pDC","IRF8",1000,0.750165632829521,0.961946243190462,0.844444444444444
"pDC","ZBTB16",100,0.549470535260666,0.819267139479905,0.82962962962963
"pDC","ZBTB16",500,0.564648243349032,0.950493370336109,0.844444444444444
"pDC","ZBTB16",1000,0.56725880605586,0.972571692876966,0.822222222222222
"pDC","ZFHX3",100,0.708841933014148,0.864104738410936,0.673015873015873
"pDC","ZFHX3",500,0.721071113738735,0.95748278343098,0.8
"pDC","ZFHX3",1000,0.722648029519924,0.972903176071539,0.755555555555556
"pDC","ZBTB18",100,0.696752379589711,0.77981806968856,0.822222222222222
"pDC","ZBTB18",500,0.713168376889807,0.932449378147805,0.822222222222222
"pDC","ZBTB18",1000,0.715433106430645,0.960337650323774,0.933333333333333
"pDC","MYBL2",100,0.724371862495509,0.856167129201357,0.650793650793651
"pDC","MYBL2",500,0.73572882620772,0.957089628944393,0.82962962962963
"pDC","MYBL2",1000,0.734909399991948,0.975881385548361,0.881481481481481
"pDC","BCL11B",100,0.638061982910741,0.793635008736766,0.762962962962963
"pDC","BCL11B",500,0.63923733547265,0.90309127351218,0.881481481481481
"pDC","BCL11B",1000,0.641386762559428,0.942607153869874,0.881481481481481
"pDC","SP100",100,0.693190838490117,0.757572720731833,0.733333333333333
"pDC","SP100",500,0.70672013593399,0.928348237228903,0.8
"pDC","SP100",1000,0.706700975883717,0.957272073183267,0.933333333333333
"pDC","TCF4",100,0.729492658697587,0.79395621338267,0.762962962962963
"pDC","TCF4",500,0.739183770147324,0.923902764929592,0.844444444444444
"pDC","TCF4",1000,0.737705073464558,0.949429540548875,0.844444444444444
"pDC","MYEF2",100,0.685597814249147,0.77804502004317,0.822222222222222
"pDC","MYEF2",500,0.696266491839796,0.922414945009765,0.844444444444444
"pDC","MYEF2",1000,0.700487550966017,0.961481138863193,0.844444444444444
"pDC","CREB5",100,0.691143260554185,0.849301058690513,0.785185185185185
"pDC","CREB5",500,0.710605110675197,0.955838215643951,0.82962962962963
"pDC","CREB5",1000,0.71242589804784,0.97607667797307,0.881481481481482
"pDC","NFE2L2",100,0.79977000056496,0.832169287696577,0.819047619047619
"pDC","NFE2L2",500,0.814060012303815,0.95057559872546,0.933333333333333
"pDC","NFE2L2",1000,0.815487857923105,0.975023126734505,1
"pDC","IKZF1",100,0.787086090351498,0.833474663377531,0.726984126984127
"pDC","IKZF1",500,0.795842010514063,0.95766779730702,0.822222222222222
"pDC","IKZF1",1000,0.803318930217963,0.97291088498304,0.881481481481481
"pDC","CUX2",100,0.650359312678845,0.797232500770891,0.71957671957672
"pDC","CUX2",500,0.663810794651027,0.933793298386268,1
"pDC","CUX2",1000,0.667620157530222,0.953363655051907,1
"pDC","MYB",100,0.705131776201845,0.773250077089115,0.874074074074074
"pDC","MYB",500,0.718528811588809,0.928096412786515,1
"pDC","MYB",1000,0.722178042585645,0.962601500668106,1
"pDC","SMARCA5",100,0.58191922854996,0.830434782608696,0.757671957671958
"pDC","SMARCA5",500,0.59692098005304,0.951796176379895,0.933333333333333
"pDC","SMARCA5",1000,0.602654561813937,0.975015417823003,1
"pDC","HIVEP2",100,0.766811922785612,0.842424709631,0.702645502645503
"pDC","HIVEP2",500,0.786344825331533,0.953779936272998,0.822222222222222
"pDC","HIVEP2",1000,0.785767961704095,0.974077500256964,0.814814814814815
"pDC","CREB3",100,0.750214014733923,0.86775876246274,0.785185185185185
"pDC","CREB3",500,0.765165121130934,0.961239592969473,0.933333333333333
"pDC","CREB3",1000,0.766438645480148,0.976757631822387,1
"pDC","IRF7",100,0.788364526446577,0.891476513516292,0.706878306878307
"pDC","IRF7",500,0.788308793091158,0.950357179566245,0.8
"pDC","IRF7",1000,0.78896298868001,0.971654332408264,0.881481481481481
"pDC","FOXP1",100,0.715103283538508,0.807798848802549,0.643386243386243
"pDC","FOXP1",500,0.737408559507178,0.913942851269401,0.625396825396825
"pDC","FOXP1",1000,0.740578900967711,0.94510741083359,0.717460317460317
"pDC","NFE2",100,0.810054502177457,0.88655822797821,0.711111111111111
"pDC","NFE2",500,0.818104395979498,0.956449789289752,0.933333333333333
"pDC","NFE2",1000,0.816718700713576,0.976110083256244,1
"pDC","HOXB4",100,0.609280272294048,0.776582896495015,0.711111111111111
