"cluster","tf","method","n_obs","n_pred","oob_r2","cv_r2","lodo_r2","null_metric","null_q95","p_perm","beats_null","imp_stability_spearman","imp_top5_jaccard"
"B_naive","CEBPZ","rf",314,50,0.755560180850226,0.750589665904777,0.556747012891475,"oob_r2",-0.0112446224280077,0.0196078431372549,TRUE,0.86615873015873,0.652116402116402
"B_naive","CEBPZ","lm",314,50,NA,0.646121513016796,0.415661397914393,"cv_r2",-0.163030444443625,0.0196078431372549,TRUE,NA,NA
"B_naive","CEBPZ","ridge",314,50,NA,0.698486692967201,0.465880093986972,"cv_r2",0.012525847484927,0.0196078431372549,TRUE,NA,NA
"B_naive","CEBPZ","spearman",314,50,NA,0.447437425799666,0.113562268696843,"cv_r2",0.0061674981778366,0.0196078431372549,TRUE,NA,NA
"B_naive","JUN","rf",314,50,0.538277129864893,0.551866457710436,0.107840181789442,"oob_r2",-0.0283759548729344,0.0196078431372549,TRUE,0.868581032412965,0.933333333333333
"B_naive","JUN","lm",314,50,NA,0.515298865938116,0.320374643347914,"cv_r2",-0.188030848557503,0.0196078431372549,TRUE,NA,NA
"B_naive","JUN","ridge",314,50,NA,0.547886184286451,0.311650482450777,"cv_r2",0.00134086808170241,0.0196078431372549,TRUE,NA,NA
"B_naive","JUN","spearman",314,50,NA,0.286903696331286,0.104203109726611,"cv_r2",-0.00119938640746285,0.0196078431372549,TRUE,NA,NA
"B_naive","FOSB","rf",314,50,0.542193125397663,0.537624422372247,0.0772768832442248,"oob_r2",-0.0475631325290983,0.0196078431372549,TRUE,0.873647592370281,0.8
"B_naive","FOSB","lm",314,50,NA,0.488180395512141,0.285134175295918,"cv_r2",-0.205125271492668,0.0196078431372549,TRUE,NA,NA
"B_naive","FOSB","ridge",314,50,NA,0.542746562364482,0.329633327426071,"cv_r2",0.00266245816435926,0.0196078431372549,TRUE,NA,NA
"B_naive","FOSB","spearman",314,50,NA,0.28593371489145,0.0539417704330744,"cv_r2",0.0123998355522136,0.0196078431372549,TRUE,NA,NA
"B_naive","HMGN3","rf",314,50,0.73613282955364,0.681482019806169,0.325628840412193,"oob_r2",-0.0463450782327861,0.0196078431372549,TRUE,0.869372815792984,0.596825396825397
"B_naive","HMGN3","lm",314,50,NA,0.577872464627203,0.210076043030322,"cv_r2",-0.203718468324938,0.0196078431372549,TRUE,NA,NA
"B_naive","HMGN3","ridge",314,50,NA,0.643947375301094,0.336350817485234,"cv_r2",-0.00204705369947018,0.0196078431372549,TRUE,NA,NA
"B_naive","HMGN3","spearman",314,50,NA,0.332022375321988,0.153572404028361,"cv_r2",0.0170224016470366,0.0196078431372549,TRUE,NA,NA
"B_naive","HES1","rf",314,50,0.604587851758633,0.573668905736963,0.310667390965054,"oob_r2",-0.0477466833758125,0.0196078431372549,TRUE,0.86807096171802,0.785185185185185
"B_naive","HES1","lm",314,50,NA,0.46219657660598,0.278393223241176,"cv_r2",-0.20688277196881,0.0196078431372549,TRUE,NA,NA
"B_naive","HES1","ridge",314,50,NA,0.516982849414858,0.37291683442816,"cv_r2",-0.00203560745119431,0.0196078431372549,TRUE,NA,NA
"B_naive","HES1","spearman",314,50,NA,0.301618905317854,0.0745796218537149,"cv_r2",0.00768162440443582,0.0196078431372549,TRUE,NA,NA
"B_naive","JUNB","rf",314,50,0.543738402381442,0.54013961750233,0.11319124259876,"oob_r2",-0.0492461899744385,0.0196078431372549,TRUE,0.829800720288115,0.792592592592593
"B_naive","JUNB","lm",314,50,NA,0.503073637560528,0.267729460387801,"cv_r2",-0.225328879437421,0.0196078431372549,TRUE,NA,NA
"B_naive","JUNB","ridge",314,50,NA,0.537343845648056,0.325951000058781,"cv_r2",-0.000354345765703034,0.0196078431372549,TRUE,NA,NA
"B_naive","JUNB","spearman",314,50,NA,0.317768242952985,-0.00949479288184651,"cv_r2",0.000221488203958839,0.0196078431372549,TRUE,NA,NA
"B_naive","MBD2","rf",314,50,0.664150268406863,0.661403421260829,0.486335609716707,"oob_r2",-0.0704154361430187,0.0196078431372549,TRUE,0.84356195811658,1
"B_naive","MBD2","lm",314,50,NA,0.476083291874786,0.395470892656253,"cv_r2",-0.183808327310083,0.0196078431372549,TRUE,NA,NA
"B_naive","MBD2","ridge",314,50,NA,0.573707985936332,0.478427596456318,"cv_r2",-0.00214068431606973,0.0196078431372549,TRUE,NA,NA
"B_naive","MBD2","spearman",314,50,NA,0.49190161172322,0.452605482548559,"cv_r2",0.0119180481996343,0.0196078431372549,TRUE,NA,NA
"B_naive","NR4A2","rf",314,50,0.705282184471605,0.708721570583517,0.531228703901228,"oob_r2",-0.040000581568317,0.0196078431372549,TRUE,0.886732292917167,0.82962962962963
