"cluster","tf","method","n_obs","n_pred","oob_r2","cv_r2","lodo_r2","null_metric","null_q95","p_perm","beats_null","imp_stability_spearman","imp_top5_jaccard","dataset"
"NK","ELF1","rf",504,68,0.755976991900023,0.754814517981051,NA,"oob_r2",-0.034900224434017,0.0196078431372549,TRUE,0.860442035347559,0.874074074074074,"5yr_pic"
"NK","ELF1","lm",504,68,NA,0.758628942308735,NA,"cv_r2",NA,NA,NA,NA,NA,"5yr_pic"
"NK","ELF1","ridge",504,68,NA,0.771035347687551,NA,"cv_r2",NA,NA,NA,NA,NA,"5yr_pic"
"NK","ELF1","spearman",504,68,NA,0.507641410893626,NA,"cv_r2",NA,NA,NA,NA,NA,"5yr_pic"
"NK","SMAD1","rf",504,68,0.821922815207702,0.81797409999446,NA,"oob_r2",-0.0321665306273827,0.0196078431372549,TRUE,0.850608000067862,1,"5yr_pic"
"NK","SMAD1","lm",504,68,NA,0.824344351180639,NA,"cv_r2",NA,NA,NA,NA,NA,"5yr_pic"
"NK","SMAD1","ridge",504,68,NA,0.825288492834294,NA,"cv_r2",NA,NA,NA,NA,NA,"5yr_pic"
"NK","SMAD1","spearman",504,68,NA,0.578364515385324,NA,"cv_r2",NA,NA,NA,NA,NA,"5yr_pic"
"NK","EGR2","rf",504,68,0.851212765667631,0.845289247950833,NA,"oob_r2",-0.0353841403749655,0.0196078431372549,TRUE,0.85293905578671,0.933333333333333,"5yr_pic"
"NK","EGR2","lm",504,68,NA,0.845048517144404,NA,"cv_r2",NA,NA,NA,NA,NA,"5yr_pic"
"NK","EGR2","ridge",504,68,NA,0.853892355794948,NA,"cv_r2",NA,NA,NA,NA,NA,"5yr_pic"
"NK","EGR2","spearman",504,68,NA,0.538856328441794,NA,"cv_r2",NA,NA,NA,NA,NA,"5yr_pic"
"NK","RUNX3","rf",504,68,0.8596656980517,0.84997232897346,NA,"oob_r2",-0.0344283807911699,0.0196078431372549,TRUE,0.884765431156239,0.844444444444444,"5yr_pic"
"NK","RUNX3","lm",504,68,NA,0.843665075431803,NA,"cv_r2",NA,NA,NA,NA,NA,"5yr_pic"
"NK","RUNX3","ridge",504,68,NA,0.85261918394669,NA,"cv_r2",NA,NA,NA,NA,NA,"5yr_pic"
