"cluster","tf","method","n_obs","n_pred","oob_r2","cv_r2","lodo_r2","null_metric","null_q95","p_perm","beats_null","imp_stability_spearman","imp_top5_jaccard","dataset"
"B_intermediate","MYC","rf",214,29,0.765175728487169,0.765102367096566,NA,"oob_r2",-0.0394983349449119,0.0196078431372549,TRUE,0.912019704433497,0.933333333333333,"MilCOVID_Azimuthl2"
"B_intermediate","MYC","lm",214,29,NA,0.648972376050798,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","MYC","ridge",214,29,NA,0.666667274630635,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","MYC","spearman",214,29,NA,0.230262358834501,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","MEF2C","rf",214,29,0.882471230014164,0.878489662009808,NA,"oob_r2",-0.0338265450075686,0.0196078431372549,TRUE,0.938927203065134,0.933333333333333,"MilCOVID_Azimuthl2"
"B_intermediate","MEF2C","lm",214,29,NA,0.856264014049168,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","MEF2C","ridge",214,29,NA,0.854418636106025,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","MEF2C","spearman",214,29,NA,0.612150291711183,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","REL","rf",214,29,0.75783301688573,0.729716468490691,NA,"oob_r2",-0.0434170292052418,0.0196078431372549,TRUE,0.898686371100164,0.717460317460317,"MilCOVID_Azimuthl2"
"B_intermediate","REL","lm",214,29,NA,0.647000241993289,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","REL","ridge",214,29,NA,0.667775805725121,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","REL","spearman",214,29,NA,0.279145400740625,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","IRF4","rf",214,29,0.676300713019097,0.658847449848951,NA,"oob_r2",-0.0308327472424292,0.0196078431372549,TRUE,0.906611932129173,0.774603174603175,"MilCOVID_Azimuthl2"
"B_intermediate","IRF4","lm",214,29,NA,0.562938910364048,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","IRF4","ridge",214,29,NA,0.59887751747335,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","IRF4","spearman",214,29,NA,0.485375186781626,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","PURA","rf",214,29,0.821754584909867,0.813672657544564,NA,"oob_r2",-0.0493316430968665,0.0196078431372549,TRUE,0.915938697318007,0.742857142857143,"MilCOVID_Azimuthl2"
"B_intermediate","PURA","lm",214,29,NA,0.723997782703461,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","PURA","ridge",214,29,NA,0.747967503194133,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","PURA","spearman",214,29,NA,0.54559686272755,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","FOSB","rf",214,29,0.735509635764041,0.736432829624175,NA,"oob_r2",-0.0237267964627744,0.0196078431372549,TRUE,0.907268746579091,0.632804232804233,"MilCOVID_Azimuthl2"
"B_intermediate","FOSB","lm",214,29,NA,0.61188412146114,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","FOSB","ridge",214,29,NA,0.641700742632582,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","FOSB","spearman",214,29,NA,0.483312808917516,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","KLF9","rf",214,29,0.698819678426666,0.709314782932776,NA,"oob_r2",-0.0200886199573129,0.0196078431372549,TRUE,0.817657361795293,1,"MilCOVID_Azimuthl2"
"B_intermediate","KLF9","lm",214,29,NA,0.614566932474558,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","KLF9","ridge",214,29,NA,0.637379430238556,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","KLF9","spearman",214,29,NA,0.44693978068263,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","POU2F2","rf",214,29,0.810765316582591,0.82034132567157,NA,"oob_r2",-0.0530844286508691,0.0196078431372549,TRUE,0.884192665571976,0.73015873015873,"MilCOVID_Azimuthl2"
"B_intermediate","POU2F2","lm",214,29,NA,0.736571304359278,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","POU2F2","ridge",214,29,NA,0.763119103608045,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","POU2F2","spearman",214,29,NA,0.537728551664716,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","MEF2A","rf",214,29,0.777730611043846,0.751294248140687,NA,"oob_r2",-0.0272971706121872,0.0196078431372549,TRUE,0.88999452654625,1,"MilCOVID_Azimuthl2"
"B_intermediate","MEF2A","lm",214,29,NA,0.696404357512724,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","MEF2A","ridge",214,29,NA,0.707457461210854,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","MEF2A","spearman",214,29,NA,0.39437497384567,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","NR4A2","rf",214,29,0.755057393985606,0.70787047869965,NA,"oob_r2",-0.0497087381467578,0.0196078431372549,TRUE,0.92103995621237,0.933333333333333,"MilCOVID_Azimuthl2"
"B_intermediate","NR4A2","lm",214,29,NA,0.630557803059318,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","NR4A2","ridge",214,29,NA,0.672927724791029,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","NR4A2","spearman",214,29,NA,0.395238912201401,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","STAT2","rf",214,29,0.726953211797123,0.72376947159273,NA,"oob_r2",-0.0368748797014959,0.0196078431372549,TRUE,0.872610837438423,0.725925925925926,"MilCOVID_Azimuthl2"
"B_intermediate","STAT2","lm",214,29,NA,0.595120253280883,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","STAT2","ridge",214,29,NA,0.610641471806075,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","STAT2","spearman",214,29,NA,0.462265769721901,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","KLF6","rf",214,29,0.809992470978945,0.788040592084222,NA,"oob_r2",-0.0397581247033065,0.0196078431372549,TRUE,0.887203065134099,0.933333333333333,"MilCOVID_Azimuthl2"
"B_intermediate","KLF6","lm",214,29,NA,0.713864411930243,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","KLF6","ridge",214,29,NA,0.738197223484978,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","KLF6","spearman",214,29,NA,0.546226759802586,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","ZEB1","rf",214,29,0.734992764450186,0.726774666729812,NA,"oob_r2",-0.0360467664590136,0.0196078431372549,TRUE,0.91823754789272,0.681481481481481,"MilCOVID_Azimuthl2"
"B_intermediate","ZEB1","lm",214,29,NA,0.515367681941262,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","ZEB1","ridge",214,29,NA,0.536702617496406,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","ZEB1","spearman",214,29,NA,0.173063551108607,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","EGR2","rf",214,29,0.61907104033551,0.620061815805612,NA,"oob_r2",-0.0388798766200437,0.0196078431372549,TRUE,0.910727969348659,0.819047619047619,"MilCOVID_Azimuthl2"
"B_intermediate","EGR2","lm",214,29,NA,0.378029665512252,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","EGR2","ridge",214,29,NA,0.410989665577859,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","EGR2","spearman",214,29,NA,0.23644257112348,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","MLXIPL","rf",214,29,0.680505342922033,0.640495622706126,NA,"oob_r2",-0.0361177187210163,0.0196078431372549,TRUE,0.912950191570881,0.77989417989418,"MilCOVID_Azimuthl2"
"B_intermediate","MLXIPL","lm",214,29,NA,0.587802614400963,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","MLXIPL","ridge",214,29,NA,0.596146864167624,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","MLXIPL","spearman",214,29,NA,0.298671267585073,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","BCLAF1","rf",214,29,0.476411424523289,0.48491372538661,NA,"oob_r2",-0.0217412120455227,0.0196078431372549,TRUE,0.894263820470717,0.553968253968254,"MilCOVID_Azimuthl2"
"B_intermediate","BCLAF1","lm",214,29,NA,0.381316697077405,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","BCLAF1","ridge",214,29,NA,0.408187999886067,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","BCLAF1","spearman",214,29,NA,0.288443029080076,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","CEBPZ","rf",214,29,0.746770043867749,0.729869497268417,NA,"oob_r2",-0.064442027932023,0.0196078431372549,TRUE,0.866765188834154,0.774603174603175,"MilCOVID_Azimuthl2"
"B_intermediate","CEBPZ","lm",214,29,NA,0.729725815935943,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","CEBPZ","ridge",214,29,NA,0.73906107004449,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","CEBPZ","spearman",214,29,NA,0.420780471077515,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","CHD2","rf",214,29,0.561961809154408,0.544226761209029,NA,"oob_r2",-0.0224582305214407,0.0196078431372549,TRUE,0.895008210180624,0.647619047619048,"MilCOVID_Azimuthl2"
"B_intermediate","CHD2","lm",214,29,NA,0.454739313192438,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","CHD2","ridge",214,29,NA,0.49277939179223,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","CHD2","spearman",214,29,NA,0.067707479757082,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
"B_intermediate","HOXA5","rf",214,29,0.78293722940821,0.77840135813901,NA,"oob_r2",-0.0464590969404651,0.0196078431372549,TRUE,0.904269293924466,0.785185185185185,"MilCOVID_Azimuthl2"
"B_intermediate","HOXA5","lm",214,29,NA,0.709834061852571,NA,"cv_r2",NA,NA,NA,NA,NA,"MilCOVID_Azimuthl2"
