"cluster","tf","method","n_obs","n_pred","oob_r2","cv_r2","lodo_r2","null_metric","null_q95","p_perm","beats_null","imp_stability_spearman","imp_top5_jaccard","dataset"
"basal_cell","SP7","rf",458,162,0.821850153852482,0.816214658682075,NA,"oob_r2",-0.0603326085661693,0.0196078431372549,TRUE,0.771753942407415,0.737566137566138,"cz_cf_bronchial_biopsy"
"basal_cell","SP7","lm",458,162,NA,0.647295349144769,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","SP7","ridge",458,162,NA,0.777136655810339,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","SP7","spearman",458,162,NA,0.436946233192993,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","ETS2","rf",458,162,0.786751133499747,0.78073858596674,NA,"oob_r2",-0.0691991198604801,0.0196078431372549,TRUE,0.792037431237209,0.762962962962963,"cz_cf_bronchial_biopsy"
"basal_cell","ETS2","lm",458,162,NA,0.640484455124601,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","ETS2","ridge",458,162,NA,0.76246259126085,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","ETS2","spearman",458,162,NA,0.367916807929623,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","FOXD4","rf",458,162,0.824351545643089,0.819871829253438,NA,"oob_r2",-0.0707504006058292,0.0196078431372549,TRUE,0.797203772959932,0.82962962962963,"cz_cf_bronchial_biopsy"
"basal_cell","FOXD4","lm",458,162,NA,0.745175101223958,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","FOXD4","ridge",458,162,NA,0.816730290084926,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","FOXD4","spearman",458,162,NA,0.485686485029708,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","NANOG","rf",458,162,0.793058172309968,0.794575895220258,NA,"oob_r2",-0.0696256139889811,0.0196078431372549,TRUE,0.788320790734273,0.694179894179894,"cz_cf_bronchial_biopsy"
"basal_cell","NANOG","lm",458,162,NA,0.570464852137221,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","NANOG","ridge",458,162,NA,0.791534073642427,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","NANOG","spearman",458,162,NA,0.461036410974336,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","MYC","rf",458,162,0.797074308561484,0.798413507464853,NA,"oob_r2",-0.0603874905327383,0.0196078431372549,TRUE,0.785491757521097,0.740740740740741,"cz_cf_bronchial_biopsy"
"basal_cell","MYC","lm",458,162,NA,0.672794702987716,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","MYC","ridge",458,162,NA,0.798700752494808,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","MYC","spearman",458,162,NA,0.44678419942308,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","HNF4A","rf",458,162,0.798768907599221,0.793858046199219,NA,"oob_r2",-0.0794197252533815,0.0196078431372549,TRUE,0.745559748430994,0.676190476190476,"cz_cf_bronchial_biopsy"
"basal_cell","HNF4A","lm",458,162,NA,0.665257421583808,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","HNF4A","ridge",458,162,NA,0.788641798906181,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","HNF4A","spearman",458,162,NA,0.332426305504611,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","KLF5","rf",458,162,0.759386588346057,0.748871153545443,NA,"oob_r2",-0.0700515364289023,0.0196078431372549,TRUE,0.754878910292206,1,"cz_cf_bronchial_biopsy"
"basal_cell","KLF5","lm",458,162,NA,0.43943508373746,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","KLF5","ridge",458,162,NA,0.707068006002207,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","KLF5","spearman",458,162,NA,0.487841817088223,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","EHF","rf",458,162,0.79220643057442,0.792083467091216,NA,"oob_r2",-0.0514564285315984,0.0196078431372549,TRUE,0.81743775216405,0.755555555555556,"cz_cf_bronchial_biopsy"
"basal_cell","EHF","lm",458,162,NA,0.689428302294998,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","EHF","ridge",458,162,NA,0.802603414650138,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","EHF","spearman",458,162,NA,0.437251942785269,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","BCL11A","rf",458,162,0.786574509012338,0.793785891225471,NA,"oob_r2",-0.0519880128097341,0.0196078431372549,TRUE,0.819408381525687,0.774603174603175,"cz_cf_bronchial_biopsy"
"basal_cell","BCL11A","lm",458,162,NA,0.665956589072597,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
"basal_cell","BCL11A","ridge",458,162,NA,0.822656785233759,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_cf_bronchial_biopsy"
