"cluster","tf","method","n_obs","n_pred","oob_r2","cv_r2","lodo_r2","null_metric","null_q95","p_perm","beats_null","imp_stability_spearman","imp_top5_jaccard","dataset"
"mast_cell","MYC","rf",208,13,0.496394221404412,0.503024794173825,NA,"oob_r2",-0.0346129617394433,0.0196078431372549,TRUE,0.949084249084249,0.822222222222222,"cz_hnscc_hpv"
"mast_cell","MYC","lm",208,13,NA,0.322678603226558,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","MYC","ridge",208,13,NA,0.347438208845552,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","MYC","spearman",208,13,NA,0.192793723038888,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","KLF4","rf",208,13,0.490291374272965,0.473256955199438,NA,"oob_r2",-0.0500852116040771,0.0196078431372549,TRUE,0.946764346764347,0.844444444444444,"cz_hnscc_hpv"
"mast_cell","KLF4","lm",208,13,NA,0.316812373914222,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","KLF4","ridge",208,13,NA,0.318613899027066,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","KLF4","spearman",208,13,NA,0.109112696342999,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","THRA","rf",208,13,0.4959298376916,0.452480668447034,NA,"oob_r2",-0.041102320836889,0.0196078431372549,TRUE,0.948840048840049,0.714285714285714,"cz_hnscc_hpv"
"mast_cell","THRA","lm",208,13,NA,0.313191316244452,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","THRA","ridge",208,13,NA,0.309277984930134,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","THRA","spearman",208,13,NA,0.0270004167948531,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","ESR2","rf",208,13,0.526852249625635,0.517022513939574,NA,"oob_r2",-0.0713926374052644,0.0196078431372549,TRUE,0.943956043956044,1,"cz_hnscc_hpv"
"mast_cell","ESR2","lm",208,13,NA,0.261517133541025,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","ESR2","ridge",208,13,NA,0.269348320159336,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","ESR2","spearman",208,13,NA,0.15898437419863,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","CREB5","rf",208,13,0.545684964764453,0.501302595023649,NA,"oob_r2",-0.0655883384219984,0.0196078431372549,TRUE,0.898168498168498,0.881481481481481,"cz_hnscc_hpv"
"mast_cell","CREB5","lm",208,13,NA,0.262653403817417,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","CREB5","ridge",208,13,NA,0.25799182555211,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","CREB5","spearman",208,13,NA,0.137630545899614,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","ELF3","rf",208,13,0.4587449827899,0.433113656965354,NA,"oob_r2",-0.0463040409014814,0.0196078431372549,TRUE,0.952991452991453,0.933333333333333,"cz_hnscc_hpv"
"mast_cell","ELF3","lm",208,13,NA,0.366852592165494,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","ELF3","ridge",208,13,NA,0.386943597224515,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
"mast_cell","ELF3","spearman",208,13,NA,0.18329107830114,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hnscc_hpv"
