"cluster","tf","method","n_obs","n_pred","oob_r2","cv_r2","lodo_r2","null_metric","null_q95","p_perm","beats_null","imp_stability_spearman","imp_top5_jaccard","dataset"
"PP_cell","NEUROD1","rf",276,36,0.522506587966599,0.431610694570069,NA,"oob_r2",-0.0813728531345241,0.0196078431372549,TRUE,0.855438295438296,0.82962962962963,"cz_hpap_t1d_islets"
"PP_cell","NEUROD1","lm",276,36,NA,0.251619765633488,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","NEUROD1","ridge",276,36,NA,0.318898466124071,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","NEUROD1","spearman",276,36,NA,0.104385711733524,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","EGR1","rf",276,36,0.551878398298666,0.426792654053116,NA,"oob_r2",-0.088054423266169,0.0196078431372549,TRUE,0.89956813956814,0.933333333333333,"cz_hpap_t1d_islets"
"PP_cell","EGR1","lm",276,36,NA,0.262233846750675,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","EGR1","ridge",276,36,NA,0.324593836882002,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","EGR1","spearman",276,36,NA,0.165276382677696,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","PKNOX1","rf",276,36,0.465948664228481,0.381707003908254,NA,"oob_r2",-0.0867389711528762,0.0196078431372549,TRUE,0.829069069069069,0.755555555555556,"cz_hpap_t1d_islets"
"PP_cell","PKNOX1","lm",276,36,NA,0.142092037568033,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","PKNOX1","ridge",276,36,NA,0.25310986767149,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","PKNOX1","spearman",276,36,NA,0.103384136323147,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","SMAD2","rf",276,36,0.486658103170113,0.431553934451155,NA,"oob_r2",-0.0660040498830354,0.0196078431372549,TRUE,0.878821678821679,0.814814814814815,"cz_hpap_t1d_islets"
"PP_cell","SMAD2","lm",276,36,NA,0.178350897876953,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","SMAD2","ridge",276,36,NA,0.266255943794692,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","SMAD2","spearman",276,36,NA,0.141083461743787,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","DDIT3","rf",276,36,0.448254712472839,0.414800708142677,NA,"oob_r2",-0.0796568252938094,0.0196078431372549,TRUE,0.888488488488489,0.708994708994709,"cz_hpap_t1d_islets"
"PP_cell","DDIT3","lm",276,36,NA,0.283647654053025,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
"PP_cell","DDIT3","ridge",276,36,NA,0.383242616186561,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_hpap_t1d_islets"
