"cluster","tf","method","n_obs","n_pred","oob_r2","cv_r2","lodo_r2","null_metric","null_q95","p_perm","beats_null","imp_stability_spearman","imp_top5_jaccard","dataset"
"blood_cell","SIN3A","rf",216,48,0.818567585858699,0.799903742210844,NA,"oob_r2",-0.0503219108533395,0.0196078431372549,TRUE,0.923532107878612,1,"cz_influenza"
"blood_cell","SIN3A","lm",216,48,NA,0.749319943343917,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","SIN3A","ridge",216,48,NA,0.794694991916891,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","SIN3A","spearman",216,48,NA,0.138003012084679,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","MXI1","rf",216,48,0.822926381370047,0.808093703877959,NA,"oob_r2",-0.0776934225015775,0.0196078431372549,TRUE,0.899958990688474,0.77989417989418,"cz_influenza"
"blood_cell","MXI1","lm",216,48,NA,0.818463587918604,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","MXI1","ridge",216,48,NA,0.847463468896193,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","MXI1","spearman",216,48,NA,0.156782848001339,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","ELF2","rf",216,48,0.763399031052588,0.74770739921028,NA,"oob_r2",-0.0554896039137161,0.0196078431372549,TRUE,0.899230472330776,0.598148148148148,"cz_influenza"
"blood_cell","ELF2","lm",216,48,NA,0.752464429096741,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","ELF2","ridge",216,48,NA,0.776229286567877,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","ELF2","spearman",216,48,NA,0.0981824301494527,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","FOS","rf",216,48,0.844321832422637,0.822278568916879,NA,"oob_r2",-0.0788565503020342,0.0196078431372549,TRUE,0.899133979833068,0.755555555555556,"cz_influenza"
"blood_cell","FOS","lm",216,48,NA,0.696252942339919,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","FOS","ridge",216,48,NA,0.761791609518774,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","FOS","spearman",216,48,NA,0.503995468716725,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","E2F2","rf",216,48,0.770092878703123,0.725309266660775,NA,"oob_r2",-0.0490630681471759,0.0196078431372549,TRUE,0.814676508901433,0.529365079365079,"cz_influenza"
"blood_cell","E2F2","lm",216,48,NA,0.767152555211226,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","E2F2","ridge",216,48,NA,0.802149138655585,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","E2F2","spearman",216,48,NA,0.0838636819591861,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","ENO1","rf",216,48,0.730608376801604,0.700350353358807,NA,"oob_r2",-0.0528736806816356,0.0196078431372549,TRUE,0.919631398658754,0.933333333333333,"cz_influenza"
"blood_cell","ENO1","lm",216,48,NA,0.526906874356321,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","ENO1","ridge",216,48,NA,0.611642730040856,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","ENO1","spearman",216,48,NA,0.192633546597374,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","JUNB","rf",216,48,0.82946996357865,0.801011000848088,NA,"oob_r2",-0.056779293665395,0.0196078431372549,TRUE,0.914999758768756,0.844444444444444,"cz_influenza"
"blood_cell","JUNB","lm",216,48,NA,0.766012697622934,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","JUNB","ridge",216,48,NA,0.804193728133179,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","JUNB","spearman",216,48,NA,0.231737810419686,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","ZNF524","rf",216,48,0.565224925046623,0.308085199418003,NA,"oob_r2",-0.0411050961926849,0.0196078431372549,TRUE,0.842758238046992,1,"cz_influenza"
"blood_cell","ZNF524","lm",216,48,NA,-0.0936076810704791,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","ZNF524","ridge",216,48,NA,0.21136295277479,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","ZNF524","spearman",216,48,NA,-0.026094833261108,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","SMAD3","rf",216,48,0.777541010517311,0.757415477354607,NA,"oob_r2",-0.0615248143978268,0.0196078431372549,TRUE,0.931613354561683,0.697354497354497,"cz_influenza"
"blood_cell","SMAD3","lm",216,48,NA,0.693731033033388,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","SMAD3","ridge",216,48,NA,0.736871100264521,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","SMAD3","spearman",216,48,NA,0.174575731822825,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
"blood_cell","ID3","rf",216,48,0.684575744494034,0.70559240632399,NA,"oob_r2",-0.0306016211784839,0.0196078431372549,TRUE,0.900887730978916,1,"cz_influenza"
"blood_cell","ID3","lm",216,48,NA,0.541316012989391,NA,"cv_r2",NA,NA,NA,NA,NA,"cz_influenza"
