"cluster","tf","method","n_obs","n_pred","oob_r2","cv_r2","lodo_r2","null_metric","null_q95","p_perm","beats_null","imp_stability_spearman","imp_top5_jaccard","dataset"
"T_TS2","HLF","rf",298,14,0.272414008394606,0.262247727819065,NA,"oob_r2",-0.0212632346328622,0.0196078431372549,TRUE,0.881611721611722,0.681481481481481,"sepsis"
"T_TS2","HLF","lm",298,14,NA,0.214451500080525,NA,"cv_r2",NA,NA,NA,NA,NA,"sepsis"
"T_TS2","HLF","ridge",298,14,NA,0.202170196523717,NA,"cv_r2",NA,NA,NA,NA,NA,"sepsis"
"T_TS2","HLF","spearman",298,14,NA,0.131137381667448,NA,"cv_r2",NA,NA,NA,NA,NA,"sepsis"
"T_TS2","ARID5B","rf",298,14,0.50601085477511,0.519042312330409,NA,"oob_r2",-0.0323471817539917,0.0196078431372549,TRUE,0.911404151404151,0.933333333333333,"sepsis"
"T_TS2","ARID5B","lm",298,14,NA,0.538820757880434,NA,"cv_r2",NA,NA,NA,NA,NA,"sepsis"
"T_TS2","ARID5B","ridge",298,14,NA,0.527653664401075,NA,"cv_r2",NA,NA,NA,NA,NA,"sepsis"
"T_TS2","ARID5B","spearman",298,14,NA,0.216961937915008,NA,"cv_r2",NA,NA,NA,NA,NA,"sepsis"
"T_TS2","CEBPD","rf",298,14,0.25527970445193,0.197882501531298,NA,"oob_r2",-0.0334428968256493,0.0196078431372549,TRUE,0.830720390720391,0.624338624338624,"sepsis"
"T_TS2","CEBPD","lm",298,14,NA,0.104633689075033,NA,"cv_r2",NA,NA,NA,NA,NA,"sepsis"
"T_TS2","CEBPD","ridge",298,14,NA,0.0952545779814526,NA,"cv_r2",NA,NA,NA,NA,NA,"sepsis"
"T_TS2","CEBPD","spearman",298,14,NA,-0.0130889669513035,NA,"cv_r2",NA,NA,NA,NA,NA,"sepsis"
"T_TS2","HES2","rf",298,14,0.510433038684443,0.507803547455575,NA,"oob_r2",-0.0206074970309591,0.0196078431372549,TRUE,0.923711843711844,1,"sepsis"
"T_TS2","HES2","lm",298,14,NA,0.476930615157934,NA,"cv_r2",NA,NA,NA,NA,NA,"sepsis"
"T_TS2","HES2","ridge",298,14,NA,0.464910517282646,NA,"cv_r2",NA,NA,NA,NA,NA,"sepsis"
"T_TS2","HES2","spearman",298,14,NA,0.0901784908211529,NA,"cv_r2",NA,NA,NA,NA,NA,"sepsis"
"T_TS2","MYB","rf",298,14,0.566799319584969,0.567314600375684,NA,"oob_r2",-0.0232041223770292,0.0196078431372549,TRUE,0.890989010989011,0.881481481481482,"sepsis"
"T_TS2","MYB","lm",298,14,NA,0.502192795512365,NA,"cv_r2",NA,NA,NA,NA,NA,"sepsis"
"T_TS2","MYB","ridge",298,14,NA,0.488360984831512,NA,"cv_r2",NA,NA,NA,NA,NA,"sepsis"
"T_TS2","MYB","spearman",298,14,NA,0.353877627812055,NA,"cv_r2",NA,NA,NA,NA,NA,"sepsis"
