"cluster","tf","method","n_obs","n_pred","oob_r2","cv_r2","lodo_r2","null_metric","null_q95","p_perm","beats_null","imp_stability_spearman","imp_top5_jaccard","dataset"
"Fibroblast","SPIB","rf",358,102,0.882894238957392,0.876833242086037,NA,"oob_r2",-0.0440680865122186,0.0196078431372549,TRUE,0.832302773395558,1,"tnbc"
"Fibroblast","SPIB","lm",358,102,NA,0.810102265797587,NA,"cv_r2",-0.441443402398527,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","SPIB","ridge",358,102,NA,0.857615535391309,NA,"cv_r2",-0.00115162350217325,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","SPIB","spearman",358,102,NA,0.422960220259961,NA,"cv_r2",0.00379378715529413,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","E2F2","rf",358,102,0.852818059227466,0.856036803844871,NA,"oob_r2",-0.0347827199473502,0.0196078431372549,TRUE,0.830980630901468,0.762962962962963,"tnbc"
"Fibroblast","E2F2","lm",358,102,NA,0.764644408381242,NA,"cv_r2",-0.419019811070885,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","E2F2","ridge",358,102,NA,0.826776827563039,NA,"cv_r2",-0.00295582488960607,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","E2F2","spearman",358,102,NA,0.462291299468171,NA,"cv_r2",0.000763179750026168,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","TFAP2C","rf",358,102,0.873818801936528,0.873285239144081,NA,"oob_r2",-0.0406287598459453,0.0196078431372549,TRUE,0.870861535039855,0.8,"tnbc"
"Fibroblast","TFAP2C","lm",358,102,NA,0.803651030973985,NA,"cv_r2",-0.403261009369393,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","TFAP2C","ridge",358,102,NA,0.865108274525454,NA,"cv_r2",-0.00124163902269735,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","TFAP2C","spearman",358,102,NA,0.376189385268397,NA,"cv_r2",-0.016295250609188,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","EGR3","rf",358,102,0.880971626711237,0.86906504365664,NA,"oob_r2",-0.0519299968668796,0.0196078431372549,TRUE,0.8255641440786,0.734391534391534,"tnbc"
"Fibroblast","EGR3","lm",358,102,NA,0.837468876641217,NA,"cv_r2",-0.411296001317304,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","EGR3","ridge",358,102,NA,0.865421012875851,NA,"cv_r2",-0.00170547004648195,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","EGR3","spearman",358,102,NA,0.405056685498588,NA,"cv_r2",-0.000644897079492975,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","HEY1","rf",358,102,0.849359898539671,0.845435840420999,NA,"oob_r2",-0.0419277834407879,0.0196078431372549,TRUE,0.830941175214038,0.64973544973545,"tnbc"
"Fibroblast","HEY1","lm",358,102,NA,0.737400182022344,NA,"cv_r2",-0.404701422203854,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","HEY1","ridge",358,102,NA,0.809581819711902,NA,"cv_r2",-0.00299304659076962,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","HEY1","spearman",358,102,NA,0.419826871429653,NA,"cv_r2",-0.00920642518123188,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","ZBTB16","rf",358,102,0.865325776935247,0.859036715427188,NA,"oob_r2",-0.0433531079001571,0.0196078431372549,TRUE,0.802408933069206,0.822222222222222,"tnbc"
"Fibroblast","ZBTB16","lm",358,102,NA,0.803577927012609,NA,"cv_r2",-0.424407140995962,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","ZBTB16","ridge",358,102,NA,0.850014026472583,NA,"cv_r2",0.000505109848549409,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","ZBTB16","spearman",358,102,NA,0.552961009612572,NA,"cv_r2",0.00139154597497287,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","LHX6","rf",358,102,0.847890432614691,0.82807252554646,NA,"oob_r2",-0.0485926146373411,0.0196078431372549,TRUE,0.820291657949347,0.698412698412698,"tnbc"
"Fibroblast","LHX6","lm",358,102,NA,0.765296368712641,NA,"cv_r2",-0.428538829989022,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","LHX6","ridge",358,102,NA,0.805793526372346,NA,"cv_r2",-0.002513424840183,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","LHX6","spearman",358,102,NA,0.541558560738283,NA,"cv_r2",0.00756631896132526,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","MYC","rf",358,102,0.850669435676234,0.852583195973431,NA,"oob_r2",-0.0471318987495526,0.0196078431372549,TRUE,0.804825531096799,0.724867724867725,"tnbc"
"Fibroblast","MYC","lm",358,102,NA,0.789745551295062,NA,"cv_r2",-0.44182585449758,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","MYC","ridge",358,102,NA,0.840174819634991,NA,"cv_r2",-0.00158690489990817,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","MYC","spearman",358,102,NA,0.392275766439644,NA,"cv_r2",-0.00804532479469881,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","KLF13","rf",358,102,0.847552996267059,0.828517034388277,NA,"oob_r2",-0.0331111297728181,0.0196078431372549,TRUE,0.843471748659732,0.762962962962963,"tnbc"
"Fibroblast","KLF13","lm",358,102,NA,0.767403167734779,NA,"cv_r2",-0.391059251518413,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","KLF13","ridge",358,102,NA,0.836889557564313,NA,"cv_r2",-0.00240019834135764,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","KLF13","spearman",358,102,NA,0.525929497505032,NA,"cv_r2",0.00520222556195095,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","ZNF708","rf",358,102,0.808741066065184,0.805288028231652,NA,"oob_r2",-0.0436541768749681,0.0196078431372549,TRUE,0.795562240404509,0.874074074074074,"tnbc"
"Fibroblast","ZNF708","lm",358,102,NA,0.576641207776359,NA,"cv_r2",-0.369760011744853,0.0196078431372549,TRUE,NA,NA,"tnbc"
"Fibroblast","ZNF708","ridge",358,102,NA,0.738102060798396,NA,"cv_r2",0.00273786102292729,0.0196078431372549,TRUE,NA,NA,"tnbc"
