"dataset","Decipher","RidgeRegr","SpearmanCorr","LROnly","OLSRegr","SumOverTFs","NoSpearmanSign","UnsignedMagnitude","ImpOnly"
"covid",0.862,0.752,0.858,0.831,0.753,0.86,0.84,0.831,0.835
"5yr_pic",0.583,0.582,0.616,0.644,0.618,0.583,0.55,0.61,0.61
"bcg",0.671,0.669,0.675,0.669,0.667,0.673,0.552,0.518,0.509
"cord_pic",0.6,0.6,0.608,0.589,0.596,0.6,0.556,0.594,0.596
"erp",0.718,0.701,0.713,0.704,0.698,0.717,0.287,0.673,0.666
"tnbc",0.8,0.767,0.782,0.802,0.75,0.796,0.491,0.732,0.721
"cz_influenza",0.463,0.459,0.456,0.408,0.454,0.462,0.542,0.542,0.542
"cz_hnscc_hpv",0.542,0.543,0.537,0.488,0.549,0.541,0.495,0.487,0.479
"cz_cf_bronchial_biopsy",0.591,0.6,0.603,0.59,0.6,0.594,0.536,0.485,0.483
"SevCOVID_Azimuthl2",0.515,0.515,0.511,0.52,0.515,0.515,0.502,0.427,0.427
"MilCOVID_Azimuthl2",0.479,0.477,0.477,0.467,0.479,0.479,0.556,0.552,0.55
"Mean AUROC",0.62,0.606,0.621,0.61,0.607,0.62,0.537,0.586,0.583
"Mean rank",3.36,5.09,3.77,5.18,4.86,3.64,6.36,6.23,6.5
