comparison,dataset_label,cell_type,condition,donor_column,n_donors,n_cells,n_cells_input_to_metacells,n_metacells,n_candidate_lr_pairs,n_lr_pairs_diff_potential,n_retained_tfs,n_predicted_interactions,n_unique_predicted_lr,k,min_meta_cells,condition_column_sc,expected_metacells_per_arm,metacell_rule_ok
5yr_pic,"Poly-IC-stimulated PBMCs, 5-year-olds (Read et al. [45])",CD4_T,case,Sample,2,6854,2400,600,208,114,110,66,66,1,100,condition_original,600,TRUE
5yr_pic,"Poly-IC-stimulated PBMCs, 5-year-olds (Read et al. [45])",CD4_T,control,Sample,2,4620,2400,600,208,114,110,66,66,1,100,condition_original,600,TRUE
5yr_pic,"Poly-IC-stimulated PBMCs, 5-year-olds (Read et al. [45])",NK,case,Sample,2,504,504,252,229,126,107,68,68,1,100,condition_original,252,TRUE
5yr_pic,"Poly-IC-stimulated PBMCs, 5-year-olds (Read et al. [45])",NK,control,Sample,2,1123,1123,252,229,126,107,68,68,1,100,condition_original,252,TRUE
5yr_pic,"Poly-IC-stimulated PBMCs, 5-year-olds (Read et al. [45])",B,case,Sample,2,2077,2077,600,188,88,99,55,55,1,100,condition_original,600,TRUE
5yr_pic,"Poly-IC-stimulated PBMCs, 5-year-olds (Read et al. [45])",B,control,Sample,2,1800,1800,600,188,88,99,55,55,1,100,condition_original,600,TRUE
5yr_pic,"Poly-IC-stimulated PBMCs, 5-year-olds (Read et al. [45])",Mono,case,Sample,2,907,907,453,427,295,103,144,144,1,100,condition_original,453,TRUE
5yr_pic,"Poly-IC-stimulated PBMCs, 5-year-olds (Read et al. [45])",Mono,control,Sample,2,922,922,453,427,295,103,144,144,1,100,condition_original,453,TRUE
BCG,"BCG vaccination, mouse lung (Lee et al. [41])",Fibroblasts,case,NA,NA,387,387,129,834,289,103,145,145,2,100,original_condition,129,TRUE
BCG,"BCG vaccination, mouse lung (Lee et al. [41])",Fibroblasts,control,NA,NA,3692,3600,129,834,289,103,145,145,2,100,original_condition,129,TRUE
BCG,"BCG vaccination, mouse lung (Lee et al. [41])",Ciliated_cells,case,NA,NA,300,300,100,1115,281,124,121,121,2,100,original_condition,100,TRUE
BCG,"BCG vaccination, mouse lung (Lee et al. [41])",Ciliated_cells,control,NA,NA,4157,3600,100,1115,281,124,121,121,2,100,original_condition,100,TRUE
BCG,"BCG vaccination, mouse lung (Lee et al. [41])",Macrophages,case,NA,NA,1528,1528,103,922,377,99,179,179,2,100,original_condition,103,TRUE
BCG,"BCG vaccination, mouse lung (Lee et al. [41])",Macrophages,control,NA,NA,309,309,103,922,377,99,179,179,2,100,original_condition,103,TRUE
BCG,"BCG vaccination, mouse lung (Lee et al. [41])",Pulmonary_alveolar_type_II_cells,case,NA,NA,543,543,181,744,234,70,90,90,2,100,original_condition,181,TRUE
BCG,"BCG vaccination, mouse lung (Lee et al. [41])",Pulmonary_alveolar_type_II_cells,control,NA,NA,1925,1925,181,744,234,70,90,90,2,100,original_condition,181,TRUE
BCG,"BCG vaccination, mouse lung (Lee et al. [41])",Alveolar_macrophages,case,NA,NA,1096,1096,365,1010,584,137,254,254,2,100,original_condition,365,TRUE
BCG,"BCG vaccination, mouse lung (Lee et al. [41])",Alveolar_macrophages,control,NA,NA,4357,3600,365,1010,584,137,254,254,2,100,original_condition,365,TRUE
BCG,"BCG vaccination, mouse lung (Lee et al. [41])",Natural_killer_cells,case,NA,NA,669,669,164,580,195,119,88,88,2,100,original_condition,164,TRUE
BCG,"BCG vaccination, mouse lung (Lee et al. [41])",Natural_killer_cells,control,NA,NA,492,492,164,580,195,119,88,88,2,100,original_condition,164,TRUE
BCG,"BCG vaccination, mouse lung (Lee et al. [41])",Memory_CD4_plus_T_cells,case,NA,NA,1441,1441,191,567,278,120,122,122,2,100,original_condition,191,TRUE
BCG,"BCG vaccination, mouse lung (Lee et al. [41])",Memory_CD4_plus_T_cells,control,NA,NA,575,575,191,567,278,120,122,122,2,100,original_condition,191,TRUE
cord_pic,Poly-IC-stimulated cord blood mononuclear cells (Read et al. [45]),NK,case,Sample,2,1303,1303,600,226,141,104,73,73,1,100,condition_original,600,TRUE
cord_pic,Poly-IC-stimulated cord blood mononuclear cells (Read et al. [45]),NK,control,Sample,2,1249,1249,600,226,141,104,73,73,1,100,condition_original,600,TRUE
cord_pic,Poly-IC-stimulated cord blood mononuclear cells (Read et al. [45]),CD4_T,case,Sample,2,5544,2400,600,205,99,124,57,57,1,100,condition_original,600,TRUE
cord_pic,Poly-IC-stimulated cord blood mononuclear cells (Read et al. [45]),CD4_T,control,Sample,2,4548,2400,600,205,99,124,57,57,1,100,condition_original,600,TRUE
cord_pic,Poly-IC-stimulated cord blood mononuclear cells (Read et al. [45]),Mono,case,Sample,2,969,969,254,422,225,84,107,107,1,100,condition_original,254,TRUE
cord_pic,Poly-IC-stimulated cord blood mononuclear cells (Read et al. [45]),Mono,control,Sample,2,509,509,254,422,225,84,107,107,1,100,condition_original,254,TRUE
cord_pic,Poly-IC-stimulated cord blood mononuclear cells (Read et al. [45]),B,case,Sample,2,938,938,469,230,116,83,70,70,1,100,condition_original,469,TRUE
cord_pic,Poly-IC-stimulated cord blood mononuclear cells (Read et al. [45]),B,control,Sample,2,1105,1105,469,230,116,83,70,70,1,100,condition_original,469,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",B,case,pt_id,6,2373,2373,600,268,79,52,56,56,2,100,condition_original,600,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",B,control,pt_id,6,2901,2901,600,268,79,52,56,56,2,100,condition_original,600,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",CD14_plus_monocytes,case,pt_id,5,1314,1314,438,471,250,81,133,133,2,100,condition_original,438,FALSE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",CD14_plus_monocytes,control,pt_id,6,4241,3600,600,471,250,81,133,133,2,100,condition_original,438,FALSE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",CD16_plus_monocytes,case,pt_id,6,2794,2794,600,416,262,28,138,138,2,100,condition_original,600,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",CD16_plus_monocytes,control,pt_id,6,2358,2358,600,416,262,28,138,138,2,100,condition_original,600,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",CD4_T,case,pt_id,6,4715,3600,600,281,107,47,68,68,2,100,condition_original,600,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",CD4_T,control,pt_id,6,8631,3600,600,281,107,47,68,68,2,100,condition_original,600,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",CD8_T,case,pt_id,6,1476,1476,492,322,104,95,61,61,2,100,condition_original,492,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",CD8_T,control,pt_id,6,2421,2421,492,322,104,95,61,61,2,100,condition_original,492,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",NK,case,pt_id,6,4171,3600,600,282,123,64,72,72,2,100,condition_original,600,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",NK,control,pt_id,6,4787,3600,600,282,123,64,72,72,2,100,condition_original,600,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",Naive_CD8_T,case,pt_id,6,1045,1045,348,334,177,31,93,93,2,100,condition_original,348,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",Naive_CD8_T,control,pt_id,6,1517,1517,348,334,177,31,93,93,2,100,condition_original,348,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",Platelets,case,pt_id,6,2020,2020,269,129,38,34,13,13,2,100,condition_original,269,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",Platelets,control,pt_id,6,807,807,269,129,38,34,13,13,2,100,condition_original,269,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",cDC2,case,pt_id,6,1359,1359,453,448,235,21,125,125,2,100,condition_original,453,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",cDC2,control,pt_id,6,2038,2038,453,448,235,21,125,125,2,100,condition_original,453,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",pDC,case,pt_id,6,538,538,135,378,71,45,47,47,2,100,condition_original,135,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",pDC,control,pt_id,6,405,405,135,378,71,45,47,47,2,100,condition_original,135,TRUE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells,case,pt_id,6,6098,3600,600,464,319,69,160,160,2,100,condition_original,6,FALSE
covid,"Pfizer-BioNTech vaccination, PBMCs (Arunachalam et al. [42])",CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells,control,pt_id,6,20,20,0,464,319,69,160,160,2,100,condition_original,6,FALSE
cz_cf_bronchial_biopsy,Cystic fibrosis vs healthy bronchial biopsy (Berg et al. [39]),respiratory_tract_suprabasal_cell,case,donor_id,3,586,586,293,806,545,105,238,238,1,100,condition_original,293,TRUE
