"dataset","cluster","condition","n_donors","n_cells","n_metacells","max_donor_share","eff_n_donors","mean_frac_seed_donor","expected_frac_seed_donor","enrichment"
"Vaccination","B","case",6,2373,600,0.33,4.59,0.78,0.47,1.65
"Vaccination","B","control",6,2901,600,0.28,5.11,0.67,0.46,1.46
"Vaccination","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","case",6,6098,600,0.31,3.83,0.86,0.51,1.69
"Vaccination","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells","control",6,20,NA,0.3,4.55,NA,NA,NA
"Vaccination","CD14_plus_monocytes","case",5,1314,438,0.49,2.21,0.92,0.63,1.46
"Vaccination","CD14_plus_monocytes","control",6,4241,600,0.24,5.4,0.74,0.46,1.63
"Vaccination","CD16_plus_monocytes","case",6,2794,600,0.29,4.32,0.87,0.48,1.83
"Vaccination","CD16_plus_monocytes","control",6,2358,600,0.36,4.34,0.74,0.48,1.54
"Vaccination","CD4_T","case",6,4715,600,0.28,5.5,0.69,0.46,1.52
"Vaccination","CD4_T","control",6,8631,600,0.3,5.15,0.68,0.46,1.46
"Vaccination","CD8_T","case",6,1476,492,0.25,5.41,0.78,0.45,1.71
"Vaccination","CD8_T","control",6,2421,492,0.22,5.53,0.73,0.46,1.6
"Vaccination","NK","case",6,4171,600,0.44,3.33,0.84,0.52,1.62
"Vaccination","NK","control",6,4787,600,0.46,3.59,0.78,0.52,1.49
"Vaccination","NK_T","case",6,134,NA,0.34,4.56,NA,NA,NA
"Vaccination","NK_T","control",6,106,NA,0.32,4.57,NA,NA,NA
"Vaccination","Naive_CD8_T","case",6,1045,348,0.27,5.34,0.67,0.47,1.42
"Vaccination","Naive_CD8_T","control",6,1517,348,0.29,5.28,0.63,0.46,1.36
"Vaccination","Plasmablasts","case",6,149,NA,0.4,3.55,NA,NA,NA
"Vaccination","Plasmablasts","control",6,111,NA,0.36,3.67,NA,NA,NA
"Vaccination","Platelets","case",6,2020,269,0.25,5.7,0.59,0.47,1.26
"Vaccination","Platelets","control",6,807,269,0.26,5.25,0.6,0.46,1.3
"Vaccination","Tregs","case",6,260,NA,0.32,4.24,NA,NA,NA
"Vaccination","Tregs","control",6,213,NA,0.34,3.96,NA,NA,NA
"Vaccination","cDC1","case",6,117,NA,0.42,3.72,NA,NA,NA
"Vaccination","cDC1","control",6,192,NA,0.34,4.43,NA,NA,NA
"Vaccination","cDC2","case",6,1359,453,0.72,1.74,0.93,0.71,1.31
"Vaccination","cDC2","control",6,2038,453,0.42,3.72,0.72,0.52,1.39
"Vaccination","pDC","case",6,538,135,0.27,5.23,0.77,0.46,1.67
"Vaccination","pDC","control",6,405,135,0.42,3.84,0.73,0.51,1.43
"Severity","B_intermediate","case",4,450,225,0.5,2.79,0.94,0.68,1.39
"Severity","B_intermediate","control",5,622,225,0.41,2.96,0.9,0.68,1.34
"Severity","B_memory","case",4,217,NA,0.41,2.96,NA,NA,NA
"Severity","B_memory","control",5,102,NA,0.31,4.07,NA,NA,NA
"Severity","B_naive","case",4,735,157,0.45,2.65,0.9,0.69,1.31
"Severity","B_naive","control",5,314,157,0.3,4.21,0.86,0.63,1.36
"Severity","CD14_Mono","case",4,3009,600,0.57,2.47,0.98,0.69,1.41
"Severity","CD14_Mono","control",5,5379,600,0.42,3.69,0.85,0.64,1.34
"Severity","CD16_Mono","case",4,760,380,0.66,2,0.97,0.74,1.31
"Severity","CD16_Mono","control",5,3112,380,0.45,3.4,0.84,0.64,1.3
"Severity","CD4_TCM","case",4,1424,600,0.39,3.61,0.9,0.64,1.41
"Severity","CD4_TCM","control",5,5438,600,0.27,4.74,0.74,0.61,1.21
"Severity","CD8_Naive","case",4,134,NA,0.9,1.24,NA,NA,NA
"Severity","CD8_Naive","control",5,121,NA,0.43,3.5,NA,NA,NA
"Severity","CD8_TEM","case",4,521,260,0.43,2.84,0.94,0.68,1.38
"Severity","CD8_TEM","control",5,2426,260,0.39,3.34,0.85,0.66,1.28
"Severity","Eryth","case",4,165,NA,0.4,3.16,NA,NA,NA
"Severity","Eryth","control",5,258,NA,0.32,4.41,NA,NA,NA
"Severity","HSPC","case",4,334,117,0.41,3.46,0.92,0.65,1.42
"Severity","HSPC","control",5,235,117,0.32,4.19,0.74,0.62,1.19
"Severity","NK","case",4,1133,566,0.48,2.64,0.94,0.7,1.35
"Severity","NK","control",5,5071,566,0.48,2.86,0.79,0.68,1.16
"Severity","Platelet","case",4,130,NA,0.66,2.06,NA,NA,NA
"Severity","Platelet","control",5,121,NA,0.41,3.61,NA,NA,NA
"Severity","cDC2","case",4,398,199,0.44,2.62,0.97,0.69,1.41
"Severity","cDC2","control",5,2134,199,0.33,4.11,0.79,0.61,1.29
"Severity","pDC","case",4,734,367,0.8,1.51,0.98,0.81,1.21
"Severity","pDC","control",5,1163,367,0.26,4.75,0.82,0.61,1.35
