"dataset","n_metacells","median_umi","q25","q75","min_celltype_median","max_celltype_median","pct_below_7500","pct_below_10k"
"5yr_pic",3810,13052,9518,23016,7978,36202,9.7,28.1
"BCG",2466,28449,14791,61754,17596,69173,16.8,19.7
"cord_pic",3846,15028,9576,23689,8160,30899,13.1,26.8
"covid",9832,32400,17516,63715,3266,90174,7,8.8
"cz_cf_bronchial_biopsy",6642,12078,4844,46502,2454,50359,38,45.6
"cz_hnscc_hpv",10966,15490,8683,39793,7342,63534,19.4,31.3
"cz_hpap_t1d_islets",8274,25638,10252,48266,9490,46450,19.2,24.6
"cz_human_kidney_v1.5",12834,14524,7879,29511,7579,35596,22.9,34.5
"cz_influenza",5030,12326,9608,19108,9889,27510,10.9,28.3
"ERP",4770,9584,5270,20048,7358,17448,39.2,51.6
"lupus",7826,3904,2753,5867,2987,10188,81.5,88.6
"MilCOVID_Azimuthl2",6328,14015,9974,26979,8930,40374,7,25.2
"sepsis",3126,11719,8986,15961,7095,20462,10,35.3
"SevCOVID_Azimuthl2",6942,17031,10717,28896,9103,40480,8.2,21.1
"TNBC",4440,13224,6594,31621,5762,35409,27.2,35.5
