"dataset","cluster","n_metacells","median_umi","q25","q75"
"5yr_pic","B",1200,11102,8581,15778
"5yr_pic","CD4_T",1200,12394,10786,14649
"5yr_pic","Mono",906,36202,27446,50870
"5yr_pic","NK",504,7978,6816,10292
"BCG","Alveolar_macrophages",730,49782,8144,85469
"BCG","Ciliated_cells",200,55316,16123,120452
"BCG","Fibroblasts",258,17738,3914,35586
"BCG","Macrophages",206,69173,36780,99424
"BCG","Memory_CD4_plus_T_cells",382,21900,17590,28969
"BCG","Natural_killer_cells",328,17596,14346,23090
"BCG","Pulmonary_alveolar_type_II_cells",362,47865,15976,61371
"cord_pic","B",938,24260,17107,37947
"cord_pic","CD4_T",1200,15274,12426,18670
"cord_pic","Mono",508,30899,21466,49922
"cord_pic","NK",1200,8160,6782,10608
"covid","B",1200,25566,17658,41307
"covid","CD14_plus_BDCA1_plus_PD_minus_L1_plus_cells",600,90174,58446,122456
"covid","CD14_plus_monocytes",1038,56010,37351,70911
"covid","CD16_plus_monocytes",1200,70722,43431,114350
"covid","CD4_T",1200,21612,17699,30523
"covid","CD8_T",984,21743,16397,31526
"covid","NK",1200,13380,10325,18357
"covid","Naive_CD8_T",696,35220,20940,71016
"covid","Platelets",538,3266,2837,4172
"covid","cDC2",906,70715,56508,88270
"covid","pDC",270,35528,28412,42830
"cz_cf_bronchial_biopsy","CD4_minus_positive_helper_T_cell",654,7084,4871,9311
"cz_cf_bronchial_biopsy","CD8_minus_positive_comma_alpha_minus_beta_T_cell",738,2454,1664,4124
"cz_cf_bronchial_biopsy","basal_cell",458,25130,8436,73116
"cz_cf_bronchial_biopsy","club_cell",840,49054,32809,70236
"cz_cf_bronchial_biopsy","cytotoxic_T_cell",778,4874,3143,6242
"cz_cf_bronchial_biopsy","dendritic_cell_comma_human",240,4196,1649,14676
"cz_cf_bronchial_biopsy","macrophage",206,35104,10811,65839
"cz_cf_bronchial_biopsy","mast_cell",202,6008,3143,9108
"cz_cf_bronchial_biopsy","monocyte",312,9660,4918,13085
"cz_cf_bronchial_biopsy","respiratory_tract_multiciliated_cell",1200,50359,22794,94924
"cz_cf_bronchial_biopsy","respiratory_tract_suprabasal_cell",586,30712,15347,68389
"cz_cf_bronchial_biopsy","secretory_cell",428,21822,10090,41340
"cz_hnscc_hpv","B_cell",1200,12811,9583,18408
"cz_hnscc_hpv","CD4_minus_positive_comma_alpha_minus_beta_T_cell",1200,11273,8471,14750
"cz_hnscc_hpv","CD8_minus_positive_comma_alpha_minus_beta_T_cell",1200,7342,5451,9850
"cz_hnscc_hpv","endothelial_cell",894,40442,23917,64335
"cz_hnscc_hpv","epithelial_cell",1200,63534,27400,137127
"cz_hnscc_hpv","fibroblast",1200,32731,20324,57586
"cz_hnscc_hpv","mast_cell",208,7475,4449,12523
"cz_hnscc_hpv","mural_cell",782,21734,12728,41468
"cz_hnscc_hpv","myeloid_cell",650,17574,2468,42222
"cz_hnscc_hpv","natural_killer_cell",318,8863,6627,11115
"cz_hnscc_hpv","plasma_cell",1200,37786,18437,58834
"cz_hnscc_hpv","regulatory_T_cell",914,9291,6656,12172
"cz_hpap_t1d_islets","PP_cell",276,13237,4944,35870
"cz_hpap_t1d_islets","endothelial_cell",1126,9490,5350,18244
"cz_hpap_t1d_islets","pancreatic_A_cell",1200,26918,12973,39835
"cz_hpap_t1d_islets","pancreatic_acinar_cell",1200,46450,25512,71950
"cz_hpap_t1d_islets","pancreatic_ductal_cell",1200,38710,21222,56630
"cz_hpap_t1d_islets","pancreatic_stellate_cell",1002,26292,13307,43472
"cz_hpap_t1d_islets","type_B_pancreatic_cell",1070,33560,12975,78846
"cz_hpap_t1d_islets","unknown",1200,12960,4640,30701
"cz_human_kidney_v1.5","B_cell",260,8442,6457,11548
"cz_human_kidney_v1.5","T_cell",1200,7587,5854,12688
"cz_human_kidney_v1.5","cytotoxic_T_cell",304,7579,5994,9960
"cz_human_kidney_v1.5","endothelial_cell",1200,9294,6818,14002
"cz_human_kidney_v1.5","epithelial_cell_of_proximal_tubule",1200,10095,6400,22588
"cz_human_kidney_v1.5","kidney_collecting_duct_intercalated_cell",1200,26139,13756,39215
"cz_human_kidney_v1.5","kidney_collecting_duct_principal_cell",1200,24710,11290,39041
"cz_human_kidney_v1.5","kidney_connecting_tubule_epithelial_cell",1088,26525,16012,37810
"cz_human_kidney_v1.5","kidney_distal_convoluted_tubule_epithelial_cell",1200,24490,12997,35994
"cz_human_kidney_v1.5","kidney_interstitial_alternatively_activated_macrophage",310,9882,6627,17426
"cz_human_kidney_v1.5","kidney_interstitial_cell",1200,12364,7864,22880
"cz_human_kidney_v1.5","kidney_loop_of_Henle_thick_ascending_limb_epithelial_cell",1200,22117,9441,35208
"cz_human_kidney_v1.5","kidney_loop_of_Henle_thin_ascending_limb_epithelial_cell",218,35596,22270,45554
